day,dt,temp,chau_z,chau_h
1.0,24.0,-3.4,0.094,0.009
2.0,24.0,-3.4,0.131,0.013
3.0,24.0,-3.4,0.16,0.016
4.0,24.0,-3.4,0.184,0.019
5.0,24.0,-3.4,0.205,0.021
6.0,24.0,-3.4,0.224,0.023
7.0,24.0,-3.4,0.241,0.025
8.0,24.0,-3.4,0.257,0.026
9.0,24.0,-3.4,0.272,0.028
10.0,24.0,-3.4,0.286,0.03
11.0,24.0,-3.4,0.299,0.031
12.0,24.0,-3.4,0.312,0.032
13.0,24.0,-3.4,0.324,0.034
14.0,24.0,-3.4,0.335,0.035
15.0,24.0,-3.4,0.347,0.036
16.0,24.0,-3.4,0.357,0.037
17.0,24.0,-3.4,0.368,0.039
18.0,24.0,-3.4,0.378,0.04
19.0,24.0,-3.4,0.387,0.041
20.0,24.0,-3.4,0.397,0.042
21.0,24.0,-3.4,0.406,0.043
22.0,24.0,-3.4,0.415,0.044
23.0,24.0,-3.4,0.424,0.045
24.0,24.0,-3.4,0.432,0.046
25.0,24.0,-3.4,0.44,0.047
26.0,24.0,-3.4,0.448,0.048
27.0,24.0,-3.4,0.456,0.048
28.0,24.0,-3.4,0.464,0.049
29.0,24.0,-3.4,0.472,0.05
30.0,24.0,-3.4,0.479,0.051
31.0,24.0,-4.8,0.49,0.052
32.0,24.0,-4.8,0.501,0.053
33.0,24.0,-4.8,0.512,0.055
34.0,24.0,-4.8,0.522,0.056
35.0,24.0,-4.8,0.532,0.057
36.0,24.0,-4.8,0.542,0.058
37.0,24.0,-4.8,0.552,0.059
37.8,19.72,-4.8,0.56,0.06
38.0,4.28,-4.8,0.562,0.06
39.0,24.0,-4.8,0.575,0.06
40.0,24.0,-4.8,0.588,0.061
41.0,24.0,-4.8,0.601,0.061
42.0,24.0,-4.8,0.614,0.062
43.0,24.0,-4.8,0.626,0.062
44.0,24.0,-4.8,0.638,0.062
45.0,24.0,-4.8,0.65,0.063
46.0,24.0,-4.8,0.661,0.063
47.0,24.0,-4.8,0.672,0.064
48.0,24.0,-4.8,0.683,0.064
49.0,24.0,-4.8,0.694,0.064
50.0,24.0,-4.8,0.705,0.065
51.0,24.0,-4.8,0.716,0.065
52.0,24.0,-4.8,0.726,0.065
53.0,24.0,-4.8,0.736,0.066
54.0,24.0,-4.8,0.746,0.066
55.0,24.0,-4.8,0.756,0.066
56.0,24.0,-4.8,0.766,0.067
57.0,24.0,-4.8,0.776,0.067
58.0,24.0,-4.8,0.785,0.067
59.0,24.0,-4.8,0.795,0.068
60.0,24.0,-4.8,0.804,0.068
61.0,24.0,-4.8,0.813,0.068
62.0,24.0,-12.1,0.843,0.069
63.0,24.0,-12.1,0.87,0.07
64.0,24.0,-12.1,0.889,0.072
65.0,24.0,-12.1,0.907,0.075
66.0,24.0,-12.1,0.924,0.077
67.0,24.0,-12.1,0.942,0.079
68.0,24.0,-12.1,0.959,0.081
69.0,24.0,-12.1,0.975,0.083
70.0,24.0,-12.1,0.991,0.085
71.0,24.0,-12.1,1.007,0.087
72.0,24.0,-12.1,1.023,0.089
73.0,24.0,-12.1,1.038,0.091
74.0,24.0,-12.1,1.053,0.093
75.0,24.0,-12.1,1.068,0.094
76.0,24.0,-12.1,1.082,0.096
77.0,24.0,-12.1,1.097,0.098
78.0,24.0,-12.1,1.111,0.1
79.0,24.0,-12.1,1.124,0.101
80.0,24.0,-12.1,1.138,0.103
81.0,24.0,-12.1,1.151,0.105
82.0,24.0,-12.1,1.165,0.106
83.0,24.0,-12.1,1.178,0.108
84.0,24.0,-12.1,1.191,0.109
85.0,24.0,-12.1,1.203,0.111
86.0,24.0,-12.1,1.216,0.112
87.0,24.0,-12.1,1.228,0.114
88.0,24.0,-12.1,1.241,0.115
89.0,24.0,-12.1,1.253,0.117
90.0,24.0,-5.2,1.257,0.118
91.0,24.0,-5.2,1.261,0.118
92.0,24.0,-5.2,1.265,0.119
93.0,24.0,-5.2,1.269,0.119
94.0,24.0,-5.2,1.273,0.12
95.0,24.0,-5.2,1.277,0.12
96.0,24.0,-5.2,1.281,0.121
97.0,24.0,-5.2,1.284,0.122
98.0,24.0,-5.2,1.288,0.122
99.0,24.0,-5.2,1.292,0.123
100.0,24.0,-5.2,1.296,0.123
101.0,24.0,-5.2,1.3,0.124
102.0,24.0,-5.2,1.304,0.124
103.0,24.0,-5.2,1.308,0.125
104.0,24.0,-5.2,1.311,0.125
105.0,24.0,-5.2,1.315,0.126
106.0,24.0,-5.2,1.319,0.126
107.0,24.0,-5.2,1.323,0.127
108.0,24.0,-5.2,1.327,0.128
109.0,24.0,-5.2,1.33,0.128
110.0,24.0,-5.2,1.334,0.129
111.0,24.0,-5.2,1.338,0.129
112.0,24.0,-5.2,1.342,0.13
113.0,24.0,-5.2,1.345,0.13
114.0,24.0,-5.2,1.349,0.131
115.0,24.0,-5.2,1.353,0.131
116.0,24.0,-5.2,1.357,0.132
117.0,24.0,-5.2,1.36,0.132
118.0,24.0,-5.2,1.364,0.133
119.0,24.0,-5.2,1.368,0.133
120.0,24.0,-5.2,1.371,0.134
