day,date,temps,S_vals
1,,-3.4,0.94
2,,-3.4,0.94
3,,-3.4,0.94
4,,-3.4,0.94
5,,-3.4,0.94
6,,-3.4,0.94
7,,-3.4,0.94
8,,-3.4,0.94
9,,-3.4,0.94
10,,-3.4,0.94
11,,-3.4,0.94
12,,-3.4,0.94
13,,-3.4,0.94
14,,-3.4,0.94
15,,-3.4,0.94
16,,-3.4,0.94
17,,-3.4,0.94
18,,-3.4,0.94
19,,-3.4,0.94
20,,-3.4,0.94
21,,-3.4,0.94
22,,-3.4,0.94
23,,-3.4,0.94
24,,-3.4,0.94
25,,-3.4,0.94
26,,-3.4,0.94
27,,-3.4,0.94
28,,-3.4,0.94
29,,-3.4,0.94
30,,-3.4,0.94
31,,-4.8,0.88
32,,-4.8,0.88
33,,-4.8,0.88
34,,-4.8,0.88
35,,-4.8,0.88
36,,-4.8,0.88
37,,-4.8,0.88
38,,-4.8,0.88
39,,-4.8,0.88
40,,-4.8,0.88
41,,-4.8,0.88
42,,-4.8,0.88
43,,-4.8,0.88
44,,-4.8,0.88
45,,-4.8,0.88
46,,-4.8,0.88
47,,-4.8,0.88
48,,-4.8,0.88
49,,-4.8,0.88
50,,-4.8,0.88
51,,-4.8,0.88
52,,-4.8,0.88
53,,-4.8,0.88
54,,-4.8,0.88
55,,-4.8,0.88
56,,-4.8,0.88
57,,-4.8,0.88
58,,-4.8,0.88
59,,-4.8,0.88
60,,-4.8,0.88
61,,-4.8,0.88
62,,-12.1,0.82
63,,-12.1,0.82
64,,-12.1,0.82
65,,-12.1,0.82
66,,-12.1,0.82
67,,-12.1,0.82
68,,-12.1,0.82
69,,-12.1,0.82
70,,-12.1,0.82
71,,-12.1,0.82
72,,-12.1,0.82
73,,-12.1,0.82
74,,-12.1,0.82
75,,-12.1,0.82
76,,-12.1,0.82
77,,-12.1,0.82
78,,-12.1,0.82
79,,-12.1,0.82
80,,-12.1,0.82
81,,-12.1,0.82
82,,-12.1,0.82
83,,-12.1,0.82
84,,-12.1,0.82
85,,-12.1,0.82
86,,-12.1,0.82
87,,-12.1,0.82
88,,-12.1,0.82
89,,-12.1,0.82
90,,-5.2,0.76
91,,-5.2,0.76
92,,-5.2,0.76
93,,-5.2,0.76
94,,-5.2,0.76
95,,-5.2,0.76
96,,-5.2,0.76
97,,-5.2,0.76
98,,-5.2,0.76
99,,-5.2,0.76
100,,-5.2,0.76
101,,-5.2,0.76
102,,-5.2,0.76
103,,-5.2,0.76
104,,-5.2,0.76
105,,-5.2,0.76
106,,-5.2,0.76
107,,-5.2,0.76
108,,-5.2,0.76
109,,-5.2,0.76
110,,-5.2,0.76
111,,-5.2,0.76
112,,-5.2,0.76
113,,-5.2,0.76
114,,-5.2,0.76
115,,-5.2,0.76
116,,-5.2,0.76
117,,-5.2,0.76
118,,-5.2,0.76
119,,-5.2,0.76
120,,-5.2,0.76
