day,dt,temp,site_z,site_h
1.0,24.0,-3.4,,
2.0,24.0,-3.4,,
3.0,24.0,-3.4,,
4.0,24.0,-3.4,,
5.0,24.0,-3.4,,
6.0,24.0,-3.4,,
7.0,24.0,-3.4,,
8.0,24.0,-3.4,,
9.0,24.0,-3.4,,
10.0,24.0,-3.4,,
11.0,24.0,-3.4,,
12.0,24.0,-3.4,,
13.0,24.0,-3.4,,
14.0,24.0,-3.4,,
15.0,24.0,-3.4,,
16.0,24.0,-3.4,,
17.0,24.0,-3.4,,
18.0,24.0,-3.4,,
19.0,24.0,-3.4,,
20.0,24.0,-3.4,,
21.0,24.0,-3.4,,
22.0,24.0,-3.4,,
23.0,24.0,-3.4,,
24.0,24.0,-3.4,,
25.0,24.0,-3.4,,
26.0,24.0,-3.4,,
27.0,24.0,-3.4,,
28.0,24.0,-3.4,,
29.0,24.0,-3.4,0.437,0.046
30.0,24.0,-3.4,,
31.0,24.0,-4.8,,
32.0,24.0,-4.8,,
33.0,24.0,-4.8,,
34.0,24.0,-4.8,,
35.0,24.0,-4.8,,
36.0,24.0,-4.8,,
37.0,24.0,-4.8,,
37.8,19.72,-4.8,,
38.0,4.28,-4.8,,
39.0,24.0,-4.8,,
40.0,24.0,-4.8,,
41.0,24.0,-4.8,,
42.0,24.0,-4.8,,
43.0,24.0,-4.8,,
44.0,24.0,-4.8,,
45.0,24.0,-4.8,,
46.0,24.0,-4.8,,
47.0,24.0,-4.8,,
48.0,24.0,-4.8,,
49.0,24.0,-4.8,,
50.0,24.0,-4.8,,
51.0,24.0,-4.8,,
52.0,24.0,-4.8,,
53.0,24.0,-4.8,,
54.0,24.0,-4.8,,
55.0,24.0,-4.8,,
56.0,24.0,-4.8,,
57.0,24.0,-4.8,,
58.0,24.0,-4.8,,
59.0,24.0,-4.8,,
60.0,24.0,-4.8,0.796,0.062
61.0,24.0,-4.8,,
62.0,24.0,-12.1,,
63.0,24.0,-12.1,,
64.0,24.0,-12.1,,
65.0,24.0,-12.1,,
66.0,24.0,-12.1,,
67.0,24.0,-12.1,,
68.0,24.0,-12.1,,
69.0,24.0,-12.1,,
70.0,24.0,-12.1,,
71.0,24.0,-12.1,,
72.0,24.0,-12.1,,
73.0,24.0,-12.1,,
74.0,24.0,-12.1,,
75.0,24.0,-12.1,,
76.0,24.0,-12.1,,
77.0,24.0,-12.1,,
78.0,24.0,-12.1,,
79.0,24.0,-12.1,,
80.0,24.0,-12.1,,
81.0,24.0,-12.1,,
82.0,24.0,-12.1,,
83.0,24.0,-12.1,,
84.0,24.0,-12.1,,
85.0,24.0,-12.1,,
86.0,24.0,-12.1,,
87.0,24.0,-12.1,,
88.0,24.0,-12.1,1.183,0.111
89.0,24.0,-12.1,,
90.0,24.0,-5.2,,
91.0,24.0,-5.2,,
92.0,24.0,-5.2,,
93.0,24.0,-5.2,,
94.0,24.0,-5.2,,
95.0,24.0,-5.2,,
96.0,24.0,-5.2,,
97.0,24.0,-5.2,,
98.0,24.0,-5.2,,
99.0,24.0,-5.2,,
100.0,24.0,-5.2,,
101.0,24.0,-5.2,,
102.0,24.0,-5.2,1.26,0.12
103.0,24.0,-5.2,,
104.0,24.0,-5.2,,
105.0,24.0,-5.2,,
106.0,24.0,-5.2,,
107.0,24.0,-5.2,,
108.0,24.0,-5.2,,
109.0,24.0,-5.2,,
110.0,24.0,-5.2,,
111.0,24.0,-5.2,,
112.0,24.0,-5.2,,
113.0,24.0,-5.2,,
114.0,24.0,-5.2,,
115.0,24.0,-5.2,,
116.0,24.0,-5.2,,
117.0,24.0,-5.2,,
118.0,24.0,-5.2,,
119.0,24.0,-5.2,1.294,0.128
120.0,24.0,-5.2,,
