day,dt,temp,chau_z,chau_h
1.0,24.0,-3.9,0.149,0.0
2.0,24.0,-3.9,0.207,0.0
3.0,24.0,-3.9,0.251,0.0
4.0,24.0,-3.9,0.288,0.0
4.399999999999999,9.56,-3.9,0.3,0.0
5.0,14.44,-3.9,0.31,0.001
6.0,24.0,-3.9,0.325,0.002
7.0,24.0,-3.9,0.34,0.003
8.0,24.0,-3.9,0.355,0.005
9.0,24.0,-3.9,0.369,0.006
10.0,24.0,-3.9,0.382,0.007
11.0,24.0,-3.9,0.395,0.008
12.0,24.0,-3.9,0.408,0.009
13.0,24.0,-3.9,0.42,0.01
14.0,24.0,-3.9,0.432,0.011
15.0,24.0,-3.9,0.444,0.013
16.0,24.0,-3.9,0.455,0.014
17.0,24.0,-3.9,0.467,0.015
18.0,24.0,-3.9,0.478,0.015
19.0,24.0,-3.9,0.488,0.016
20.0,24.0,-3.9,0.499,0.017
21.0,24.0,-3.9,0.509,0.018
22.0,24.0,-3.9,0.519,0.019
23.0,24.0,-3.9,0.529,0.02
24.0,24.0,-3.9,0.538,0.021
25.0,24.0,-3.9,0.548,0.022
26.0,24.0,-3.9,0.557,0.023
27.0,24.0,-3.9,0.566,0.024
28.0,24.0,-3.9,0.575,0.024
29.0,24.0,-3.9,0.584,0.025
30.0,24.0,-3.9,0.593,0.026
31.0,24.0,-6.3,0.609,0.027
32.0,24.0,-6.3,0.625,0.028
33.0,24.0,-6.3,0.641,0.03
34.0,24.0,-6.3,0.656,0.031
35.0,24.0,-6.3,0.671,0.032
36.0,24.0,-6.3,0.685,0.033
37.0,24.0,-6.3,0.7,0.034
38.0,24.0,-6.3,0.714,0.035
39.0,24.0,-6.3,0.727,0.036
40.0,24.0,-6.3,0.741,0.037
41.0,24.0,-6.3,0.754,0.038
42.0,24.0,-6.3,0.767,0.039
43.0,24.0,-6.3,0.78,0.04
44.0,24.0,-6.3,0.792,0.041
45.0,24.0,-6.3,0.805,0.042
46.0,24.0,-6.3,0.817,0.043
47.0,24.0,-6.3,0.829,0.044
48.0,24.0,-6.3,0.841,0.045
49.0,24.0,-6.3,0.852,0.046
50.0,24.0,-6.3,0.864,0.047
51.0,24.0,-6.3,0.875,0.048
52.0,24.0,-6.3,0.886,0.049
53.0,24.0,-6.3,0.897,0.05
54.0,24.0,-6.3,0.908,0.05
55.0,24.0,-6.3,0.919,0.051
56.0,24.0,-6.3,0.93,0.052
57.0,24.0,-6.3,0.94,0.053
58.0,24.0,-6.3,0.951,0.054
58.3,7.76,-6.3,0.954,0.054
59.0,16.24,-6.3,0.96,0.054
60.0,24.0,-6.3,0.97,0.055
61.0,24.0,-6.3,0.979,0.056
62.0,24.0,-11.5,1.0,0.057
63.0,24.0,-11.5,1.02,0.059
64.0,24.0,-11.5,1.04,0.06
65.0,24.0,-11.5,1.06,0.062
66.0,24.0,-11.5,1.079,0.063
67.0,24.0,-11.5,1.098,0.064
68.0,24.0,-11.5,1.117,0.065
69.0,24.0,-11.5,1.135,0.067
70.0,24.0,-11.5,1.153,0.068
71.0,24.0,-11.5,1.171,0.069
72.0,24.0,-11.5,1.189,0.07
73.0,24.0,-11.5,1.206,0.071
74.0,24.0,-11.5,1.223,0.073
75.0,24.0,-11.5,1.24,0.074
76.0,24.0,-11.5,1.257,0.075
77.0,24.0,-11.5,1.274,0.076
77.2,3.78,-11.5,1.276,0.076
78.0,20.22,-11.5,1.29,0.077
79.0,24.0,-11.5,1.305,0.078
80.0,24.0,-11.5,1.321,0.08
81.0,24.0,-11.5,1.336,0.081
82.0,24.0,-11.5,1.352,0.082
83.0,24.0,-11.5,1.367,0.083
84.0,24.0,-11.5,1.382,0.084
85.0,24.0,-11.5,1.396,0.086
86.0,24.0,-11.5,1.411,0.087
87.0,24.0,-11.5,1.426,0.088
88.0,24.0,-11.5,1.44,0.089
89.0,24.0,-11.5,1.454,0.09
90.0,24.0,-4.9,1.458,0.091
91.0,24.0,-4.9,1.462,0.091
92.0,24.0,-4.9,1.466,0.092
93.0,24.0,-4.9,1.469,0.092
94.0,24.0,-4.9,1.473,0.093
95.0,24.0,-4.9,1.477,0.093
96.0,24.0,-4.9,1.481,0.093
97.0,24.0,-4.9,1.484,0.094
98.0,24.0,-4.9,1.488,0.094
99.0,24.0,-4.9,1.492,0.095
100.0,24.0,-4.9,1.496,0.095
101.0,24.0,-4.9,1.499,0.096
102.0,24.0,-4.9,1.503,0.096
103.0,24.0,-4.9,1.507,0.097
104.0,24.0,-4.9,1.51,0.097
105.0,24.0,-4.9,1.514,0.098
106.0,24.0,-4.9,1.518,0.098
107.0,24.0,-4.9,1.522,0.099
108.0,24.0,-4.9,1.525,0.099
109.0,24.0,-4.9,1.529,0.099
110.0,24.0,-4.9,1.533,0.1
111.0,24.0,-4.9,1.536,0.1
112.0,24.0,-4.9,1.54,0.101
113.0,24.0,-4.9,1.544,0.101
114.0,24.0,-4.9,1.548,0.102
115.0,24.0,-4.9,1.551,0.102
116.0,24.0,-4.9,1.555,0.103
117.0,24.0,-4.9,1.559,0.103
118.0,24.0,-4.9,1.562,0.103
119.0,24.0,-4.9,1.566,0.104
120.0,24.0,-4.9,1.57,0.104
