day,dt,temp,site_z,site_h
1.0,24.0,-3.9,,
2.0,24.0,-3.9,,
3.0,24.0,-3.9,,
4.0,24.0,-3.9,,
4.399999999999999,9.56,-3.9,,
5.0,14.44,-3.9,,
6.0,24.0,-3.9,,
7.0,24.0,-3.9,,
8.0,24.0,-3.9,,
9.0,24.0,-3.9,,
10.0,24.0,-3.9,,
11.0,24.0,-3.9,,
12.0,24.0,-3.9,,
13.0,24.0,-3.9,,
14.0,24.0,-3.9,,
15.0,24.0,-3.9,,
16.0,24.0,-3.9,,
17.0,24.0,-3.9,,
18.0,24.0,-3.9,,
19.0,24.0,-3.9,,
20.0,24.0,-3.9,,
21.0,24.0,-3.9,,
22.0,24.0,-3.9,,
23.0,24.0,-3.9,,
24.0,24.0,-3.9,,
25.0,24.0,-3.9,,
26.0,24.0,-3.9,,
27.0,24.0,-3.9,,
28.0,24.0,-3.9,,
29.0,24.0,-3.9,0.578,0.022
30.0,24.0,-3.9,,
31.0,24.0,-6.3,,
32.0,24.0,-6.3,,
33.0,24.0,-6.3,,
34.0,24.0,-6.3,,
35.0,24.0,-6.3,,
36.0,24.0,-6.3,,
37.0,24.0,-6.3,,
38.0,24.0,-6.3,,
39.0,24.0,-6.3,,
40.0,24.0,-6.3,,
41.0,24.0,-6.3,,
42.0,24.0,-6.3,,
43.0,24.0,-6.3,,
44.0,24.0,-6.3,,
45.0,24.0,-6.3,,
46.0,24.0,-6.3,,
47.0,24.0,-6.3,,
48.0,24.0,-6.3,,
49.0,24.0,-6.3,,
50.0,24.0,-6.3,,
51.0,24.0,-6.3,,
52.0,24.0,-6.3,,
53.0,24.0,-6.3,,
54.0,24.0,-6.3,,
55.0,24.0,-6.3,,
56.0,24.0,-6.3,,
57.0,24.0,-6.3,,
58.0,24.0,-6.3,,
58.3,7.76,-6.3,,
59.0,16.24,-6.3,,
60.0,24.0,-6.3,0.95,0.05
61.0,24.0,-6.3,,
62.0,24.0,-11.5,,
63.0,24.0,-11.5,,
64.0,24.0,-11.5,,
65.0,24.0,-11.5,,
66.0,24.0,-11.5,,
67.0,24.0,-11.5,,
68.0,24.0,-11.5,,
69.0,24.0,-11.5,,
70.0,24.0,-11.5,,
71.0,24.0,-11.5,,
72.0,24.0,-11.5,,
73.0,24.0,-11.5,,
74.0,24.0,-11.5,,
75.0,24.0,-11.5,,
76.0,24.0,-11.5,,
77.0,24.0,-11.5,,
77.2,3.78,-11.5,,
78.0,20.22,-11.5,,
79.0,24.0,-11.5,,
80.0,24.0,-11.5,,
81.0,24.0,-11.5,,
82.0,24.0,-11.5,,
83.0,24.0,-11.5,,
84.0,24.0,-11.5,,
85.0,24.0,-11.5,,
86.0,24.0,-11.5,,
87.0,24.0,-11.5,,
88.0,24.0,-11.5,1.425,0.094
89.0,24.0,-11.5,,
90.0,24.0,-4.9,,
91.0,24.0,-4.9,,
92.0,24.0,-4.9,,
93.0,24.0,-4.9,,
94.0,24.0,-4.9,,
95.0,24.0,-4.9,,
96.0,24.0,-4.9,,
97.0,24.0,-4.9,,
98.0,24.0,-4.9,,
99.0,24.0,-4.9,,
100.0,24.0,-4.9,,
101.0,24.0,-4.9,,
102.0,24.0,-4.9,,
103.0,24.0,-4.9,,
104.0,24.0,-4.9,,
105.0,24.0,-4.9,,
106.0,24.0,-4.9,,
107.0,24.0,-4.9,,
108.0,24.0,-4.9,,
109.0,24.0,-4.9,,
110.0,24.0,-4.9,,
111.0,24.0,-4.9,,
112.0,24.0,-4.9,,
113.0,24.0,-4.9,,
114.0,24.0,-4.9,,
115.0,24.0,-4.9,,
116.0,24.0,-4.9,,
117.0,24.0,-4.9,,
118.0,24.0,-4.9,,
119.0,24.0,-4.9,1.559,0.108
120.0,24.0,-4.9,,
