day,dt,temp,chau_z,chau_h
1.0,24.0,-3.9,0.175,0.0
2.0,24.0,-3.9,0.243,0.0
3.0,24.0,-3.9,0.294,0.0
4.0,24.0,-3.9,0.336,0.0
5.0,24.0,-3.9,0.372,0.0
6.0,24.0,-3.9,0.404,0.0
7.0,24.0,-3.9,0.434,0.0
8.0,24.0,-3.9,0.461,0.0
9.0,24.0,-3.9,0.486,0.0
10.0,24.0,-3.9,0.509,0.0
11.0,24.0,-3.9,0.531,0.0
12.0,24.0,-3.9,0.552,0.0
13.0,24.0,-3.9,0.571,0.0
14.0,24.0,-3.9,0.59,0.0
15.0,24.0,-3.9,0.608,0.0
16.0,24.0,-3.9,0.625,0.0
17.0,24.0,-3.9,0.642,0.0
18.0,24.0,-3.9,0.658,0.0
19.0,24.0,-3.9,0.673,0.0
20.0,24.0,-3.9,0.688,0.0
20.9,21.79,-3.9,0.7,0.0
21.0,2.21,-3.9,0.701,0.0
22.0,24.0,-3.9,0.708,0.0
23.0,24.0,-3.9,0.716,0.0
24.0,24.0,-3.9,0.723,0.0
25.0,24.0,-3.9,0.73,0.0
26.0,24.0,-3.9,0.738,0.0
27.0,24.0,-3.9,0.745,0.0
28.0,24.0,-3.9,0.752,0.0
29.0,24.0,-3.9,0.759,0.0
30.0,24.0,-3.9,0.766,0.0
31.0,24.0,-6.1,0.779,0.0
32.0,24.0,-6.1,0.792,0.0
32.7,15.63,-6.1,0.8,0.0
33.0,8.37,-6.1,0.803,0.001
34.0,24.0,-6.1,0.812,0.002
35.0,24.0,-6.1,0.82,0.004
36.0,24.0,-6.1,0.828,0.006
37.0,24.0,-6.1,0.837,0.008
38.0,24.0,-6.1,0.845,0.01
39.0,24.0,-6.1,0.853,0.011
40.0,24.0,-6.1,0.861,0.013
41.0,24.0,-6.1,0.869,0.015
42.0,24.0,-6.1,0.876,0.016
43.0,24.0,-6.1,0.884,0.018
44.0,24.0,-6.1,0.891,0.02
45.0,24.0,-6.1,0.899,0.021
46.0,24.0,-6.1,0.906,0.023
47.0,24.0,-6.1,0.914,0.025
48.0,24.0,-6.1,0.921,0.026
49.0,24.0,-6.1,0.928,0.028
50.0,24.0,-6.1,0.935,0.029
51.0,24.0,-6.1,0.942,0.031
52.0,24.0,-6.1,0.949,0.032
53.0,24.0,-6.1,0.956,0.034
54.0,24.0,-6.1,0.963,0.035
55.0,24.0,-6.1,0.969,0.037
56.0,24.0,-6.1,0.976,0.038
57.0,24.0,-6.1,0.982,0.04
58.0,24.0,-6.1,0.989,0.041
59.0,24.0,-6.1,0.996,0.042
60.0,24.0,-6.1,1.002,0.044
61.0,24.0,-6.1,1.008,0.045
62.0,24.0,-12.7,1.024,0.048
63.0,24.0,-12.7,1.04,0.051
64.0,24.0,-12.7,1.055,0.054
65.0,24.0,-12.7,1.07,0.057
66.0,24.0,-12.7,1.084,0.059
67.0,24.0,-12.7,1.099,0.062
68.0,24.0,-12.7,1.113,0.065
69.0,24.0,-12.7,1.127,0.067
70.0,24.0,-12.7,1.141,0.07
71.0,24.0,-12.7,1.155,0.073
72.0,24.0,-12.7,1.168,0.075
72.7,17.69,-12.7,1.177,0.077
73.0,6.31,-12.7,1.18,0.078
74.0,24.0,-12.7,1.193,0.08
75.0,24.0,-12.7,1.205,0.082
76.0,24.0,-12.7,1.217,0.085
77.0,24.0,-12.7,1.229,0.087
78.0,24.0,-12.7,1.241,0.089
79.0,24.0,-12.7,1.253,0.092
80.0,24.0,-12.7,1.264,0.094
81.0,24.0,-12.7,1.276,0.096
82.0,24.0,-12.7,1.287,0.099
83.0,24.0,-12.7,1.298,0.101
84.0,24.0,-12.7,1.309,0.103
85.0,24.0,-12.7,1.32,0.105
86.0,24.0,-12.7,1.331,0.107
87.0,24.0,-12.7,1.342,0.109
88.0,24.0,-12.7,1.353,0.111
89.0,24.0,-12.7,1.363,0.113
90.0,24.0,-4.9,1.366,0.114
91.0,24.0,-4.9,1.369,0.115
92.0,24.0,-4.9,1.372,0.116
93.0,24.0,-4.9,1.375,0.116
94.0,24.0,-4.9,1.378,0.117
95.0,24.0,-4.9,1.38,0.118
96.0,24.0,-4.9,1.383,0.119
97.0,24.0,-4.9,1.386,0.119
98.0,24.0,-4.9,1.389,0.12
99.0,24.0,-4.9,1.392,0.121
100.0,24.0,-4.9,1.395,0.122
101.0,24.0,-4.9,1.397,0.122
102.0,24.0,-4.9,1.4,0.123
103.0,24.0,-4.9,1.403,0.124
104.0,24.0,-4.9,1.406,0.125
105.0,24.0,-4.9,1.409,0.125
106.0,24.0,-4.9,1.411,0.126
107.0,24.0,-4.9,1.414,0.127
108.0,24.0,-4.9,1.417,0.128
109.0,24.0,-4.9,1.42,0.128
110.0,24.0,-4.9,1.423,0.129
111.0,24.0,-4.9,1.425,0.13
112.0,24.0,-4.9,1.428,0.13
113.0,24.0,-4.9,1.431,0.131
114.0,24.0,-4.9,1.434,0.132
115.0,24.0,-4.9,1.436,0.133
116.0,24.0,-4.9,1.439,0.133
117.0,24.0,-4.9,1.442,0.134
118.0,24.0,-4.9,1.445,0.135
119.0,24.0,-4.9,1.448,0.135
120.0,24.0,-4.9,1.45,0.136
