day,dt,temp,site_z,site_h
1.0,24.0,-3.9,,
2.0,24.0,-3.9,,
3.0,24.0,-3.9,,
4.0,24.0,-3.9,,
5.0,24.0,-3.9,,
6.0,24.0,-3.9,,
7.0,24.0,-3.9,,
8.0,24.0,-3.9,,
9.0,24.0,-3.9,,
10.0,24.0,-3.9,,
11.0,24.0,-3.9,,
12.0,24.0,-3.9,,
13.0,24.0,-3.9,,
14.0,24.0,-3.9,,
15.0,24.0,-3.9,,
16.0,24.0,-3.9,,
17.0,24.0,-3.9,,
18.0,24.0,-3.9,,
19.0,24.0,-3.9,,
20.0,24.0,-3.9,,
20.9,21.79,-3.9,,
21.0,2.21,-3.9,,
22.0,24.0,-3.9,,
23.0,24.0,-3.9,,
24.0,24.0,-3.9,,
25.0,24.0,-3.9,,
26.0,24.0,-3.9,,
27.0,24.0,-3.9,,
28.0,24.0,-3.9,,
29.0,24.0,-3.9,0.781,0.001
30.0,24.0,-3.9,,
31.0,24.0,-6.1,,
32.0,24.0,-6.1,,
32.7,15.63,-6.1,,
33.0,8.37,-6.1,,
34.0,24.0,-6.1,,
35.0,24.0,-6.1,,
36.0,24.0,-6.1,,
37.0,24.0,-6.1,,
38.0,24.0,-6.1,,
39.0,24.0,-6.1,,
40.0,24.0,-6.1,,
41.0,24.0,-6.1,,
42.0,24.0,-6.1,,
43.0,24.0,-6.1,,
44.0,24.0,-6.1,,
45.0,24.0,-6.1,,
46.0,24.0,-6.1,,
47.0,24.0,-6.1,,
48.0,24.0,-6.1,,
49.0,24.0,-6.1,,
50.0,24.0,-6.1,,
51.0,24.0,-6.1,,
52.0,24.0,-6.1,,
53.0,24.0,-6.1,,
54.0,24.0,-6.1,,
55.0,24.0,-6.1,,
56.0,24.0,-6.1,,
57.0,24.0,-6.1,,
58.0,24.0,-6.1,,
59.0,24.0,-6.1,,
60.0,24.0,-6.1,0.979,0.045
61.0,24.0,-6.1,,
62.0,24.0,-12.7,,
63.0,24.0,-12.7,,
64.0,24.0,-12.7,,
65.0,24.0,-12.7,,
66.0,24.0,-12.7,,
67.0,24.0,-12.7,,
68.0,24.0,-12.7,,
69.0,24.0,-12.7,,
70.0,24.0,-12.7,,
71.0,24.0,-12.7,,
72.0,24.0,-12.7,,
72.7,17.69,-12.7,,
73.0,6.31,-12.7,,
74.0,24.0,-12.7,,
75.0,24.0,-12.7,,
76.0,24.0,-12.7,,
77.0,24.0,-12.7,,
78.0,24.0,-12.7,,
79.0,24.0,-12.7,,
80.0,24.0,-12.7,,
81.0,24.0,-12.7,,
82.0,24.0,-12.7,,
83.0,24.0,-12.7,,
84.0,24.0,-12.7,,
85.0,24.0,-12.7,,
86.0,24.0,-12.7,,
87.0,24.0,-12.7,,
88.0,24.0,-12.7,1.282,0.111
89.0,24.0,-12.7,,
90.0,24.0,-4.9,,
91.0,24.0,-4.9,,
92.0,24.0,-4.9,,
93.0,24.0,-4.9,,
94.0,24.0,-4.9,,
95.0,24.0,-4.9,,
96.0,24.0,-4.9,,
97.0,24.0,-4.9,,
98.0,24.0,-4.9,,
99.0,24.0,-4.9,,
100.0,24.0,-4.9,,
101.0,24.0,-4.9,,
102.0,24.0,-4.9,,
103.0,24.0,-4.9,,
104.0,24.0,-4.9,,
105.0,24.0,-4.9,,
106.0,24.0,-4.9,,
107.0,24.0,-4.9,,
108.0,24.0,-4.9,,
109.0,24.0,-4.9,,
110.0,24.0,-4.9,,
111.0,24.0,-4.9,,
112.0,24.0,-4.9,,
113.0,24.0,-4.9,,
114.0,24.0,-4.9,,
115.0,24.0,-4.9,,
116.0,24.0,-4.9,,
117.0,24.0,-4.9,,
118.0,24.0,-4.9,,
119.0,24.0,-4.9,1.359,0.133
120.0,24.0,-4.9,,
