day,dt,temp,chau_z,chau_h
1.0,24.0,-3.9,0.183,0.0
2.0,24.0,-3.9,0.252,0.0
3.0,24.0,-3.9,0.303,0.0
4.0,24.0,-3.9,0.346,0.0
5.0,24.0,-3.9,0.382,0.0
6.0,24.0,-3.9,0.414,0.0
7.0,24.0,-3.9,0.443,0.0
8.0,24.0,-3.9,0.469,0.0
9.0,24.0,-3.9,0.494,0.0
10.0,24.0,-3.9,0.516,0.0
11.0,24.0,-3.9,0.538,0.0
12.0,24.0,-3.9,0.558,0.0
13.0,24.0,-3.9,0.577,0.0
14.0,24.0,-3.9,0.594,0.0
15.0,24.0,-3.9,0.612,0.0
16.0,24.0,-3.9,0.628,0.0
17.0,24.0,-3.9,0.644,0.0
18.0,24.0,-3.9,0.659,0.0
19.0,24.0,-3.9,0.673,0.0
20.0,24.0,-3.9,0.687,0.0
21.0,24.0,-3.9,0.7,0.0
22.0,24.0,-3.9,0.713,0.0
23.0,24.0,-3.9,0.726,0.0
24.0,24.0,-3.9,0.738,0.0
25.0,24.0,-3.9,0.75,0.0
25.0,0.44,-3.9,0.75,0.0
26.0,23.56,-3.9,0.761,0.0
27.0,24.0,-3.9,0.771,0.0
28.0,24.0,-3.9,0.782,0.0
29.0,24.0,-3.9,0.792,0.0
30.0,24.0,-3.9,0.802,0.0
31.0,24.0,-6.1,0.822,0.0
32.0,24.0,-6.1,0.841,0.0
33.0,24.0,-6.1,0.86,0.0
34.0,24.0,-6.1,0.878,0.0
35.0,24.0,-6.1,0.895,0.0
36.0,24.0,-6.1,0.912,0.0
37.0,24.0,-6.1,0.929,0.0
38.0,24.0,-6.1,0.945,0.0
38.4,8.94,-6.1,0.95,0.0
39.0,15.06,-6.1,0.958,0.0
40.0,24.0,-6.1,0.971,0.0
41.0,24.0,-6.1,0.983,0.001
42.0,24.0,-6.1,0.995,0.001
43.0,24.0,-6.1,1.007,0.001
44.0,24.0,-6.1,1.019,0.002
45.0,24.0,-6.1,1.03,0.002
46.0,24.0,-6.1,1.041,0.002
47.0,24.0,-6.1,1.052,0.002
48.0,24.0,-6.1,1.063,0.003
49.0,24.0,-6.1,1.074,0.003
50.0,24.0,-6.1,1.084,0.003
51.0,24.0,-6.1,1.095,0.003
52.0,24.0,-6.1,1.105,0.004
53.0,24.0,-6.1,1.115,0.004
54.0,24.0,-6.1,1.124,0.004
55.0,24.0,-6.1,1.134,0.004
56.0,24.0,-6.1,1.144,0.005
57.0,24.0,-6.1,1.153,0.005
58.0,24.0,-6.1,1.163,0.005
59.0,24.0,-6.1,1.172,0.005
60.0,24.0,-6.1,1.181,0.006
61.0,24.0,-6.1,1.19,0.006
62.0,24.0,-12.7,1.216,0.006
63.0,24.0,-12.7,1.241,0.007
64.0,24.0,-12.7,1.266,0.007
65.0,24.0,-12.7,1.29,0.007
66.0,24.0,-12.7,1.314,0.008
67.0,24.0,-12.7,1.337,0.008
68.0,24.0,-12.7,1.359,0.009
69.0,24.0,-12.7,1.381,0.009
70.0,24.0,-12.7,1.402,0.009
71.0,24.0,-12.7,1.423,0.01
72.0,24.0,-12.7,1.444,0.01
73.0,24.0,-12.7,1.46,0.01
74.0,24.0,-12.7,1.468,0.011
75.0,24.0,-12.7,1.476,0.011
76.0,24.0,-12.7,1.483,0.011
77.0,24.0,-12.7,1.491,0.011
78.0,24.0,-12.7,1.498,0.011
79.0,24.0,-12.7,1.506,0.011
80.0,24.0,-12.7,1.513,0.012
81.0,24.0,-12.7,1.52,0.012
82.0,24.0,-12.7,1.528,0.012
83.0,24.0,-12.7,1.535,0.012
84.0,24.0,-12.7,1.543,0.012
85.0,24.0,-12.7,1.55,0.012
86.0,24.0,-12.7,1.557,0.013
87.0,24.0,-12.7,1.565,0.013
88.0,24.0,-12.7,1.572,0.013
89.0,24.0,-12.7,1.579,0.013
90.0,24.0,-4.9,1.58,0.013
91.0,24.0,-4.9,1.581,0.013
92.0,24.0,-4.9,1.583,0.013
93.0,24.0,-4.9,1.584,0.013
94.0,24.0,-4.9,1.585,0.013
95.0,24.0,-4.9,1.586,0.013
96.0,24.0,-4.9,1.587,0.014
97.0,24.0,-4.9,1.588,0.014
98.0,24.0,-4.9,1.589,0.014
99.0,24.0,-4.9,1.59,0.014
100.0,24.0,-4.9,1.592,0.014
101.0,24.0,-4.9,1.593,0.014
102.0,24.0,-4.9,1.594,0.014
103.0,24.0,-4.9,1.595,0.014
104.0,24.0,-4.9,1.596,0.014
105.0,24.0,-4.9,1.597,0.014
106.0,24.0,-4.9,1.599,0.014
107.0,24.0,-4.9,1.6,0.014
108.0,24.0,-4.9,1.601,0.014
109.0,24.0,-4.9,1.602,0.014
110.0,24.0,-4.9,1.603,0.014
111.0,24.0,-4.9,1.605,0.014
112.0,24.0,-4.9,1.606,0.014
113.0,24.0,-4.9,1.607,0.015
114.0,24.0,-4.9,1.608,0.015
115.0,24.0,-4.9,1.61,0.015
116.0,24.0,-4.9,1.611,0.015
117.0,24.0,-4.9,1.612,0.015
118.0,24.0,-4.9,1.614,0.015
119.0,24.0,-4.9,1.615,0.015
120.0,24.0,-4.9,1.616,0.015
