day,dt,temp,chau_z,chau_h
1.0,24.0,-3.9,0.183,0.0
2.0,24.0,-3.9,0.252,0.0
3.0,24.0,-3.9,0.303,0.0
4.0,24.0,-3.9,0.346,0.0
5.0,24.0,-3.9,0.382,0.0
6.0,24.0,-3.9,0.414,0.0
7.0,24.0,-3.9,0.443,0.0
8.0,24.0,-3.9,0.469,0.0
9.0,24.0,-3.9,0.494,0.0
10.0,24.0,-3.9,0.516,0.0
11.0,24.0,-3.9,0.538,0.0
12.0,24.0,-3.9,0.558,0.0
13.0,24.0,-3.9,0.577,0.0
14.0,24.0,-3.9,0.594,0.0
14.4,8.4,-3.9,0.6,0.0
15.0,15.6,-3.9,0.603,0.0
16.0,24.0,-3.9,0.608,0.0
17.0,24.0,-3.9,0.613,0.0
18.0,24.0,-3.9,0.618,0.0
19.0,24.0,-3.9,0.623,0.0
20.0,24.0,-3.9,0.628,0.0
21.0,24.0,-3.9,0.633,0.0
22.0,24.0,-3.9,0.638,0.0
23.0,24.0,-3.9,0.643,0.0
24.0,24.0,-3.9,0.648,0.0
25.0,24.0,-3.9,0.653,0.0
26.0,24.0,-3.9,0.658,0.0
27.0,24.0,-3.9,0.663,0.0
28.0,24.0,-3.9,0.667,0.0
29.0,24.0,-3.9,0.672,0.0
30.0,24.0,-3.9,0.677,0.0
31.0,24.0,-6.1,0.687,0.0
32.0,24.0,-6.1,0.697,0.0
33.0,24.0,-6.1,0.707,0.0
34.0,24.0,-6.1,0.716,0.0
35.0,24.0,-6.1,0.726,0.0
36.0,24.0,-6.1,0.735,0.0
37.0,24.0,-6.1,0.745,0.0
38.0,24.0,-6.1,0.754,0.0
39.0,24.0,-6.1,0.763,0.0
40.0,24.0,-6.1,0.773,0.0
41.0,24.0,-6.1,0.782,0.0
42.0,24.0,-6.1,0.791,0.0
43.0,24.0,-6.1,0.8,0.0
44.0,24.0,-6.1,0.809,0.0
45.0,24.0,-6.1,0.817,0.0
46.0,24.0,-6.1,0.826,0.0
47.0,24.0,-6.1,0.835,0.0
48.0,24.0,-6.1,0.844,0.0
49.0,24.0,-6.1,0.852,0.0
50.0,24.0,-6.1,0.861,0.0
51.0,24.0,-6.1,0.869,0.0
52.0,24.0,-6.1,0.877,0.0
53.0,24.0,-6.1,0.886,0.0
54.0,24.0,-6.1,0.894,0.0
55.0,24.0,-6.1,0.902,0.0
56.0,24.0,-6.1,0.91,0.0
57.0,24.0,-6.1,0.918,0.0
58.0,24.0,-6.1,0.926,0.0
59.0,24.0,-6.1,0.934,0.0
60.0,24.0,-6.1,0.942,0.0
61.0,24.0,-6.1,0.95,0.0
62.0,24.0,-12.7,0.971,0.0
63.0,24.0,-12.7,0.992,0.0
64.0,24.0,-12.7,1.013,0.0
65.0,24.0,-12.7,1.033,0.0
66.0,24.0,-12.7,1.053,0.0
67.0,24.0,-12.7,1.073,0.0
68.0,24.0,-12.7,1.092,0.0
68.5,11.13,-12.7,1.1,0.0
69.0,12.87,-12.7,1.106,0.002
70.0,24.0,-12.7,1.116,0.006
71.0,24.0,-12.7,1.127,0.009
72.0,24.0,-12.7,1.137,0.013
73.0,24.0,-12.7,1.147,0.016
74.0,24.0,-12.7,1.158,0.02
75.0,24.0,-12.7,1.168,0.023
76.0,24.0,-12.7,1.178,0.027
77.0,24.0,-12.7,1.188,0.03
78.0,24.0,-12.7,1.197,0.034
79.0,24.0,-12.7,1.207,0.037
80.0,24.0,-12.7,1.217,0.04
81.0,24.0,-12.7,1.226,0.044
82.0,24.0,-12.7,1.236,0.047
83.0,24.0,-12.7,1.245,0.05
84.0,24.0,-12.7,1.254,0.053
85.0,24.0,-12.7,1.263,0.056
86.0,24.0,-12.7,1.273,0.06
87.0,24.0,-12.7,1.282,0.063
88.0,24.0,-12.7,1.291,0.066
89.0,24.0,-12.7,1.299,0.069
90.0,24.0,-4.9,1.301,0.07
91.0,24.0,-4.9,1.303,0.071
92.0,24.0,-4.9,1.305,0.072
93.0,24.0,-4.9,1.307,0.073
94.0,24.0,-4.9,1.309,0.075
95.0,24.0,-4.9,1.311,0.076
96.0,24.0,-4.9,1.313,0.077
97.0,24.0,-4.9,1.315,0.078
98.0,24.0,-4.9,1.317,0.079
99.0,24.0,-4.9,1.319,0.08
100.0,24.0,-4.9,1.321,0.082
101.0,24.0,-4.9,1.323,0.083
102.0,24.0,-4.9,1.325,0.084
103.0,24.0,-4.9,1.327,0.085
104.0,24.0,-4.9,1.329,0.086
105.0,24.0,-4.9,1.331,0.087
106.0,24.0,-4.9,1.333,0.088
107.0,24.0,-4.9,1.335,0.09
108.0,24.0,-4.9,1.337,0.091
109.0,24.0,-4.9,1.339,0.092
110.0,24.0,-4.9,1.34,0.093
111.0,24.0,-4.9,1.342,0.094
112.0,24.0,-4.9,1.344,0.095
113.0,24.0,-4.9,1.346,0.096
114.0,24.0,-4.9,1.348,0.097
115.0,24.0,-4.9,1.35,0.099
116.0,24.0,-4.9,1.352,0.1
117.0,24.0,-4.9,1.354,0.101
118.0,24.0,-4.9,1.356,0.102
119.0,24.0,-4.9,1.358,0.103
120.0,24.0,-4.9,1.36,0.104
