day,dt,temp,chau_z,chau_h
1.0,24.0,-3.9,0.163,0.0
2.0,24.0,-3.9,0.227,0.0
3.0,24.0,-3.9,0.275,0.0
4.0,24.0,-3.9,0.314,0.0
5.0,24.0,-3.9,0.349,0.0
6.0,24.0,-3.9,0.379,0.0
7.0,24.0,-3.9,0.407,0.0
8.0,24.0,-3.9,0.433,0.0
9.0,24.0,-3.9,0.457,0.0
10.0,24.0,-3.9,0.479,0.0
11.0,24.0,-3.9,0.5,0.0
12.0,24.0,-3.9,0.52,0.0
13.0,24.0,-3.9,0.539,0.0
14.0,24.0,-3.9,0.557,0.0
15.0,24.0,-3.9,0.574,0.0
16.0,24.0,-3.9,0.59,0.0
17.0,24.0,-3.9,0.606,0.0
18.0,24.0,-3.9,0.622,0.0
19.0,24.0,-3.9,0.637,0.0
20.0,24.0,-3.9,0.651,0.0
21.0,24.0,-3.9,0.665,0.0
22.0,24.0,-3.9,0.678,0.0
23.0,24.0,-3.9,0.691,0.0
23.7,16.95,-3.9,0.7,0.0
24.0,7.05,-3.9,0.702,0.001
25.0,24.0,-3.9,0.707,0.002
26.0,24.0,-3.9,0.712,0.004
27.0,24.0,-3.9,0.717,0.006
28.0,24.0,-3.9,0.722,0.007
29.0,24.0,-3.9,0.727,0.009
30.0,24.0,-3.9,0.732,0.011
31.0,24.0,-6.1,0.74,0.013
32.0,24.0,-6.1,0.749,0.016
33.0,24.0,-6.1,0.757,0.018
34.0,24.0,-6.1,0.766,0.021
35.0,24.0,-6.1,0.774,0.023
36.0,24.0,-6.1,0.782,0.025
37.0,24.0,-6.1,0.79,0.028
38.0,24.0,-6.1,0.798,0.03
39.0,24.0,-6.1,0.805,0.032
40.0,24.0,-6.1,0.813,0.035
41.0,24.0,-6.1,0.82,0.037
42.0,24.0,-6.1,0.828,0.039
43.0,24.0,-6.1,0.835,0.041
44.0,24.0,-6.1,0.843,0.043
45.0,24.0,-6.1,0.85,0.045
46.0,24.0,-6.1,0.857,0.048
47.0,24.0,-6.1,0.864,0.05
48.0,24.0,-6.1,0.871,0.052
49.0,24.0,-6.1,0.878,0.054
50.0,24.0,-6.1,0.884,0.056
51.0,24.0,-6.1,0.891,0.058
52.0,24.0,-6.1,0.898,0.06
53.0,24.0,-6.1,0.904,0.062
54.0,24.0,-6.1,0.911,0.064
55.0,24.0,-6.1,0.917,0.066
56.0,24.0,-6.1,0.924,0.068
57.0,24.0,-6.1,0.93,0.07
58.0,24.0,-6.1,0.937,0.071
59.0,24.0,-6.1,0.943,0.073
60.0,24.0,-6.1,0.949,0.075
61.0,24.0,-6.1,0.955,0.077
62.0,24.0,-12.7,0.97,0.081
63.0,24.0,-12.7,0.984,0.085
64.0,24.0,-12.7,0.999,0.089
65.0,24.0,-12.7,1.013,0.092
66.0,24.0,-12.7,1.027,0.096
67.0,24.0,-12.7,1.04,0.099
68.0,24.0,-12.7,1.054,0.103
69.0,24.0,-12.7,1.067,0.106
70.0,24.0,-12.7,1.08,0.11
71.0,24.0,-12.7,1.093,0.113
72.0,24.0,-12.7,1.105,0.116
73.0,24.0,-12.7,1.118,0.12
74.0,24.0,-12.7,1.13,0.123
75.0,24.0,-12.7,1.142,0.126
76.0,24.0,-12.7,1.154,0.129
77.0,24.0,-12.7,1.166,0.132
78.0,24.0,-12.7,1.178,0.135
79.0,24.0,-12.7,1.189,0.138
80.0,24.0,-12.7,1.201,0.141
81.0,24.0,-12.7,1.212,0.144
82.0,24.0,-12.7,1.223,0.147
83.0,24.0,-12.7,1.234,0.15
84.0,24.0,-12.7,1.245,0.153
85.0,24.0,-12.7,1.256,0.156
86.0,24.0,-12.7,1.267,0.159
87.0,24.0,-12.7,1.277,0.161
88.0,24.0,-12.7,1.288,0.164
89.0,24.0,-12.7,1.298,0.167
90.0,24.0,-4.9,1.301,0.168
91.0,24.0,-4.9,1.304,0.169
92.0,24.0,-4.9,1.307,0.17
93.0,24.0,-4.9,1.31,0.171
94.0,24.0,-4.9,1.312,0.172
95.0,24.0,-4.9,1.315,0.173
96.0,24.0,-4.9,1.318,0.174
97.0,24.0,-4.9,1.321,0.175
98.0,24.0,-4.9,1.324,0.176
99.0,24.0,-4.9,1.327,0.177
100.0,24.0,-4.9,1.329,0.178
101.0,24.0,-4.9,1.332,0.179
102.0,24.0,-4.9,1.335,0.18
103.0,24.0,-4.9,1.338,0.18
104.0,24.0,-4.9,1.34,0.181
105.0,24.0,-4.9,1.343,0.182
106.0,24.0,-4.9,1.346,0.183
107.0,24.0,-4.9,1.349,0.184
108.0,24.0,-4.9,1.351,0.185
109.0,24.0,-4.9,1.354,0.186
110.0,24.0,-4.9,1.357,0.187
111.0,24.0,-4.9,1.36,0.188
112.0,24.0,-4.9,1.362,0.189
113.0,24.0,-4.9,1.365,0.19
114.0,24.0,-4.9,1.368,0.191
115.0,24.0,-4.9,1.371,0.192
116.0,24.0,-4.9,1.373,0.193
117.0,24.0,-4.9,1.376,0.194
118.0,24.0,-4.9,1.379,0.195
119.0,24.0,-4.9,1.382,0.196
120.0,24.0,-4.9,1.384,0.197
