day,dt,temp,site_z,site_h
0.4000000000000057,8.71,-2.0,,
1.0,15.29,-2.0,,
2.0,24.0,-4.8,,
3.0,24.0,1.8,,
3.0999999999999943,1.24,2.5,,
3.200000000000003,2.58,2.5,,
4.0,20.18,2.5,,
5.0,24.0,0.8,,
6.0,24.0,3.5,,
7.0,24.0,0.3,,
7.200000000000003,4.24,-3.8,,
8.0,19.76,-3.8,,
9.0,24.0,-4.5,,
10.0,24.0,-3.0,,
11.0,24.0,0.5,,
12.0,24.0,0.3,,
12.799999999999997,18.34,2.5,,
12.899999999999999,2.63,2.5,,
13.0,3.03,2.5,,
13.200000000000003,3.96,-4.0,,
14.0,20.04,-4.0,0.0,0.0
15.0,24.0,-4.3,,
16.0,24.0,0.8,,
17.0,24.0,-4.5,,
18.0,24.0,-6.8,,
19.0,24.0,-1.3,,
20.0,24.0,-4.5,,
21.0,24.0,1.8,,
22.0,24.0,-2.0,,
23.0,24.0,-2.3,,
24.0,24.0,0.0,0.57,
25.0,24.0,-2.8,,
26.0,24.0,-2.0,,
27.0,24.0,-0.5,,
28.0,24.0,-3.3,,
29.0,24.0,-0.8,0.71,
30.0,24.0,-10.5,,
30.700000000000003,15.86,-10.0,,
31.0,8.14,-10.0,0.8,
32.0,24.0,-11.3,,
33.0,24.0,-7.3,,
34.0,24.0,-5.8,,
35.0,24.0,2.8,,
36.0,24.0,-2.5,,
37.0,24.0,-8.8,,
38.0,24.0,-8.8,1.107,
39.0,24.0,-3.3,,
40.0,24.0,0.8,,
41.0,24.0,1.0,,
42.0,24.0,-0.8,,
43.0,24.0,-3.0,,
44.0,24.0,-3.5,1.217,
45.0,24.0,-5.5,,
46.0,24.0,-10.5,,
47.0,24.0,-2.5,,
48.0,24.0,-1.5,,
49.0,24.0,-4.8,,
50.0,24.0,-9.8,1.265,
51.0,24.0,-5.5,,
52.0,24.0,-1.8,,
53.0,24.0,-8.8,,
54.0,24.0,-10.5,,
55.0,24.0,-7.8,,
56.0,24.0,-7.0,,
57.0,24.0,-4.5,,
58.0,24.0,-1.3,,
59.0,24.0,-5.0,,
60.0,24.0,-17.5,,
61.0,24.0,-18.3,,
62.0,24.0,-12.5,,
63.0,24.0,-15.0,,
64.0,24.0,-25.3,,
65.0,24.0,-29.5,,
66.0,24.0,-29.5,,
67.0,24.0,-22.5,,
68.0,24.0,-18.3,,
69.0,24.0,-9.5,,
70.0,24.0,-14.5,,
71.0,24.0,-25.0,,
72.0,24.0,-21.5,,
73.0,24.0,-17.0,,
74.0,24.0,-22.5,,
75.0,24.0,-21.3,,
76.0,24.0,-21.3,,
77.0,24.0,-18.3,,
78.0,24.0,-18.5,,
79.0,24.0,-17.0,,
80.0,24.0,-17.0,2.08,
81.0,24.0,-14.5,,
82.0,24.0,-14.5,,
83.0,24.0,-20.0,,
84.0,24.0,-26.5,,
85.0,24.0,-22.8,,
86.0,24.0,-15.0,,
87.0,24.0,-26.5,,
88.0,24.0,-24.8,,
89.0,24.0,-19.8,,
90.0,24.0,-16.3,,
91.0,24.0,-24.5,,
92.0,24.0,-19.5,,
93.0,24.0,-22.8,,
94.0,24.0,-30.0,,
95.0,24.0,-20.5,,
96.0,24.0,-8.8,,
97.0,24.0,-11.8,,
98.0,24.0,-21.0,,
99.0,24.0,-22.8,,
100.0,24.0,-20.8,,
101.0,24.0,-18.8,,
102.0,24.0,-16.0,,
103.0,24.0,-15.8,,
104.0,24.0,-14.5,,
105.0,24.0,-18.5,,
106.0,24.0,-19.5,,
107.0,24.0,-28.5,,
107.3,7.94,-24.8,,
108.0,16.06,-24.8,,
109.0,24.0,-19.8,,
110.0,24.0,-20.8,,
111.0,24.0,-15.5,,
112.0,24.0,-11.8,,
113.0,24.0,-12.0,,
114.0,24.0,-16.3,,
115.0,24.0,-12.8,,
116.0,24.0,-11.3,,
117.0,24.0,-10.3,,
118.0,24.0,-0.8,,
119.0,24.0,7.8,,
120.0,24.0,1.0,,
121.0,24.0,-13.3,,
122.0,24.0,-18.3,,
123.0,24.0,-14.0,,
124.0,24.0,-14.3,,
125.0,24.0,-14.8,,
126.0,24.0,-18.0,,
127.0,24.0,-16.0,,
128.0,24.0,-16.5,,
129.0,24.0,-16.5,,
130.0,24.0,-11.5,,
131.0,24.0,-5.5,,
132.0,24.0,-4.0,,
133.0,24.0,-12.8,,
134.0,24.0,-5.8,,
135.0,24.0,-1.0,,
136.0,24.0,-6.8,,
137.0,24.0,-6.5,,
138.0,24.0,-9.0,,
139.0,24.0,-14.8,,
140.0,24.0,-7.8,,
141.0,24.0,-4.3,,
142.0,24.0,-2.3,,
143.0,24.0,-0.8,,
144.0,24.0,-4.5,,
145.0,24.0,-7.0,,
146.0,24.0,-5.5,,
147.0,24.0,0.0,,
148.0,24.0,0.5,,
149.0,24.0,-3.0,,
150.0,24.0,-2.3,,
151.0,24.0,-4.3,,
152.0,24.0,0.5,,
153.0,24.0,-0.3,,
154.0,24.0,-5.5,,
155.0,24.0,0.5,,0.008
156.0,24.0,-0.5,,
157.0,24.0,-7.5,,
158.0,24.0,-1.8,,
159.0,24.0,-5.8,,
160.0,24.0,-9.5,,
161.0,24.0,-1.5,,
162.0,24.0,-1.8,,
163.0,24.0,1.0,,
164.0,24.0,-3.0,,
165.0,24.0,-3.5,,
166.0,24.0,-2.5,,
167.0,24.0,1.0,,
168.0,24.0,5.0,,
169.0,24.0,2.8,,
170.0,24.0,4.5,,
171.0,24.0,6.5,,
172.0,24.0,5.3,,
173.0,24.0,8.8,,
174.0,24.0,5.5,,
175.0,24.0,1.8,,
176.0,24.0,-0.5,,
177.0,24.0,2.0,,
178.0,24.0,3.3,,
179.0,24.0,-0.5,,
180.0,24.0,-3.5,,
181.0,24.0,-4.5,,
182.0,24.0,-0.8,,
183.0,24.0,1.0,,
184.0,24.0,1.8,,
185.0,24.0,9.0,,
186.0,24.0,-0.3,,
187.0,24.0,2.0,,
188.0,24.0,4.8,,
