day,dt,temp,chau_z,chau_h
0.20000000000000284,3.61,-1.8,0.1,0.0
1.0,20.39,-1.8,0.146,0.0
2.0,24.0,-4.3,0.243,0.0
3.0,24.0,-6.3,0.342,0.0
4.0,24.0,-3.3,0.377,0.0
5.0,23.62,-5.8,0.43,0.0
5.0,0.38,-5.8,0.43,0.0
6.0,24.0,-2.5,0.43,0.0
7.0,24.0,3.0,0.43,0.0
8.0,24.0,5.3,0.344,0.0
9.0,24.0,-1.0,0.347,0.0
10.0,24.0,-4.0,0.393,0.0
10.5,11.46,-8.5,0.43,0.0
11.0,12.54,-8.5,0.442,0.0
11.399999999999999,9.61,-9.3,0.468,0.0
12.0,14.39,-9.3,0.468,0.0
13.0,24.0,-6.5,0.468,0.0
14.0,24.0,-0.8,0.468,0.0
14.200000000000003,5.42,3.0,0.43,0.0
15.0,18.58,3.0,0.391,0.0
16.0,24.0,3.0,0.336,0.0
17.0,24.0,-1.0,0.341,0.0
18.0,24.0,-6.0,0.416,0.0
18.200000000000003,4.11,-9.3,0.43,0.0
19.0,19.89,-9.3,0.459,0.0
19.200000000000003,4.02,-10.3,0.468,0.0
20.0,19.98,-10.3,0.485,0.0
21.0,24.0,-12.3,0.531,0.0
22.0,24.0,-12.3,0.575,0.0
23.0,24.0,-10.3,0.594,0.0
24.0,24.0,-2.5,0.52,0.0
24.4,9.8,2.3,0.468,0.0
25.0,14.2,2.3,0.438,0.0
26.0,24.0,-2.0,0.43,0.0
27.0,24.0,-1.8,0.43,0.0
28.0,24.0,-0.8,0.43,0.0
29.0,24.0,-0.3,0.425,0.0
30.0,24.0,2.3,0.386,0.0
31.0,24.0,-1.5,0.398,0.0
32.0,24.0,-1.8,0.414,0.0
32.6,14.23,-3.0,0.43,0.0
33.0,9.77,-3.0,0.43,0.0
34.0,24.0,-2.5,0.43,0.0
35.0,24.0,-3.8,0.43,0.0
36.0,24.0,-1.3,0.43,0.0
37.0,24.0,-4.3,0.43,0.0
37.4,10.12,-11.5,0.468,0.0
38.0,13.88,-11.5,0.502,0.0
39.0,24.0,-9.5,0.534,0.0
40.0,24.0,-9.3,0.564,0.0
41.0,24.0,-11.5,0.598,0.0
42.0,24.0,-12.5,0.608,0.0
43.0,24.0,-13.3,0.62,0.0
44.0,24.0,-11.0,0.627,0.0
45.0,24.0,-5.3,0.624,0.0
46.0,24.0,-5.0,0.62,0.0
47.0,24.0,-7.0,0.62,0.0
48.0,24.0,-2.5,0.612,0.0
48.9,21.06,2.0,0.598,0.0
49.0,2.94,2.0,0.585,0.0
50.0,24.0,2.0,0.483,0.0
51.0,24.0,-7.3,0.499,0.0
52.0,24.0,-7.8,0.522,0.0
53.0,24.0,-3.0,0.485,0.0
54.0,24.0,-16.8,0.598,0.0
55.0,24.0,-10.5,0.606,0.0
56.0,24.0,-6.3,0.606,0.0
57.0,24.0,-19.0,0.63,0.0
58.0,24.0,-19.5,0.655,0.0
59.0,24.0,-16.0,0.673,0.0
60.0,24.0,-21.0,0.701,0.0
61.0,24.0,-10.3,0.709,0.0
62.0,24.0,-8.3,0.713,0.0
63.0,24.0,-10.5,0.721,0.0
64.0,24.0,-9.0,0.726,0.0
65.0,24.0,-18.0,0.748,0.0
66.0,24.0,-20.3,0.774,0.0
67.0,24.0,-15.0,0.79,0.0
68.0,24.0,-4.3,0.787,0.0
69.0,24.0,-5.3,0.786,0.0
70.0,24.0,-14.5,0.801,0.0
71.0,24.0,-11.0,0.811,0.0
72.0,24.0,-14.5,0.826,0.0
73.0,24.0,-23.0,0.856,0.0
74.0,24.0,-26.0,0.892,0.0
75.0,24.0,-19.5,0.916,0.0
76.0,24.0,-17.8,0.936,0.0
77.0,24.0,-18.3,0.958,0.0
78.0,24.0,-20.0,0.982,0.0
79.0,24.0,-18.8,0.998,0.0
80.0,24.0,-12.0,1.002,0.0
81.0,24.0,-5.0,1.001,0.0
82.0,24.0,-15.8,1.009,0.0
83.0,24.0,-18.8,1.02,0.0
84.0,24.0,-11.8,1.025,0.0
85.0,24.0,-11.0,1.029,0.0
86.0,24.0,-7.5,1.03,0.0
87.0,24.0,-1.8,1.026,0.0
88.0,24.0,-5.3,1.026,0.0
89.0,24.0,-13.5,1.032,0.0
90.0,24.0,-18.0,1.043,0.0
91.0,24.0,-9.5,1.045,0.0
92.0,24.0,-14.8,1.053,0.0
93.0,24.0,-14.5,1.061,0.0
94.0,24.0,-30.0,1.082,0.0
95.0,24.0,-28.8,1.102,0.0
96.0,24.0,-19.3,1.113,0.0
97.0,24.0,-19.8,1.125,0.0
98.0,24.0,-10.3,1.129,0.0
99.0,24.0,-14.5,1.136,0.0
100.0,24.0,-15.3,1.145,0.0
101.0,24.0,-28.8,1.164,0.0
102.0,24.0,-25.0,1.181,0.0
103.0,24.0,-16.8,1.19,0.0
104.0,24.0,-19.3,1.202,0.0
105.0,24.0,-10.3,1.206,0.0
106.0,24.0,-19.5,1.217,0.0
107.0,24.0,-19.8,1.229,0.0
108.0,24.0,-11.5,1.234,0.0
109.0,24.0,-8.5,1.237,0.0
110.0,24.0,-16.8,1.246,0.0
111.0,24.0,-16.5,1.255,0.0
112.0,24.0,-8.0,1.257,0.0
113.0,24.0,-23.0,1.272,0.0
114.0,24.0,-23.5,1.287,0.0
115.0,24.0,-25.0,1.303,0.0
116.0,24.0,-28.0,1.322,0.0
117.0,24.0,-20.8,1.335,0.0
118.0,24.0,-13.8,1.342,0.0
119.0,24.0,-14.5,1.349,0.0
120.0,24.0,-20.5,1.362,0.0
121.0,24.0,-17.8,1.372,0.0
122.0,24.0,-19.3,1.383,0.0
123.0,24.0,-15.0,1.391,0.0
123.9,21.44,-16.5,1.398,0.0
124.0,2.56,-16.5,1.398,0.0
125.0,24.0,-10.0,1.401,0.0
126.0,24.0,-6.8,1.401,0.0
127.0,24.0,-7.5,1.402,0.0
128.0,24.0,-8.3,1.404,0.001
129.0,24.0,-9.8,1.406,0.001
130.0,24.0,-8.0,1.408,0.001
131.0,24.0,-9.8,1.41,0.001
132.0,24.0,-9.3,1.412,0.001
133.0,24.0,-10.0,1.415,0.001
134.0,24.0,-7.3,1.416,0.001
135.0,24.0,-19.0,1.423,0.002
136.0,24.0,-16.5,1.429,0.002
137.0,24.0,-11.8,1.433,0.002
138.0,24.0,-19.0,1.44,0.002
139.0,24.0,-10.3,1.443,0.003
140.0,24.0,-5.0,1.443,0.003
141.0,24.0,-21.0,1.451,0.003
142.0,24.0,-15.3,1.456,0.003
143.0,24.0,-7.8,1.458,0.003
144.0,24.0,-3.8,1.457,0.003
145.0,24.0,-4.3,1.457,0.004
146.0,24.0,-10.5,1.46,0.004
147.0,24.0,-6.0,1.46,0.004
148.0,24.0,2.3,1.457,0.004
149.0,24.0,2.5,1.453,0.004
150.0,24.0,3.8,1.448,0.004
151.0,24.0,4.8,1.443,0.004
