day,date,dt,temp,chau_z,chau_h
1.0,2002-10-29,24.0,-1.7,0.18,0.0
2.0,2002-10-30,24.0,-2.7,0.192,0.0
2.200000000000003,2002-10-31,3.79,0.8,0.18,0.0
2.5,2002-10-31,9.04,0.8,0.0,0.0
3.0,2002-10-31,11.17,0.8,0.0,0.0
3.3999999999999986,2002-11-01,9.17,-4.1,0.18,0.0
4.0,2002-11-01,14.83,-4.1,0.207,0.0
5.0,2002-11-02,24.0,-7.8,0.303,0.0
6.0,2002-11-03,24.0,-4.1,0.318,0.0
7.0,2002-11-04,24.0,-1.6,0.294,0.0
8.0,2002-11-05,24.0,0.0,0.245,0.0
9.0,2002-11-06,24.0,-0.8,0.213,0.0
10.0,2002-11-07,24.0,-7.6,0.307,0.0
11.0,2002-11-08,24.0,2.2,0.219,0.0
11.299999999999997,2002-11-09,8.29,3.0,0.18,0.0
11.5,2002-11-09,4.2,3.0,0.0,0.0
12.0,2002-11-09,11.51,3.0,0.0,0.0
13.0,2002-11-10,24.0,15.5,0.0,0.0
14.0,2002-11-11,24.0,8.8,0.0,0.0
15.0,2002-11-12,24.0,3.9,0.0,0.0
16.0,2002-11-13,24.0,2.0,0.0,0.0
17.0,2002-11-14,24.0,6.8,0.0,0.0
17.4,2002-11-15,8.96,-3.8,0.18,0.0
18.0,2002-11-15,15.04,-3.8,0.21,0.0
19.0,2002-11-16,24.0,-3.6,0.243,0.0
20.0,2002-11-17,24.0,-2.9,0.258,0.0
21.0,2002-11-18,24.0,-3.0,0.273,0.0
22.0,2002-11-19,24.0,0.6,0.222,0.0
22.4,2002-11-20,9.57,2.9,0.18,0.0
22.6,2002-11-20,4.37,2.9,0.0,0.0
23.0,2002-11-20,10.06,2.9,0.0,0.0
24.0,2002-11-21,24.0,5.5,0.0,0.0
25.0,2002-11-22,24.0,4.1,0.0,0.0
26.0,2002-11-23,24.0,-0.7,0.114,0.0
27.0,2002-11-24,24.0,-1.0,0.122,0.0
27.4,2002-11-25,9.54,-2.4,0.18,0.0
28.0,2002-11-25,14.46,-2.4,0.193,0.0
29.0,2002-11-26,24.0,-3.5,0.234,0.0
