day,date,dt,temp,site_z,site_h
1.0,2002-10-29,24.0,-1.7,,
2.0,2002-10-30,24.0,-2.7,,
2.200000000000003,2002-10-31,3.79,0.8,,
2.5,2002-10-31,9.04,0.8,,
3.0,2002-10-31,11.17,0.8,,
3.3999999999999986,2002-11-01,9.17,-4.1,,
4.0,2002-11-01,14.83,-4.1,,
5.0,2002-11-02,24.0,-7.8,,
6.0,2002-11-03,24.0,-4.1,,
7.0,2002-11-04,24.0,-1.6,,
8.0,2002-11-05,24.0,0.0,,
9.0,2002-11-06,24.0,-0.8,,
10.0,2002-11-07,24.0,-7.6,,
11.0,2002-11-08,24.0,2.2,,
11.299999999999997,2002-11-09,8.29,3.0,,
11.5,2002-11-09,4.2,3.0,,
12.0,2002-11-09,11.51,3.0,,
13.0,2002-11-10,24.0,15.5,,
14.0,2002-11-11,24.0,8.8,,
15.0,2002-11-12,24.0,3.9,,
16.0,2002-11-13,24.0,2.0,,
17.0,2002-11-14,24.0,6.8,,
17.4,2002-11-15,8.96,-3.8,,
18.0,2002-11-15,15.04,-3.8,,
19.0,2002-11-16,24.0,-3.6,,
20.0,2002-11-17,24.0,-2.9,,
21.0,2002-11-18,24.0,-3.0,,
22.0,2002-11-19,24.0,0.6,,
22.4,2002-11-20,9.57,2.9,,
22.6,2002-11-20,4.37,2.9,,
23.0,2002-11-20,10.06,2.9,,
24.0,2002-11-21,24.0,5.5,,
25.0,2002-11-22,24.0,4.1,,
26.0,2002-11-23,24.0,-0.7,,
27.0,2002-11-24,24.0,-1.0,,
27.4,2002-11-25,9.54,-2.4,,
28.0,2002-11-25,14.46,-2.4,,
29.0,2002-11-26,24.0,-3.5,0.0,0.0
30.0,2002-11-27,24.0,-8.8,,
31.0,2002-11-28,24.0,-8.1,,
32.0,2002-11-29,24.0,-0.8,,
33.0,2002-11-30,24.0,1.1,,
34.0,2002-12-01,24.0,-10.5,,
34.5,2002-12-02,11.85,-10.7,,
35.0,2002-12-02,12.15,-10.7,,
36.0,2002-12-03,24.0,-13.0,,
37.0,2002-12-04,24.0,-11.4,0.55,0.0
38.0,2002-12-05,24.0,-5.0,,
39.0,2002-12-06,24.0,-2.1,,
40.0,2002-12-07,24.0,-0.3,,
41.0,2002-12-08,24.0,-12.9,,
42.0,2002-12-09,24.0,-8.1,,
43.0,2002-12-10,24.0,-1.4,,
44.0,2002-12-11,24.0,-2.3,0.67,0.0
45.0,2002-12-12,24.0,-0.3,,
46.0,2002-12-13,24.0,1.0,,
47.0,2002-12-14,24.0,2.3,,
48.0,2002-12-15,24.0,-1.1,,
49.0,2002-12-16,24.0,-8.1,,
50.0,2002-12-17,24.0,-12.4,,
51.0,2002-12-18,24.0,-10.9,,
52.0,2002-12-19,24.0,-0.7,0.68,0.0
53.0,2002-12-20,24.0,3.3,,
54.0,2002-12-21,24.0,2.6,,
55.0,2002-12-22,24.0,2.0,,
56.0,2002-12-23,24.0,-0.4,,
57.0,2002-12-24,24.0,-6.4,,
58.0,2002-12-25,24.0,-3.5,,
59.0,2002-12-26,24.0,-5.8,0.66,0.0
60.0,2002-12-27,24.0,-5.1,,
61.0,2002-12-28,24.0,-1.2,,
62.0,2002-12-29,24.0,-8.1,,
63.0,2002-12-30,24.0,-8.9,,
64.0,2002-12-31,24.0,2.0,,
65.0,2003-01-01,24.0,-9.2,,
66.0,2003-01-02,24.0,-9.9,,
67.0,2003-01-03,24.0,-5.4,,
68.0,2003-01-04,24.0,-5.6,,
69.0,2003-01-05,24.0,-4.4,,
70.0,2003-01-06,24.0,-8.0,,
71.0,2003-01-07,24.0,-9.5,,
72.0,2003-01-08,24.0,-11.5,0.809,0.001
73.0,2003-01-09,24.0,-19.0,,
73.1,2003-01-10,2.34,-16.9,,
74.0,2003-01-10,21.66,-16.9,,
75.0,2003-01-11,24.0,-14.3,,
76.0,2003-01-12,24.0,-10.3,,
77.0,2003-01-13,24.0,-10.3,,
78.0,2003-01-14,24.0,-23.0,,
79.0,2003-01-15,24.0,-20.8,,
80.0,2003-01-16,24.0,-16.0,,
81.0,2003-01-17,24.0,-24.7,,
82.0,2003-01-18,24.0,-17.5,,
83.0,2003-01-19,24.0,-10.1,,
84.0,2003-01-20,24.0,-14.4,,
85.0,2003-01-21,24.0,-22.9,,
86.0,2003-01-22,24.0,-21.2,1.136,0.004
87.0,2003-01-23,24.0,-18.2,,
88.0,2003-01-24,24.0,-20.3,,
89.0,2003-01-25,24.0,-6.8,,
90.0,2003-01-26,24.0,-11.9,,
91.0,2003-01-27,24.0,-25.7,,
92.0,2003-01-28,24.0,-16.4,,
93.0,2003-01-29,24.0,-15.7,,
94.0,2003-01-30,24.0,-14.3,,
95.0,2003-01-31,24.0,-4.2,,
96.0,2003-02-01,24.0,0.8,,
97.0,2003-02-02,24.0,0.3,,
98.0,2003-02-03,24.0,-4.5,,
99.0,2003-02-04,24.0,-3.4,,
100.0,2003-02-05,24.0,-15.5,,
101.0,2003-02-06,24.0,-10.8,1.356,0.014
102.0,2003-02-07,24.0,-15.2,,
103.0,2003-02-08,24.0,-5.5,,
104.0,2003-02-09,24.0,-10.3,,
105.0,2003-02-10,24.0,-10.1,,
105.3,2003-02-11,7.46,-22.5,,
106.0,2003-02-11,16.54,-22.5,,
107.0,2003-02-12,24.0,-19.6,,
108.0,2003-02-13,24.0,-26.1,,
109.0,2003-02-14,24.0,-25.5,,
110.0,2003-02-15,24.0,-25.4,,
111.0,2003-02-16,24.0,-26.8,,
112.0,2003-02-17,24.0,-15.0,,
113.0,2003-02-18,24.0,-7.4,,
114.0,2003-02-19,24.0,-0.2,1.472,0.018
115.0,2003-02-20,24.0,-0.5,,
116.0,2003-02-21,24.0,-4.7,,
117.0,2003-02-22,24.0,-5.2,,
118.0,2003-02-23,24.0,-8.5,,
