day,dt,temp,site_z,site_h
0.6000000000000014,14.59,-1.7,,
1.0,9.41,-1.7,,
2.0,24.0,-2.7,,
3.0,24.0,0.8,,
4.0,24.0,-4.1,,
5.0,24.0,-7.8,,
6.0,24.0,-4.1,,
7.0,24.0,-1.6,,
8.0,24.0,0.0,,
9.0,24.0,-0.8,,
10.0,24.0,-7.6,,
11.0,24.0,2.2,,
12.0,24.0,3.0,,
12.700000000000003,15.69,15.5,,
12.700000000000003,0.93,15.5,,
13.0,7.38,15.5,,
14.0,24.0,8.8,,
15.0,24.0,3.9,,
16.0,24.0,2.0,,
17.0,24.0,6.8,,
17.299999999999997,7.1,-3.8,,
18.0,16.9,-3.8,,
19.0,24.0,-3.6,,
20.0,24.0,-2.9,,
21.0,24.0,-3.0,,
22.0,24.0,0.6,,
23.0,24.0,2.9,,
23.700000000000003,16.25,5.5,,
23.799999999999997,2.54,5.5,,
24.0,5.21,5.5,,
25.0,24.0,4.1,,
26.0,24.0,-0.7,,
26.200000000000003,5.22,-1.0,,
27.0,18.78,-1.0,,
28.0,24.0,-2.4,,
29.0,24.0,-3.5,0.0,0.0
30.0,24.0,-8.8,,
31.0,24.0,-8.1,,
32.0,24.0,-0.8,,
33.0,24.0,1.1,,
33.5,13.07,-10.5,,
34.0,10.93,-10.5,,
35.0,24.0,-10.7,,
36.0,24.0,-13.0,,
37.0,24.0,-11.4,0.61,0.0
38.0,24.0,-5.0,,
39.0,24.0,-2.1,,
40.0,24.0,-0.3,,
41.0,24.0,-12.9,,
42.0,24.0,-8.1,,
43.0,24.0,-1.4,,
44.0,24.0,-2.3,0.75,0.0
45.0,24.0,-0.3,,
46.0,24.0,1.0,,
47.0,24.0,2.3,,
48.0,24.0,-1.1,,
49.0,24.0,-8.1,,
50.0,24.0,-12.4,,
51.0,24.0,-10.9,,
52.0,24.0,-0.7,0.76,0.0
52.0,0.49,3.3,,
53.0,23.51,3.3,,
54.0,24.0,2.6,,
55.0,24.0,2.0,,
56.0,24.0,-0.4,,
57.0,24.0,-6.4,,
58.0,24.0,-3.5,,
58.9,21.93,-5.8,,
59.0,2.07,-5.8,0.74,0.0
60.0,24.0,-5.1,,
61.0,24.0,-1.2,,
62.0,24.0,-8.1,,
63.0,24.0,-8.9,,
63.1,1.6,2.0,,
64.0,22.4,2.0,,
64.4,9.5,-9.2,,
65.0,14.5,-9.2,,
66.0,24.0,-9.9,,
67.0,24.0,-5.4,,
68.0,24.0,-5.6,,
69.0,24.0,-4.4,,
70.0,24.0,-8.0,,
71.0,24.0,-9.5,,
71.5,10.92,-11.5,,
72.0,13.08,-11.5,0.78,
73.0,24.0,-19.0,,
74.0,24.0,-16.9,,
75.0,24.0,-14.3,,
76.0,24.0,-10.3,,
77.0,24.0,-10.3,,
78.0,24.0,-23.0,,
79.0,24.0,-20.8,,
80.0,24.0,-16.0,,
81.0,24.0,-24.7,,
82.0,24.0,-17.5,,
83.0,24.0,-10.1,,
84.0,24.0,-14.4,,
85.0,24.0,-22.9,,
86.0,24.0,-21.2,0.86,0.0
87.0,24.0,-18.2,,
88.0,24.0,-20.3,,
89.0,24.0,-6.8,,
90.0,24.0,-11.9,,
91.0,24.0,-25.7,,
92.0,24.0,-16.4,,
93.0,24.0,-15.7,,
94.0,24.0,-14.3,,
95.0,24.0,-4.2,,
96.0,24.0,0.8,,
97.0,24.0,0.3,,
98.0,24.0,-4.5,,
99.0,24.0,-3.4,,
100.0,24.0,-15.5,,
101.0,24.0,-10.8,0.83,0.0
102.0,24.0,-15.2,,
103.0,24.0,-5.5,,
104.0,24.0,-10.3,,
105.0,24.0,-10.1,,
106.0,24.0,-22.5,,
107.0,24.0,-19.6,,
108.0,24.0,-26.1,,
109.0,24.0,-25.5,,
110.0,24.0,-25.4,,
111.0,24.0,-26.8,,
112.0,24.0,-15.0,,
113.0,24.0,-7.4,,
114.0,24.0,-0.2,0.95,
115.0,24.0,-0.5,,
116.0,24.0,-4.7,,
117.0,24.0,-5.2,,
118.0,24.0,-8.5,,
119.0,24.0,-13.3,,
120.0,24.0,-23.1,,
121.0,24.0,-20.8,,
122.0,24.0,-16.1,,
123.0,24.0,-12.8,,
124.0,24.0,-3.5,,
125.0,24.0,-9.1,,
126.0,24.0,-22.4,,
127.0,24.0,-10.5,,
128.0,24.0,-9.4,,
129.0,24.0,-19.3,0.91,0.0
130.0,24.0,-7.2,,
131.0,24.0,-2.5,,
132.0,24.0,-15.9,,
133.0,24.0,-13.8,,
134.0,24.0,-3.9,,
135.0,24.0,-7.9,0.9,0.0
136.0,24.0,-18.2,,
137.0,24.0,-10.5,,
138.0,24.0,-4.9,,
139.0,24.0,1.6,0.89,0.0
140.0,24.0,0.9,,
141.0,24.0,-5.0,,
142.0,24.0,-5.4,0.87,0.0
143.0,24.0,2.6,,
144.0,24.0,3.5,,
145.0,24.0,4.2,,
146.0,24.0,3.5,0.77,
147.0,24.0,4.2,,
148.0,24.0,5.4,,
149.0,24.0,2.6,0.73,0.0
150.0,24.0,1.0,,
151.0,24.0,7.4,,
152.0,24.0,6.4,,
153.0,24.0,-3.1,,
154.0,24.0,-5.8,,
155.0,24.0,-3.6,,
156.0,24.0,-1.5,,0.0
157.0,24.0,-4.9,,
158.0,24.0,-5.6,,
159.0,24.0,-3.6,,
160.0,24.0,-5.0,,
161.0,24.0,-4.1,,
162.0,24.0,-0.7,,
163.0,24.0,1.2,,0.0
164.0,24.0,4.2,,
165.0,24.0,5.9,,
166.0,24.0,4.9,,
167.0,24.0,0.2,,
168.0,24.0,8.7,,
169.0,24.0,6.9,,0.0
170.0,24.0,-4.9,,
171.0,24.0,-3.0,,
172.0,24.0,5.4,,
173.0,24.0,8.6,,
174.0,24.0,11.6,,
175.0,24.0,10.4,,
176.0,24.0,9.0,,
177.0,24.0,5.7,,0.0
178.0,24.0,2.4,,
179.0,24.0,3.7,,
180.0,24.0,3.8,,
181.0,24.0,9.4,,
181.7,17.27,13.8,,
182.0,6.73,13.8,,
182.1,1.91,9.4,,
183.0,22.09,9.4,,0.0
184.0,24.0,5.9,,
185.0,24.0,6.8,,
186.0,24.0,6.8,,
187.0,24.0,6.7,,
188.0,24.0,11.6,,
188.1,2.73,13.5,,
189.0,21.27,13.5,,
189.9,20.84,10.9,,
189.9,1.28,10.9,,
190.0,1.87,10.9,,
191.0,24.0,10.3,,
