day,dt,temp,chau_z,chau_h
1.0,24.0,-0.1,0.047,0
1.0,0.26,-4.3,0.06,0
2.0,23.74,-4.3,0.3,0
3.0,24.0,-6.2,0.349,0
4.0,24.0,-4.1,0.375,0
5.0,24.0,1.1,0.354,0
6.0,24.0,2.4,0.321,0
6.300000000000001,6.09,7.2,0.3,0
6.600000000000001,7.29,7.2,0.06,0
6.600000000000001,0.21,7.2,0.0,0
7.0,10.41,7.2,0.0,0
8.0,24.0,4.5,0.0,0
9.0,24.0,1.6,0.0,0
10.0,24.0,0.0,0.0,0
11.0,24.0,0.7,0.0,0
12.0,24.0,1.5,0.0,0
13.0,24.0,1.3,0.0,0
14.0,24.0,-0.1,0.051,0
14.100000000000001,2.43,0.4,0.0,0
15.0,21.57,0.4,0.0,0
16.0,24.0,0.3,0.0,0
17.0,24.0,0.8,0.0,0
18.0,24.0,2.5,0.0,0
18.0,0.86,-2.9,0.06,0
19.0,23.14,-2.9,0.3,0
20.0,24.0,-8.7,0.373,0
21.0,24.0,-8.7,0.438,0
22.0,24.0,-3.2,0.455,0
23.0,24.0,-0.3,0.449,0
24.0,24.0,-4.3,0.474,0
25.0,24.0,-6.6,0.515,0
26.0,24.0,-12.6,0.594,0
26.8,19.0,-10.4,0.63,0
27.0,5.0,-10.4,0.637,0
28.0,24.0,-4.6,0.648,0
29.0,24.0,-12.1,0.686,0
30.0,24.0,-12.9,0.725,0
30.6,14.91,-9.8,0.74,0
31.0,9.09,-9.8,0.746,0
32.0,24.0,-10.2,0.762,0
32.6,13.67,-18.7,0.79,0
33.0,10.33,-18.7,0.793,0
34.0,24.0,-7.8,0.79,0
34.0,0.63,-2.2,0.79,0
35.0,23.37,-2.2,0.772,0
36.0,24.0,-3.6,0.76,0
37.0,24.0,-0.2,0.74,0
38.0,24.0,-9.9,0.74,0
39.0,24.0,-7.3,0.746,0
40.0,24.0,-1.6,0.74,0
41.0,24.0,-7.2,0.74,0
42.0,24.0,-2.2,0.74,0
43.0,24.0,1.6,0.731,0
44.0,24.0,2.1,0.72,0
45.0,24.0,-6.4,0.737,0
45.1,1.8,-15.7,0.74,0
46.0,22.2,-15.7,0.782,0
46.2,4.5,-19.0,0.79,0
47.0,19.5,-19.0,0.796,0
48.0,24.0,-18.8,0.803,0
49.0,24.0,-12.4,0.805,0
50.0,24.0,-20.4,0.813,0
51.0,24.0,-23.3,0.824,0
52.0,24.0,-21.8,0.834,0
53.0,24.0,-16.9,0.839,0
54.0,24.0,-17.5,0.846,0
55.0,24.0,-19.4,0.853,0
56.0,24.0,-18.9,0.861,0
57.0,24.0,-11.3,0.862,0
58.0,24.0,-12.9,0.865,0
59.0,24.0,-7.5,0.864,0
60.0,24.0,-15.2,0.869,0
61.0,24.0,-17.1,0.875,0
62.0,24.0,-16.7,0.881,0
63.0,24.0,-11.6,0.883,0
64.0,24.0,-6.2,0.881,0
65.0,24.0,-5.4,0.878,0
66.0,24.0,-15.0,0.883,0
67.0,24.0,-17.9,0.89,0
68.0,24.0,-19.4,0.898,0
69.0,24.0,-16.0,0.904,0
70.0,24.0,-11.2,0.906,0
71.0,24.0,-9.2,0.907,0
72.0,24.0,-14.9,0.911,0
73.0,24.0,-6.2,0.91,0
74.0,24.0,-14.9,0.915,0
75.0,24.0,-8.2,0.915,0
76.0,24.0,-16.2,0.921,0
77.0,24.0,-15.4,0.926,0
78.0,24.0,-6.1,0.925,0
79.0,24.0,-6.3,0.923,0
80.0,24.0,-7.3,0.923,0
81.0,24.0,-17.5,0.93,0
82.0,24.0,-16.6,0.937,0
83.0,24.0,-9.7,0.938,0
84.0,24.0,-11.1,0.94,0
85.0,24.0,-12.8,0.944,0
86.0,24.0,-5.9,0.943,0
87.0,24.0,1.5,0.936,0
88.0,24.0,-0.5,0.93,0
89.0,24.0,-0.7,0.925,0
90.0,24.0,2.2,0.917,0
91.0,24.0,6.3,0.907,0
92.0,24.0,3.1,0.899,0
93.0,24.0,0.8,0.892,0
94.0,24.0,-0.7,0.887,0
95.0,24.0,2.2,0.88,0
96.0,24.0,0.3,0.874,0
97.0,24.0,0.2,0.868,0
98.0,24.0,2.1,0.861,0
99.0,24.0,0.2,0.856,0
100.0,24.0,2.6,0.848,0
101.0,24.0,1.9,0.841,0
102.0,24.0,4.3,0.832,0
103.0,24.0,-8.6,0.834,0
104.0,24.0,-3.6,0.831,0
105.0,24.0,-1.5,0.827,0
106.0,24.0,-9.3,0.829,0
107.0,24.0,-6.7,0.829,0
108.0,24.0,2.2,0.822,0
109.0,24.0,-1.9,0.818,0
110.0,24.0,-7.2,0.819,0
111.0,24.0,-8.9,0.82,0
112.0,24.0,-2.7,0.817,0
113.0,24.0,2.3,0.81,0
114.0,24.0,4.4,0.802,0
115.0,24.0,4.9,0.793,0
115.3,7.62,5.8,0.79,0
116.0,16.38,5.8,0.764,0
116.1,3.1,4.4,0.74,0
117.0,20.9,4.4,0.726,0
118.0,24.0,3.7,0.711,0
119.0,24.0,5.1,0.692,0
120.0,24.0,6.1,0.669,0
121.0,24.0,6.9,0.643,0
121.6,13.37,5.8,0.63,0
122.0,10.63,5.8,0.612,0
123.0,24.0,2.9,0.589,0
124.0,24.0,4.2,0.557,0
125.0,24.0,6.0,0.511,0
126.0,24.0,7.0,0.454,0
127.0,24.0,5.3,0.408,0
128.0,24.0,7.2,0.34,0
