day,date,temps,S_vals
1,1999-11-29,-0.1,1.0
2,1999-11-30,-4.3,1.0
3,1999-12-01,-6.2,0.94
4,1999-12-02,-4.1,0.94
5,1999-12-03,1.1,0.94
6,1999-12-04,2.4,0.94
7,1999-12-05,7.2,0.94
8,1999-12-06,4.5,0.94
9,1999-12-07,1.6,0.94
10,1999-12-08,0.0,0.94
11,1999-12-09,0.7,0.94
12,1999-12-10,1.5,0.94
13,1999-12-11,1.3,0.94
14,1999-12-12,-0.1,0.94
15,1999-12-13,0.4,0.94
16,1999-12-14,0.3,0.94
17,1999-12-15,0.8,0.94
18,1999-12-16,2.5,0.94
19,1999-12-17,-2.9,0.94
20,1999-12-18,-8.7,0.94
21,1999-12-19,-8.7,0.94
22,1999-12-20,-3.2,0.94
23,1999-12-21,-0.3,0.94
24,1999-12-22,-4.3,0.94
25,1999-12-23,-6.6,0.94
26,1999-12-24,-12.6,0.94
27,1999-12-25,-10.4,0.94
28,1999-12-26,-4.6,0.94
29,1999-12-27,-12.1,0.94
30,1999-12-28,-12.9,0.94
31,1999-12-29,-9.8,0.94
32,1999-12-30,-10.2,0.94
33,1999-12-31,-18.7,0.94
34,2000-01-01,-7.8,0.88
35,2000-01-02,-2.2,0.88
36,2000-01-03,-3.6,0.88
37,2000-01-04,-0.2,0.88
38,2000-01-05,-9.9,0.88
39,2000-01-06,-7.3,0.88
40,2000-01-07,-1.6,0.88
41,2000-01-08,-7.2,0.88
42,2000-01-09,-2.2,0.88
43,2000-01-10,1.6,0.88
44,2000-01-11,2.1,0.88
45,2000-01-12,-6.4,0.88
46,2000-01-13,-15.7,0.88
47,2000-01-14,-19.0,0.88
48,2000-01-15,-18.8,0.88
49,2000-01-16,-12.4,0.88
50,2000-01-17,-20.4,0.88
51,2000-01-18,-23.3,0.88
52,2000-01-19,-21.8,0.88
53,2000-01-20,-16.9,0.88
54,2000-01-21,-17.5,0.88
55,2000-01-22,-19.4,0.88
56,2000-01-23,-18.9,0.88
57,2000-01-24,-11.3,0.88
58,2000-01-25,-12.9,0.88
59,2000-01-26,-7.5,0.88
60,2000-01-27,-15.2,0.88
61,2000-01-28,-17.1,0.88
62,2000-01-29,-16.7,0.88
63,2000-01-30,-11.6,0.88
64,2000-01-31,-6.2,0.88
65,2000-02-01,-5.4,0.82
66,2000-02-02,-15.0,0.82
67,2000-02-03,-17.9,0.82
68,2000-02-04,-19.4,0.82
69,2000-02-05,-16.0,0.82
70,2000-02-06,-11.2,0.82
71,2000-02-07,-9.2,0.82
72,2000-02-08,-14.9,0.82
73,2000-02-09,-6.2,0.82
74,2000-02-10,-14.9,0.82
75,2000-02-11,-8.2,0.82
76,2000-02-12,-16.2,0.82
77,2000-02-13,-15.4,0.82
78,2000-02-14,-6.1,0.82
79,2000-02-15,-6.3,0.82
80,2000-02-16,-7.3,0.82
81,2000-02-17,-17.5,0.82
82,2000-02-18,-16.6,0.82
83,2000-02-19,-9.7,0.82
84,2000-02-20,-11.1,0.82
85,2000-02-21,-12.8,0.82
86,2000-02-22,-5.9,0.82
87,2000-02-23,1.5,0.82
88,2000-02-24,-0.5,0.82
89,2000-02-25,-0.7,0.82
90,2000-02-26,2.2,0.82
91,2000-02-27,6.3,0.82
92,2000-02-28,3.1,0.82
93,2000-02-29,0.8,0.82
94,2000-03-01,-0.7,0.76
95,2000-03-02,2.2,0.76
96,2000-03-03,0.3,0.76
97,2000-03-04,0.2,0.76
98,2000-03-05,2.1,0.76
99,2000-03-06,0.2,0.76
100,2000-03-07,2.6,0.76
101,2000-03-08,1.9,0.76
102,2000-03-09,4.3,0.76
103,2000-03-10,-8.6,0.76
104,2000-03-11,-3.6,0.76
105,2000-03-12,-1.5,0.76
106,2000-03-13,-9.3,0.76
107,2000-03-14,-6.7,0.76
108,2000-03-15,2.2,0.76
109,2000-03-16,-1.9,0.76
110,2000-03-17,-7.2,0.76
111,2000-03-18,-8.9,0.76
112,2000-03-19,-2.7,0.76
113,2000-03-20,2.3,0.76
114,2000-03-21,4.4,0.76
115,2000-03-22,4.9,0.76
116,2000-03-23,5.8,0.76
117,2000-03-24,4.4,0.76
118,2000-03-25,3.7,0.76
119,2000-03-26,5.1,0.76
120,2000-03-27,6.1,0.76
121,2000-03-28,6.9,0.76
122,2000-03-29,5.8,0.76
123,2000-03-30,2.9,0.76
124,2000-03-31,4.2,0.76
125,2000-04-01,6.0,0.7
126,2000-04-02,7.0,0.7
127,2000-04-03,5.3,0.7
128,2000-04-04,7.2,0.7
