day,dt,temp,site_z,site_h
1.0,24.0,-0.3,,
2.0,24.0,-0.5,,
2.2,4.62,-0.8,,
3.0,19.38,-0.8,,
4.0,24.0,-1.1,,
5.0,24.0,-1.3,,
6.0,24.0,-1.6,,
7.0,24.0,-1.8,,
8.0,24.0,-2.1,,
9.0,24.0,-2.3,,
10.0,24.0,-2.6,,
11.0,24.0,-2.8,,
12.0,24.0,-3.1,,
13.0,24.0,-3.3,,
14.0,24.0,-3.5,,
15.0,24.0,-3.8,,
16.0,24.0,-4.0,,
17.0,24.0,-4.2,,
18.0,24.0,-4.4,,
18.8,18.54,-4.7,,
19.0,5.46,-4.7,,
20.0,24.0,-4.9,,
21.0,24.0,-5.1,,
22.0,24.0,-5.3,,
23.0,24.0,-5.5,,
24.0,24.0,-5.7,,
25.0,24.0,-5.9,,
26.0,24.0,-6.1,,
27.0,24.0,-6.3,,
28.0,24.0,-6.5,,
29.0,24.0,-6.7,,
30.0,24.0,-6.9,,
31.0,24.0,-7.1,,
32.0,24.0,-7.2,,
32.1,2.72,-7.4,,
33.0,21.28,-7.4,,
34.0,24.0,-7.6,,
35.0,24.0,-7.7,,
36.0,24.0,-7.9,,
37.0,24.0,-8.1,,
38.0,24.0,-8.2,,
39.0,24.0,-8.4,,
40.0,24.0,-8.5,,
41.0,24.0,-8.6,,
42.0,24.0,-8.8,,
43.0,24.0,-8.9,,
44.0,24.0,-9.0,,
45.0,24.0,-9.2,,
46.0,24.0,-9.3,,
47.0,24.0,-9.4,,
48.0,24.0,-9.5,,
49.0,24.0,-9.6,,
50.0,24.0,-9.7,,
51.0,24.0,-9.8,,
52.0,24.0,-9.9,,
53.0,24.0,-10.0,,
54.0,24.0,-10.1,,
55.0,24.0,-10.1,,
56.0,24.0,-10.2,,
57.0,24.0,-10.3,,
58.0,24.0,-10.3,,
59.0,24.0,-10.4,,
60.0,24.0,-10.4,,
61.0,24.0,-10.5,,
62.0,24.0,-10.5,,
63.0,24.0,-10.6,,
64.0,24.0,-10.6,,
65.0,24.0,-10.6,,
66.0,24.0,-10.6,,
67.0,24.0,-10.7,,
68.0,24.0,-10.7,,
69.0,24.0,-10.7,,
70.0,24.0,-10.7,,
71.0,24.0,-10.7,,
72.0,24.0,-10.7,,
73.0,24.0,-10.7,,
74.0,24.0,-10.7,,
75.0,24.0,-10.6,,
76.0,24.0,-10.6,,
77.0,24.0,-10.6,,
78.0,24.0,-10.5,,
79.0,24.0,-10.5,,
80.0,24.0,-10.5,,
81.0,24.0,-10.4,,
82.0,24.0,-10.3,,
83.0,24.0,-10.3,,
84.0,24.0,-10.2,,
85.0,24.0,-10.1,,
86.0,24.0,-10.1,,
87.0,24.0,-10.0,,
88.0,24.0,-9.9,,
89.0,24.0,-9.8,,
90.0,24.0,-9.7,,
91.0,24.0,-9.6,,
92.0,24.0,-9.5,,
93.0,24.0,-9.4,,
94.0,24.0,-9.3,,
95.0,24.0,-9.2,,
96.0,24.0,-9.1,,
97.0,24.0,-8.9,,
98.0,24.0,-8.8,,
99.0,24.0,-8.7,,
100.0,24.0,-8.5,,
101.0,24.0,-8.4,,
102.0,24.0,-8.3,,
103.0,24.0,-8.1,,
104.0,24.0,-7.9,,
105.0,24.0,-7.8,,
106.0,24.0,-7.6,,
107.0,24.0,-7.5,,
108.0,24.0,-7.3,,
109.0,24.0,-7.1,,
110.0,24.0,-6.9,,
111.0,24.0,-6.8,,
112.0,24.0,-6.6,,
113.0,24.0,-6.4,,
114.0,24.0,-6.2,,
115.0,24.0,-6.0,,
116.0,24.0,-5.8,,
117.0,24.0,-5.6,,
118.0,24.0,-5.4,,
119.0,24.0,-5.2,,
120.0,24.0,-4.9,,
121.0,24.0,-4.7,,
122.0,24.0,-4.5,,
123.0,24.0,-4.3,,
124.0,24.0,-4.1,,
125.0,24.0,-3.8,,
126.0,24.0,-3.6,,
127.0,24.0,-3.4,,
128.0,24.0,-3.1,,
129.0,24.0,-2.9,,
130.0,24.0,-2.6,,
131.0,24.0,-2.4,,
132.0,24.0,-2.1,,
133.0,24.0,-1.9,,
134.0,24.0,-1.6,,
135.0,24.0,-1.4,,
136.0,24.0,-1.1,,
137.0,24.0,-0.9,,
138.0,24.0,-0.6,,
139.0,24.0,-0.3,,
