day,date,temps,S_vals
1,,-0.3,1.0
2,,-0.6,1.0
3,,-0.9,1.0
4,,-1.2,1.0
5,,-1.5,1.0
6,,-1.8,1.0
7,,-2.1,1.0
8,,-2.3,1.0
9,,-2.6,1.0
10,,-2.9,1.0
11,,-3.2,1.0
12,,-3.5,1.0
13,,-3.8,1.0
14,,-4.0,1.0
15,,-4.3,1.0
16,,-4.6,1.0
17,,-4.9,1.0
18,,-5.2,1.0
19,,-5.4,1.0
20,,-5.7,1.0
21,,-6.0,1.0
22,,-6.2,1.0
23,,-6.5,1.0
24,,-6.7,1.0
25,,-7.0,1.0
26,,-7.3,1.0
27,,-7.5,1.0
28,,-7.8,1.0
29,,-8.0,1.0
30,,-8.2,1.0
31,,-8.5,0.94
32,,-8.7,0.94
33,,-9.0,0.94
34,,-9.2,0.94
35,,-9.4,0.94
36,,-9.6,0.94
37,,-9.9,0.94
38,,-10.1,0.94
39,,-10.3,0.94
40,,-10.5,0.94
41,,-10.7,0.94
42,,-10.9,0.94
43,,-11.1,0.94
44,,-11.3,0.94
45,,-11.5,0.94
46,,-11.7,0.94
47,,-11.9,0.94
48,,-12.1,0.94
49,,-12.2,0.94
50,,-12.4,0.94
51,,-12.6,0.94
52,,-12.7,0.94
53,,-12.9,0.94
54,,-13.1,0.94
55,,-13.2,0.94
56,,-13.4,0.94
57,,-13.5,0.94
58,,-13.6,0.94
59,,-13.8,0.94
60,,-13.9,0.94
61,,-14.0,0.88
62,,-14.1,0.88
63,,-14.2,0.88
64,,-14.4,0.88
65,,-14.5,0.88
66,,-14.6,0.88
67,,-14.7,0.88
68,,-14.7,0.88
69,,-14.8,0.88
70,,-14.9,0.88
71,,-15.0,0.88
72,,-15.1,0.88
73,,-15.1,0.88
74,,-15.2,0.88
75,,-15.2,0.88
76,,-15.3,0.88
77,,-15.3,0.88
78,,-15.4,0.88
79,,-15.4,0.88
80,,-15.4,0.88
81,,-15.5,0.88
82,,-15.5,0.88
83,,-15.5,0.88
84,,-15.5,0.88
85,,-15.5,0.88
86,,-15.5,0.88
87,,-15.5,0.88
88,,-15.5,0.88
89,,-15.5,0.88
90,,-15.5,0.88
91,,-15.4,0.82
92,,-15.4,0.82
93,,-15.4,0.82
94,,-15.3,0.82
95,,-15.3,0.82
96,,-15.2,0.82
97,,-15.2,0.82
98,,-15.1,0.82
99,,-15.0,0.82
100,,-15.0,0.82
101,,-14.9,0.82
102,,-14.8,0.82
103,,-14.7,0.82
104,,-14.6,0.82
105,,-14.5,0.82
106,,-14.4,0.82
107,,-14.3,0.82
108,,-14.2,0.82
109,,-14.1,0.82
110,,-14.0,0.82
111,,-13.9,0.82
112,,-13.7,0.82
113,,-13.6,0.82
114,,-13.5,0.82
115,,-13.3,0.82
116,,-13.2,0.82
117,,-13.0,0.82
118,,-12.9,0.82
119,,-12.7,0.82
120,,-12.5,0.82
121,,-12.4,0.76
122,,-12.2,0.76
123,,-12.0,0.76
124,,-11.9,0.76
125,,-11.7,0.76
126,,-11.5,0.76
127,,-11.3,0.76
128,,-11.1,0.76
129,,-10.9,0.76
130,,-10.7,0.76
131,,-10.5,0.76
132,,-10.3,0.76
133,,-10.0,0.76
134,,-9.8,0.76
135,,-9.6,0.76
136,,-9.4,0.76
137,,-9.2,0.76
138,,-8.9,0.76
139,,-8.7,0.76
140,,-8.4,0.76
141,,-8.2,0.76
142,,-8.0,0.76
143,,-7.7,0.76
144,,-7.5,0.76
145,,-7.2,0.76
146,,-7.0,0.76
147,,-6.7,0.76
148,,-6.4,0.76
149,,-6.2,0.76
150,,-5.9,0.76
151,,-5.6,0.7
152,,-5.4,0.7
153,,-5.1,0.7
154,,-4.8,0.7
155,,-4.6,0.7
156,,-4.3,0.7
157,,-4.0,0.7
158,,-3.7,0.7
159,,-3.4,0.7
160,,-3.1,0.7
161,,-2.9,0.7
162,,-2.6,0.7
163,,-2.3,0.7
164,,-2.0,0.7
165,,-1.7,0.7
166,,-1.4,0.7
167,,-1.1,0.7
168,,-0.8,0.7
169,,-0.5,0.7
