day,dt,temp,chau_z,chau_h
1.0,24.0,-0.3,0.108,0
1.6,14.31,-0.7,0.15,0
2.0,9.69,-0.7,0.154,0
3.0,24.0,-1.0,0.172,0
4.0,24.0,-1.4,0.196,0
5.0,24.0,-1.7,0.225,0
6.0,24.0,-2.1,0.257,0
7.0,24.0,-2.4,0.291,0
8.0,24.0,-2.8,0.327,0
9.0,24.0,-3.1,0.363,0
10.0,24.0,-3.5,0.401,0
11.0,24.0,-3.8,0.439,0
12.0,24.0,-4.1,0.477,0
13.0,24.0,-4.5,0.516,0
14.0,24.0,-4.8,0.555,0
15.0,24.0,-5.1,0.594,0
15.2,3.97,-5.5,0.6,0
16.0,20.03,-5.5,0.6,0
17.0,24.0,-5.8,0.6,0
18.0,24.0,-6.1,0.604,0
19.0,24.0,-6.5,0.611,0
20.0,24.0,-6.8,0.62,0
20.1,2.19,-7.1,0.625,0
21.0,21.81,-7.1,0.627,0
22.0,24.0,-7.4,0.629,0
23.0,24.0,-7.7,0.632,0
24.0,24.0,-8.0,0.636,0
25.0,24.0,-8.4,0.64,0
26.0,24.0,-8.7,0.645,0
27.0,24.0,-9.0,0.65,0
28.0,24.0,-9.3,0.656,0
29.0,24.0,-9.6,0.662,0
30.0,24.0,-9.9,0.668,0
31.0,24.0,-10.2,0.676,0
32.0,24.0,-10.5,0.683,0
33.0,24.0,-10.7,0.691,0
34.0,24.0,-11.0,0.7,0
35.0,24.0,-11.3,0.709,0
36.0,24.0,-11.6,0.718,0
37.0,24.0,-11.9,0.728,0
38.0,24.0,-12.1,0.738,0
39.0,24.0,-12.4,0.749,0
40.0,24.0,-12.6,0.76,0
41.0,24.0,-12.9,0.771,0
42.0,24.0,-13.2,0.782,0
43.0,24.0,-13.4,0.794,0
44.0,24.0,-13.7,0.807,0
45.0,24.0,-13.9,0.819,0
46.0,24.0,-14.1,0.832,0
47.0,24.0,-14.4,0.845,0
48.0,24.0,-14.6,0.859,0
49.0,24.0,-14.8,0.873,0
50.0,24.0,-15.0,0.887,0
51.0,24.0,-15.2,0.901,0
52.0,24.0,-15.4,0.915,0
53.0,24.0,-15.7,0.93,0
54.0,24.0,-15.9,0.945,0
55.0,24.0,-16.0,0.96,0
56.0,24.0,-16.2,0.975,0
57.0,24.0,-16.4,0.991,0
58.0,24.0,-16.6,1.006,0
59.0,24.0,-16.8,1.022,0
60.0,24.0,-16.9,1.038,0
61.0,24.0,-17.1,1.054,0
62.0,24.0,-17.3,1.071,0
63.0,24.0,-17.4,1.087,0
64.0,24.0,-17.6,1.104,0
65.0,24.0,-17.7,1.12,0
66.0,24.0,-17.8,1.137,0
67.0,24.0,-18.0,1.154,0
68.0,24.0,-18.1,1.171,0
69.0,24.0,-18.2,1.188,0
70.0,24.0,-18.3,1.205,0
71.0,24.0,-18.4,1.222,0
72.0,24.0,-18.5,1.239,0
73.0,24.0,-18.6,1.256,0
74.0,24.0,-18.7,1.273,0
75.0,24.0,-18.8,1.29,0
76.0,24.0,-18.9,1.308,0
77.0,24.0,-18.9,1.325,0
78.0,24.0,-19.0,1.342,0
79.0,24.0,-19.1,1.359,0
80.0,24.0,-19.1,1.377,0
81.0,24.0,-19.2,1.394,0
82.0,24.0,-19.2,1.411,0
83.0,24.0,-19.3,1.428,0
84.0,24.0,-19.3,1.445,0
85.0,24.0,-19.3,1.462,0
86.0,24.0,-19.3,1.479,0
87.0,24.0,-19.3,1.496,0
88.0,24.0,-19.3,1.513,0
89.0,24.0,-19.4,1.53,0
90.0,24.0,-19.3,1.547,0
91.0,24.0,-19.3,1.563,0
92.0,24.0,-19.3,1.58,0
93.0,24.0,-19.3,1.597,0
94.0,24.0,-19.3,1.613,0
95.0,24.0,-19.2,1.629,0
96.0,24.0,-19.2,1.645,0
97.0,24.0,-19.1,1.661,0
98.0,24.0,-19.1,1.677,0
99.0,24.0,-19.0,1.693,0
100.0,24.0,-19.0,1.709,0
101.0,24.0,-18.9,1.724,0
102.0,24.0,-18.8,1.74,0
103.0,24.0,-18.7,1.755,0
104.0,24.0,-18.6,1.77,0
105.0,24.0,-18.6,1.785,0
106.0,24.0,-18.5,1.8,0
107.0,24.0,-18.4,1.815,0
108.0,24.0,-18.2,1.829,0
109.0,24.0,-18.1,1.844,0
110.0,24.0,-18.0,1.858,0
111.0,24.0,-17.9,1.872,0
112.0,24.0,-17.7,1.886,0
113.0,24.0,-17.6,1.899,0
114.0,24.0,-17.5,1.913,0
115.0,24.0,-17.3,1.926,0
116.0,24.0,-17.1,1.939,0
117.0,24.0,-17.0,1.952,0
118.0,24.0,-16.8,1.965,0
119.0,24.0,-16.7,1.977,0
120.0,24.0,-16.5,1.989,0
121.0,24.0,-16.3,2.001,0
122.0,24.0,-16.1,2.013,0
123.0,24.0,-15.9,2.025,0
124.0,24.0,-15.7,2.036,0
125.0,24.0,-15.5,2.047,0
126.0,24.0,-15.3,2.058,0
127.0,24.0,-15.1,2.069,0
128.0,24.0,-14.9,2.079,0
129.0,24.0,-14.7,2.089,0
130.0,24.0,-14.4,2.099,0
131.0,24.0,-14.2,2.109,0
132.0,24.0,-14.0,2.118,0
133.0,24.0,-13.7,2.127,0
134.0,24.0,-13.5,2.136,0
135.0,24.0,-13.2,2.145,0
136.0,24.0,-13.0,2.153,0
137.0,24.0,-12.7,2.161,0
138.0,24.0,-12.5,2.169,0
139.0,24.0,-12.2,2.176,0
140.0,24.0,-11.9,2.184,0
141.0,24.0,-11.7,2.191,0
142.0,24.0,-11.4,2.197,0
143.0,24.0,-11.1,2.204,0
144.0,24.0,-10.8,2.21,0
145.0,24.0,-10.6,2.216,0
146.0,24.0,-10.3,2.221,0
147.0,24.0,-10.0,2.226,0
148.0,24.0,-9.7,2.231,0
149.0,24.0,-9.4,2.236,0
150.0,24.0,-9.1,2.24,0
151.0,24.0,-8.8,2.245,0
152.0,24.0,-8.5,2.248,0
153.0,24.0,-8.2,2.252,0
154.0,24.0,-7.8,2.255,0
155.0,24.0,-7.5,2.258,0
156.0,24.0,-7.2,2.261,0
157.0,24.0,-6.9,2.263,0
158.0,24.0,-6.6,2.265,0
159.0,24.0,-6.2,2.267,0
160.0,24.0,-5.9,2.268,0
161.0,24.0,-5.6,2.269,0
162.0,24.0,-5.2,2.27,0
163.0,24.0,-4.9,2.27,0
164.0,24.0,-4.6,2.27,0
165.0,24.0,-4.2,2.27,0
166.0,24.0,-3.9,2.27,0
167.0,24.0,-3.6,2.269,0
168.0,24.0,-3.2,2.268,0
169.0,24.0,-2.9,2.266,0
170.0,24.0,-2.5,2.265,0
171.0,24.0,-2.2,2.262,0
172.0,24.0,-1.9,2.26,0
173.0,24.0,-1.5,2.257,0
174.0,24.0,-1.2,2.254,0
175.0,24.0,-0.8,2.251,0
176.0,24.0,-0.5,2.247,0
