day,dt,temp,chau_z,chau_h
0.10000000000000142,2.06,-6.0,0.115,0.0
1.0,21.94,-6.0,0.223,0.0
2.0,24.0,-1.8,0.235,0.0
2.6000000000000014,15.33,-4.3,0.265,0.0
3.0,8.67,-4.3,0.287,0.0
4.0,24.0,-4.0,0.333,0.0
5.0,24.0,-3.3,0.36,0.0
6.0,24.0,0.3,0.332,0.0
7.0,24.0,-3.3,0.359,0.0
8.0,24.0,-0.3,0.34,0.0
9.0,24.0,-1.5,0.341,0.0
10.0,24.0,-4.0,0.378,0.0
11.0,24.0,-9.5,0.475,0.0
12.0,24.0,-9.8,0.554,0.0
13.0,24.0,-10.0,0.622,0.0
14.0,24.0,-4.3,0.636,0.0
15.0,24.0,-7.5,0.674,0.0
16.0,24.0,-15.5,0.766,0.0
17.0,24.0,-9.8,0.81,0.0
18.0,24.0,-10.3,0.854,0.0
18.8,20.15,-6.0,0.865,0.0
19.0,3.85,-6.0,0.866,0.0
20.0,24.0,-7.8,0.874,0.0
21.0,24.0,-2.0,0.871,0.0
22.0,24.0,-9.5,0.882,0.001
23.0,24.0,-12.0,0.898,0.001
24.0,24.0,-26.0,0.94,0.002
25.0,24.0,-25.3,0.978,0.002
26.0,24.0,-21.3,1.009,0.003
27.0,24.0,-11.8,1.023,0.003
28.0,24.0,-7.8,1.03,0.004
29.0,24.0,-17.8,1.054,0.004
30.0,24.0,-17.0,1.076,0.004
31.0,24.0,-16.5,1.097,0.005
32.0,24.0,-17.5,1.12,0.005
33.0,24.0,-10.5,1.131,0.006
34.0,24.0,-15.3,1.149,0.006
35.0,24.0,-18.0,1.172,0.006
36.0,24.0,-21.5,1.199,0.007
37.0,24.0,-21.3,1.226,0.007
38.0,24.0,-27.0,1.261,0.008
39.0,24.0,-15.8,1.278,0.008
40.0,24.0,-5.8,1.281,0.008
41.0,24.0,-2.8,1.28,0.008
42.0,24.0,0.5,1.274,0.008
43.0,24.0,0.8,1.268,0.008
44.0,24.0,-7.3,1.273,0.009
45.0,24.0,-10.3,1.283,0.009
46.0,24.0,-10.3,1.293,0.009
47.0,24.0,0.3,1.287,0.009
48.0,24.0,4.0,1.277,0.009
49.0,24.0,-8.5,1.284,0.009
50.0,24.0,-12.3,1.297,0.009
51.0,24.0,-9.5,1.306,0.01
52.0,24.0,-17.0,1.326,0.01
53.0,24.0,-17.0,1.345,0.01
54.0,24.0,-18.5,1.366,0.011
55.0,24.0,-20.3,1.39,0.011
56.0,24.0,-9.8,1.398,0.011
57.0,24.0,-5.5,1.401,0.011
58.0,24.0,1.3,1.395,0.011
59.0,24.0,1.0,1.389,0.011
60.0,24.0,-7.0,1.394,0.011
61.0,24.0,-12.8,1.407,0.012
62.0,24.0,-10.5,1.417,0.012
63.0,24.0,-15.3,1.434,0.012
64.0,24.0,-11.8,1.445,0.012
65.0,24.0,-5.0,1.448,0.013
66.0,24.0,-10.3,1.457,0.013
67.0,24.0,-1.3,1.455,0.013
68.0,24.0,-3.0,1.454,0.013
69.0,24.0,-13.0,1.468,0.013
70.0,24.0,-14.3,1.482,0.013
71.0,24.0,-10.0,1.491,0.014
72.0,24.0,-5.8,1.495,0.014
73.0,24.0,-3.5,1.496,0.014
74.0,24.0,-3.5,1.496,0.014
75.0,24.0,-7.8,1.502,0.014
76.0,24.0,-10.8,1.513,0.014
77.0,24.0,-19.5,1.534,0.014
78.0,24.0,-19.0,1.554,0.015
79.0,24.0,-14.8,1.569,0.015
80.0,24.0,-9.5,1.577,0.015
81.0,24.0,-1.8,1.576,0.015
82.0,24.0,-3.0,1.576,0.015
83.0,24.0,-2.8,1.576,0.015
84.0,24.0,1.0,1.571,0.015
85.0,24.0,-2.8,1.571,0.015
86.0,24.0,-3.3,1.572,0.015
87.0,24.0,4.8,1.562,0.015
88.0,24.0,-10.8,1.572,0.016
89.0,24.0,-16.3,1.589,0.016
90.0,24.0,-12.0,1.601,0.016
91.0,24.0,-12.5,1.613,0.016
92.0,24.0,-9.8,1.621,0.016
93.0,24.0,-7.8,1.628,0.016
94.0,24.0,-6.0,1.632,0.017
95.0,24.0,-3.0,1.632,0.017
96.0,24.0,-2.3,1.631,0.017
97.0,24.0,-2.0,1.631,0.017
98.0,24.0,-4.5,1.633,0.017
99.0,24.0,-1.3,1.631,0.017
100.0,24.0,0.3,1.628,0.017
101.0,24.0,-2.8,1.628,0.017
102.0,24.0,-0.8,1.626,0.017
103.0,24.0,-1.5,1.625,0.017
104.0,24.0,-1.8,1.624,0.017
105.0,24.0,2.8,1.618,0.017
106.0,24.0,-0.3,1.615,0.017
107.0,24.0,1.5,1.61,0.017
108.0,24.0,-4.0,1.612,0.017
