day,date,temps,S_vals
1,1998-12-08,-6.0,0.94
2,1998-12-09,-1.8,0.94
3,1998-12-10,-4.3,0.94
4,1998-12-11,-4.0,0.94
5,1998-12-12,-3.3,0.94
6,1998-12-13,0.3,0.94
7,1998-12-14,-3.3,0.94
8,1998-12-15,-0.3,0.94
9,1998-12-16,-1.5,0.94
10,1998-12-17,-4.0,0.94
11,1998-12-18,-9.5,0.94
12,1998-12-19,-9.8,0.94
13,1998-12-20,-10.0,0.94
14,1998-12-21,-4.3,0.94
15,1998-12-22,-7.5,0.94
16,1998-12-23,-15.5,0.94
17,1998-12-24,-9.8,0.94
18,1998-12-25,-10.3,0.94
19,1998-12-26,-6.0,0.94
20,1998-12-27,-7.8,0.94
21,1998-12-28,-2.0,0.94
22,1998-12-29,-9.5,0.94
23,1998-12-30,-12.0,0.94
24,1998-12-31,-26.0,0.94
25,1999-01-01,-25.3,0.88
26,1999-01-02,-21.3,0.88
27,1999-01-03,-11.8,0.88
28,1999-01-04,-7.8,0.88
29,1999-01-05,-17.8,0.88
30,1999-01-06,-17.0,0.88
31,1999-01-07,-16.5,0.88
32,1999-01-08,-17.5,0.88
33,1999-01-09,-10.5,0.88
34,1999-01-10,-15.3,0.88
35,1999-01-11,-18.0,0.88
36,1999-01-12,-21.5,0.88
37,1999-01-13,-21.3,0.88
38,1999-01-14,-27.0,0.88
39,1999-01-15,-15.8,0.88
40,1999-01-16,-5.8,0.88
41,1999-01-17,-2.8,0.88
42,1999-01-18,0.5,0.88
43,1999-01-19,0.8,0.88
44,1999-01-20,-7.3,0.88
45,1999-01-21,-10.3,0.88
46,1999-01-22,-10.3,0.88
47,1999-01-23,0.3,0.88
48,1999-01-24,4.0,0.88
49,1999-01-25,-8.5,0.88
50,1999-01-26,-12.3,0.88
51,1999-01-27,-9.5,0.88
52,1999-01-28,-17.0,0.88
53,1999-01-29,-17.0,0.88
54,1999-01-30,-18.5,0.88
55,1999-01-31,-20.3,0.88
56,1999-02-01,-9.8,0.82
57,1999-02-02,-5.5,0.82
58,1999-02-03,1.3,0.82
59,1999-02-04,1.0,0.82
60,1999-02-05,-7.0,0.82
61,1999-02-06,-12.8,0.82
62,1999-02-07,-10.5,0.82
63,1999-02-08,-15.3,0.82
64,1999-02-09,-11.8,0.82
65,1999-02-10,-5.0,0.82
66,1999-02-11,-10.3,0.82
67,1999-02-12,-1.3,0.82
68,1999-02-13,-3.0,0.82
69,1999-02-14,-13.0,0.82
70,1999-02-15,-14.3,0.82
71,1999-02-16,-10.0,0.82
72,1999-02-17,-5.8,0.82
73,1999-02-18,-3.5,0.82
74,1999-02-19,-3.5,0.82
75,1999-02-20,-7.8,0.82
76,1999-02-21,-10.8,0.82
77,1999-02-22,-19.5,0.82
78,1999-02-23,-19.0,0.82
79,1999-02-24,-14.8,0.82
80,1999-02-25,-9.5,0.82
81,1999-02-26,-1.8,0.82
82,1999-02-27,-3.0,0.82
83,1999-02-28,-2.8,0.82
84,1999-03-01,1.0,0.76
85,1999-03-02,-2.8,0.76
86,1999-03-03,-3.3,0.76
87,1999-03-04,4.8,0.76
88,1999-03-05,-10.8,0.76
89,1999-03-06,-16.3,0.76
90,1999-03-07,-12.0,0.76
91,1999-03-08,-12.5,0.76
92,1999-03-09,-9.8,0.76
93,1999-03-10,-7.8,0.76
94,1999-03-11,-6.0,0.76
95,1999-03-12,-3.0,0.76
96,1999-03-13,-2.3,0.76
97,1999-03-14,-2.0,0.76
98,1999-03-15,-4.5,0.76
99,1999-03-16,-1.3,0.76
100,1999-03-17,0.3,0.76
101,1999-03-18,-2.8,0.76
102,1999-03-19,-0.8,0.76
103,1999-03-20,-1.5,0.76
104,1999-03-21,-1.8,0.76
105,1999-03-22,2.8,0.76
106,1999-03-23,-0.3,0.76
107,1999-03-24,1.5,0.76
108,1999-03-25,-4.0,0.76
