day,date,temps,S_vals
1,1999-12-17,-2.3,0.94
2,1999-12-18,-9.5,0.94
3,1999-12-19,-11.5,0.94
4,1999-12-20,-5.3,0.94
5,1999-12-21,-1.3,0.94
6,1999-12-22,-4.3,0.94
7,1999-12-23,-6.0,0.94
8,1999-12-24,-14.5,0.94
9,1999-12-25,-12.0,0.94
10,1999-12-26,-8.0,0.94
11,1999-12-27,-13.5,0.94
12,1999-12-28,-14.5,0.94
13,1999-12-29,-9.5,0.94
14,1999-12-30,-9.6,0.94
15,1999-12-31,-14.5,0.94
16,2000-01-01,-7.5,0.88
17,2000-01-02,2.0,0.88
18,2000-01-03,-1.0,0.88
19,2000-01-04,1.5,0.88
20,2000-01-05,-10.0,0.88
21,2000-01-06,-7.0,0.88
22,2000-01-07,-1.3,0.88
23,2000-01-08,-5.8,0.88
24,2000-01-09,-2.5,0.88
25,2000-01-10,0.5,0.88
26,2000-01-11,3.0,0.88
27,2000-01-12,-6.0,0.88
28,2000-01-13,-15.8,0.88
29,2000-01-14,-19.3,0.88
30,2000-01-15,-16.5,0.88
31,2000-01-16,-12.0,0.88
32,2000-01-17,-22.8,0.88
33,2000-01-18,-24.0,0.88
34,2000-01-19,-23.0,0.88
35,2000-01-20,-18.5,0.88
36,2000-01-21,-18.0,0.88
37,2000-01-22,-22.0,0.88
38,2000-01-23,-18.0,0.88
39,2000-01-24,-9.0,0.88
40,2000-01-25,-13.0,0.88
41,2000-01-26,-7.5,0.88
42,2000-01-27,-16.5,0.88
43,2000-01-28,-18.0,0.88
44,2000-01-29,-16.0,0.88
45,2000-01-30,-13.0,0.88
46,2000-01-31,-7.5,0.88
47,2000-02-01,-4.0,0.82
48,2000-02-02,-15.0,0.82
49,2000-02-03,-13.5,0.82
50,2000-02-04,-19.5,0.82
51,2000-02-05,-17.5,0.82
52,2000-02-06,-10.0,0.82
53,2000-02-07,-10.0,0.82
54,2000-02-08,-17.5,0.82
55,2000-02-09,-5.0,0.82
56,2000-02-10,-12.0,0.82
57,2000-02-11,-4.3,0.82
58,2000-02-12,-17.0,0.82
59,2000-02-13,-12.5,0.82
60,2000-02-14,-4.5,0.82
61,2000-02-15,-7.8,0.82
62,2000-02-16,-7.5,0.82
63,2000-02-17,-16.5,0.82
64,2000-02-18,-18.3,0.82
65,2000-02-19,-6.0,0.82
66,2000-02-20,-5.5,0.82
67,2000-02-21,-11.0,0.82
68,2000-02-22,-3.3,0.82
