day,dt,temp,site_z,site_h
0.40000000000000036,9.71,-2.3,,
1.0,14.29,-2.3,,
2.0,24.0,-9.5,,
3.0,24.0,-11.5,,
4.0,24.0,-5.3,,
5.0,24.0,-1.3,0.52,
6.0,24.0,-4.3,,
7.0,24.0,-6.0,,
7.2,3.63,-14.5,,
8.0,20.37,-14.5,,
8.3,6.53,-12.0,,
9.0,17.47,-12.0,,
9.3,8.34,-8.0,,
10.0,15.66,-8.0,,
11.0,24.0,-13.5,,
12.0,24.0,-14.5,,
13.0,24.0,-9.5,,
14.0,24.0,-9.6,,
15.0,24.0,-14.5,,
16.0,24.0,-7.5,,
16.5,12.67,2.0,,
17.0,11.33,2.0,,
18.0,24.0,-1.0,,
18.1,1.82,1.5,,
19.0,22.18,1.5,,
19.3,7.53,-10.0,,
20.0,16.47,-10.0,0.64,
21.0,24.0,-7.0,,
22.0,24.0,-1.3,,
23.0,24.0,-5.8,,
24.0,24.0,-2.5,,
25.0,24.0,0.5,,
26.0,24.0,3.0,0.62,
27.0,24.0,-6.0,,
27.7,17.55,-15.8,,
28.0,6.45,-15.8,,
29.0,24.0,-19.3,,
30.0,24.0,-16.5,,
31.0,24.0,-12.0,,
32.0,24.0,-22.8,,
33.0,24.0,-24.0,,
34.0,24.0,-23.0,,
35.0,24.0,-18.5,,
36.0,24.0,-18.0,,
37.0,24.0,-22.0,,
38.0,24.0,-18.0,,
39.0,24.0,-9.0,,
40.0,24.0,-13.0,0.71,
41.0,24.0,-7.5,,
42.0,24.0,-16.5,,
43.0,24.0,-18.0,,
44.0,24.0,-16.0,,
45.0,24.0,-13.0,,
46.0,24.0,-7.5,,
47.0,24.0,-4.0,,
48.0,24.0,-15.0,,
49.0,24.0,-13.5,,
50.0,24.0,-19.5,,
51.0,24.0,-17.5,,
52.0,24.0,-10.0,,
53.0,24.0,-10.0,,
54.0,24.0,-17.5,0.705,
55.0,24.0,-5.0,,
56.0,24.0,-12.0,,
57.0,24.0,-4.3,,
58.0,24.0,-17.0,,
59.0,24.0,-12.5,,
60.0,24.0,-4.5,,
61.0,24.0,-7.8,,
62.0,24.0,-7.5,,
63.0,24.0,-16.5,,
64.0,24.0,-18.3,,
65.0,24.0,-6.0,,
66.0,24.0,-5.5,,
67.0,24.0,-11.0,,
68.0,24.0,-3.3,,
