day,dt,temp,chau_z,chau_h
1.0,24.0,-1.0,0.167,0
1.0999999999999996,1.97,-2.5,0.18,0
2.0,22.03,-2.5,0.209,0
3.0,24.0,-8.8,0.339,0
4.0,24.0,-5.0,0.382,0
5.0,24.0,-6.0,0.431,0
6.0,24.0,-1.3,0.421,0
7.0,24.0,-6.0,0.466,0
8.0,24.0,-12.0,0.563,0
9.0,24.0,-6.5,0.597,0
10.0,24.0,-5.8,0.623,0
11.0,24.0,-3.5,0.628,0
11.1,2.4,-5.8,0.63,0
12.0,21.6,-5.8,0.63,0
13.0,24.0,0.0,0.606,0
13.9,22.58,-6.3,0.63,0
14.0,1.42,-6.3,0.63,0
15.0,24.0,-16.0,0.63,0
16.0,24.0,-20.5,0.639,0
17.0,24.0,-21.0,0.655,0
18.0,24.0,-17.0,0.63,0
19.0,24.0,-8.3,0.63,0
20.0,24.0,-6.5,0.63,0
21.0,24.0,-16.8,0.63,0
22.0,24.0,-12.8,0.63,0
23.0,24.0,-15.8,0.63,0
24.0,24.0,-14.0,0.63,0
25.0,24.0,-6.8,0.63,0
26.0,24.0,-14.8,0.63,0
27.0,24.0,-15.5,0.63,0
28.0,24.0,-17.5,0.63,0
29.0,24.0,-21.5,0.63,0
30.0,24.0,-19.0,0.661,0
31.0,24.0,-10.0,0.63,0
32.0,24.0,-4.0,0.63,0
33.0,24.0,0.0,0.63,0
34.0,24.0,0.0,0.611,0
35.0,24.0,2.5,0.569,0
36.0,24.0,-4.5,0.592,0
37.0,24.0,-5.0,0.617,0
37.5,11.48,-6.0,0.63,0
38.0,12.52,-6.0,0.63,0
39.0,24.0,4.0,0.577,0
40.0,24.0,6.0,0.5,0
41.0,24.0,-6.5,0.547,0
42.0,24.0,-7.5,0.598,0
43.0,23.57,-6.5,0.63,0
43.0,0.43,-6.5,0.63,0
44.0,24.0,-12.5,0.63,0
45.0,24.0,-13.0,0.63,0
46.0,24.0,-14.5,0.63,0
47.0,24.0,-14.5,0.63,0
48.0,24.0,-7.5,0.63,0
49.0,24.0,-4.8,0.63,0
50.0,24.0,2.0,0.596,0
51.0,24.0,0.5,0.575,0
52.0,24.0,-6.5,0.617,0
52.3,6.32,-9.3,0.63,0
53.0,17.68,-9.3,0.63,0
54.0,24.0,-9.0,0.63,0
55.0,24.0,-16.0,0.675,0
56.0,24.0,-7.5,0.63,0
57.0,24.0,-2.0,0.63,0
58.0,24.0,-2.8,0.63,0
59.0,24.0,5.8,0.563,0
60.0,24.0,-4.3,0.588,0
60.6,14.46,-13.0,0.63,0
61.0,9.54,-13.0,0.631,0
62.0,24.0,-10.5,0.63,0
63.0,24.0,-5.0,0.63,0
64.0,24.0,0.0,0.63,0
65.0,24.0,1.3,0.604,0
66.0,24.0,-3.0,0.616,0
66.4,9.48,-6.5,0.63,0
67.0,14.52,-6.5,0.63,0
68.0,24.0,-10.0,0.63,0
69.0,24.0,-18.3,0.746,0
70.0,24.0,-16.0,0.777,0
71.0,24.0,-11.3,0.73,0
72.0,24.0,-8.5,0.652,0
72.6,14.23,-1.5,0.63,0
73.0,9.77,-1.5,0.63,0
73.1,1.81,-2.0,0.63,0
74.0,22.19,-2.0,0.63,0
75.0,24.0,-2.0,0.63,0
76.0,24.0,5.5,0.63,0
77.0,24.0,-2.5,0.63,0
78.0,24.0,2.8,0.63,0
79.0,24.0,5.5,0.569,0
80.0,24.0,-8.3,0.63,0
80.0,0.14,-11.5,0.63,0
81.0,23.86,-11.5,0.644,0
82.0,24.0,-11.0,0.646,0
83.0,24.0,-10.5,0.641,0
84.0,24.0,-10.3,0.635,0
85.0,24.0,-10.0,0.63,0
86.0,24.0,-6.8,0.63,0
87.0,24.0,-5.3,0.63,0
88.0,24.0,-3.8,0.63,0
89.0,24.0,-2.3,0.63,0
90.0,24.0,-1.5,0.63,0
91.0,24.0,-0.8,0.63,0
