day,date,temps,S_vals
1,1998-12-16,-1.0,0.94
2,1998-12-17,-2.5,0.94
3,1998-12-18,-8.8,0.94
4,1998-12-19,-5.0,0.94
5,1998-12-20,-6.0,0.94
6,1998-12-21,-1.3,0.94
7,1998-12-22,-6.0,0.94
8,1998-12-23,-12.0,0.94
9,1998-12-24,-6.5,0.94
10,1998-12-25,-5.8,0.94
11,1998-12-26,-3.5,0.94
12,1998-12-27,-5.8,0.94
13,1998-12-28,0.0,0.94
14,1998-12-29,-6.3,0.94
15,1998-12-30,-16.0,0.94
16,1998-12-31,-20.5,0.94
17,1999-01-01,-21.0,0.88
18,1999-01-02,-17.0,0.88
19,1999-01-03,-8.3,0.88
20,1999-01-04,-6.5,0.88
21,1999-01-05,-16.8,0.88
22,1999-01-06,-12.8,0.88
23,1999-01-07,-15.8,0.88
24,1999-01-08,-14.0,0.88
25,1999-01-09,-6.8,0.88
26,1999-01-10,-14.8,0.88
27,1999-01-11,-15.5,0.88
28,1999-01-12,-17.5,0.88
29,1999-01-13,-21.5,0.88
30,1999-01-14,-19.0,0.88
31,1999-01-15,-10.0,0.88
32,1999-01-16,-4.0,0.88
33,1999-01-17,0.0,0.88
34,1999-01-18,0.0,0.88
35,1999-01-19,2.5,0.88
36,1999-01-20,-4.5,0.88
37,1999-01-21,-5.0,0.88
38,1999-01-22,-6.0,0.88
39,1999-01-23,4.0,0.88
40,1999-01-24,6.0,0.88
41,1999-01-25,-6.5,0.88
42,1999-01-26,-7.5,0.88
43,1999-01-27,-6.5,0.88
44,1999-01-28,-12.5,0.88
45,1999-01-29,-13.0,0.88
46,1999-01-30,-14.5,0.88
47,1999-01-31,-14.5,0.88
48,1999-02-01,-7.5,0.82
49,1999-02-02,-4.8,0.82
50,1999-02-03,2.0,0.82
51,1999-02-04,0.5,0.82
52,1999-02-05,-6.5,0.82
53,1999-02-06,-9.3,0.82
54,1999-02-07,-9.0,0.82
55,1999-02-08,-16.0,0.82
56,1999-02-09,-7.5,0.82
57,1999-02-10,-2.0,0.82
58,1999-02-11,-2.8,0.82
59,1999-02-12,5.8,0.82
60,1999-02-13,-4.3,0.82
61,1999-02-14,-13.0,0.82
62,1999-02-15,-10.5,0.82
63,1999-02-16,-5.0,0.82
64,1999-02-17,0.0,0.82
65,1999-02-18,1.3,0.82
66,1999-02-19,-3.0,0.82
67,1999-02-20,-6.5,0.82
68,1999-02-21,-10.0,0.82
69,1999-02-22,-18.3,0.82
70,1999-02-23,-16.0,0.82
71,1999-02-24,-11.3,0.82
72,1999-02-25,-8.5,0.82
73,1999-02-26,-1.5,0.82
74,1999-02-27,-2.0,0.82
75,1999-02-28,-2.0,0.82
76,1999-03-01,5.5,0.76
77,1999-03-02,-2.5,0.76
78,1999-03-03,2.8,0.76
79,1999-03-04,5.5,0.76
80,1999-03-05,-8.3,0.76
81,1999-03-06,-11.5,0.76
82,1999-03-07,-11.0,0.76
83,1999-03-08,-10.5,0.76
84,1999-03-09,-10.3,0.76
85,1999-03-10,-10.0,0.76
86,1999-03-11,-6.8,0.76
87,1999-03-12,-5.3,0.76
88,1999-03-13,-3.8,0.76
89,1999-03-14,-2.3,0.76
90,1999-03-15,-1.5,0.76
91,1999-03-16,-0.8,0.76
