day,dt,temp,site_z,site_h
1.0,24.0,-1.0,,
1.0999999999999996,1.97,-2.5,,
2.0,22.03,-2.5,,
3.0,24.0,-8.8,,
4.0,24.0,-5.0,,
5.0,24.0,-6.0,,
6.0,24.0,-1.3,,
7.0,24.0,-6.0,0.42,
8.0,24.0,-12.0,,
9.0,24.0,-6.5,,
10.0,24.0,-5.8,,
11.0,24.0,-3.5,,
11.1,2.4,-5.8,,
12.0,21.6,-5.8,,
13.0,24.0,0.0,0.675,
13.9,22.58,-6.3,,
14.0,1.42,-6.3,,
15.0,24.0,-16.0,,
16.0,24.0,-20.5,,
17.0,24.0,-21.0,,
18.0,24.0,-17.0,,
19.0,24.0,-8.3,,
20.0,24.0,-6.5,,
21.0,24.0,-16.8,0.76,
22.0,24.0,-12.8,,
23.0,24.0,-15.8,,
24.0,24.0,-14.0,,
25.0,24.0,-6.8,,
26.0,24.0,-14.8,,
27.0,24.0,-15.5,,
28.0,24.0,-17.5,,
29.0,24.0,-21.5,,
30.0,24.0,-19.0,,
31.0,24.0,-10.0,,
32.0,24.0,-4.0,,
33.0,24.0,0.0,,
34.0,24.0,0.0,,
35.0,24.0,2.5,0.72,
36.0,24.0,-4.5,,
37.0,24.0,-5.0,,
37.5,11.48,-6.0,,
38.0,12.52,-6.0,,
39.0,24.0,4.0,,
40.0,24.0,6.0,,
41.0,24.0,-6.5,,
42.0,24.0,-7.5,,
43.0,23.57,-6.5,,
43.0,0.43,-6.5,,
44.0,24.0,-12.5,,
45.0,24.0,-13.0,,
46.0,24.0,-14.5,,
47.0,24.0,-14.5,,
48.0,24.0,-7.5,,
49.0,24.0,-4.8,,
50.0,24.0,2.0,0.75,
51.0,24.0,0.5,,
52.0,24.0,-6.5,,
52.3,6.32,-9.3,,
53.0,17.68,-9.3,,
54.0,24.0,-9.0,,
55.0,24.0,-16.0,,
56.0,24.0,-7.5,,
57.0,24.0,-2.0,,
58.0,24.0,-2.8,,
59.0,24.0,5.8,,
60.0,24.0,-4.3,,
60.6,14.46,-13.0,,
61.0,9.54,-13.0,0.67,
62.0,24.0,-10.5,,
63.0,24.0,-5.0,,
64.0,24.0,0.0,,
65.0,24.0,1.3,,
66.0,24.0,-3.0,,
66.4,9.48,-6.5,,
67.0,14.52,-6.5,,
68.0,24.0,-10.0,,
69.0,24.0,-18.3,,
70.0,24.0,-16.0,,
71.0,24.0,-11.3,,
72.0,24.0,-8.5,,
72.6,14.23,-1.5,,
73.0,9.77,-1.5,,
73.1,1.81,-2.0,,
74.0,22.19,-2.0,,
75.0,24.0,-2.0,,
76.0,24.0,5.5,,
77.0,24.0,-2.5,,
78.0,24.0,2.8,,
79.0,24.0,5.5,0.73,
80.0,24.0,-8.3,,
80.0,0.14,-11.5,,
81.0,23.86,-11.5,,
82.0,24.0,-11.0,,
83.0,24.0,-10.5,,
84.0,24.0,-10.3,0.725,
85.0,24.0,-10.0,,
86.0,24.0,-6.8,,
87.0,24.0,-5.3,,
88.0,24.0,-3.8,,
89.0,24.0,-2.3,,
90.0,24.0,-1.5,0.69,
91.0,24.0,-0.8,,
