day,dt,temp,chau_z,chau_h
0.20000000000000284,3.61,-1.8,0.1,0.0
1.0,20.39,-1.8,0.153,0.0
2.0,24.0,-4.3,0.26,0.0
3.0,24.0,-6.3,0.366,0.0
4.0,24.0,-3.3,0.403,0.0
4.5,11.43,-5.8,0.43,0.0
5.0,12.57,-5.8,0.43,0.0
6.0,24.0,-2.5,0.43,0.0
7.0,24.0,3.0,0.43,0.0
8.0,24.0,5.3,0.328,0.0
9.0,24.0,-1.0,0.331,0.0
10.0,24.0,-4.0,0.385,0.0
10.5,12.26,-8.5,0.43,0.0
11.0,11.74,-8.5,0.441,0.0
11.399999999999999,9.8,-9.3,0.468,0.0
12.0,14.2,-9.3,0.468,0.0
13.0,24.0,-6.5,0.468,0.0
14.0,24.0,-0.8,0.468,0.0
14.200000000000003,5.48,3.0,0.43,0.0
15.0,18.52,3.0,0.384,0.0
16.0,24.0,3.0,0.318,0.0
17.0,24.0,-1.0,0.324,0.0
18.0,24.0,-6.0,0.412,0.0
18.200000000000003,4.54,-9.3,0.43,0.0
19.0,19.46,-9.3,0.458,0.0
19.200000000000003,4.27,-10.3,0.468,0.0
20.0,19.73,-10.3,0.484,0.0
21.0,24.0,-12.3,0.528,0.0
22.0,24.0,-12.3,0.571,0.0
23.0,24.0,-10.3,0.59,0.0
24.0,24.0,-2.5,0.516,0.0
24.4,8.92,2.3,0.468,0.0
25.0,15.08,2.3,0.436,0.0
26.0,24.0,-2.0,0.43,0.0
27.0,24.0,-1.8,0.43,0.0
28.0,24.0,-0.8,0.43,0.0
29.0,24.0,-0.3,0.424,0.0
30.0,24.0,2.3,0.378,0.0
31.0,24.0,-1.5,0.392,0.0
32.0,24.0,-1.8,0.409,0.0
32.7,16.03,-3.0,0.43,0.0
33.0,7.97,-3.0,0.43,0.0
34.0,24.0,-2.5,0.43,0.0
35.0,24.0,-3.8,0.43,0.0
36.0,24.0,-1.3,0.43,0.0
37.0,24.0,-4.3,0.43,0.0
37.4,10.17,-11.5,0.468,0.0
38.0,13.83,-11.5,0.501,0.0
39.0,24.0,-9.5,0.532,0.0
40.0,24.0,-9.3,0.561,0.0
41.0,24.0,-11.5,0.598,0.0
42.0,24.0,-12.5,0.614,0.0
43.0,24.0,-13.3,0.632,0.0
44.0,24.0,-11.0,0.643,0.0
45.0,24.0,-5.3,0.638,0.0
46.0,24.0,-5.0,0.633,0.0
47.0,24.0,-7.0,0.633,0.0
48.0,24.0,-2.5,0.621,0.0
48.9,21.83,2.0,0.598,0.0
49.0,2.17,2.0,0.588,0.0
50.0,24.0,2.0,0.486,0.0
51.0,24.0,-7.3,0.502,0.0
52.0,24.0,-7.8,0.523,0.0
53.0,24.0,-3.0,0.486,0.0
54.0,24.0,-16.8,0.598,0.0
55.0,24.0,-10.5,0.61,0.0
56.0,24.0,-6.3,0.61,0.0
57.0,24.0,-19.0,0.648,0.0
58.0,24.0,-19.5,0.687,0.0
59.0,24.0,-16.0,0.715,0.0
60.0,24.0,-21.0,0.756,0.0
61.0,24.0,-10.3,0.768,0.0
62.0,24.0,-8.3,0.773,0.0
63.0,24.0,-10.5,0.785,0.0
64.0,24.0,-9.0,0.793,0.0
65.0,24.0,-18.0,0.826,0.0
66.0,24.0,-20.3,0.864,0.0
67.0,24.0,-15.0,0.888,0.0
68.0,24.0,-4.3,0.883,0.0
69.0,24.0,-5.3,0.88,0.0
70.0,24.0,-14.5,0.903,0.0
71.0,24.0,-11.0,0.916,0.0
72.0,24.0,-14.5,0.938,0.0
73.0,24.0,-23.0,0.982,0.0
73.7,15.82,-26.0,0.998,0.0
74.0,8.18,-26.0,1.005,0.0
75.0,24.0,-19.5,1.019,0.0
76.0,24.0,-17.8,1.031,0.0
77.0,24.0,-18.3,1.043,0.0
78.0,24.0,-20.0,1.058,0.0
79.0,24.0,-18.8,1.071,0.0
80.0,24.0,-12.0,1.077,0.0
81.0,24.0,-5.0,1.075,0.0
82.0,24.0,-15.8,1.085,0.0
83.0,24.0,-18.8,1.098,0.0
84.0,24.0,-11.8,1.104,0.0
85.0,24.0,-11.0,1.109,0.0
86.0,24.0,-7.5,1.11,0.0
87.0,24.0,-1.8,1.105,0.0
88.0,24.0,-5.3,1.104,0.0
89.0,24.0,-13.5,1.111,0.0
90.0,24.0,-18.0,1.124,0.0
91.0,24.0,-9.5,1.127,0.0
92.0,24.0,-14.8,1.137,0.0
93.0,24.0,-14.5,1.145,0.0
94.0,24.0,-30.0,1.171,0.0
95.0,24.0,-28.8,1.195,0.0
96.0,24.0,-19.3,1.209,0.0
