day,dt,temp,chau_z,chau_h
1.0,24.0,-0.5,0.075,0.0
1.7999999999999972,19.21,-1.3,0.123,0.0
2.0,4.79,-1.3,0.123,0.0
3.0,24.0,-3.3,0.179,0.0
3.6000000000000014,13.57,1.8,0.123,0.0
3.700000000000003,2.98,1.8,0.0,0.0
4.0,7.45,1.8,0.0,0.0
5.0,24.0,4.0,0.0,0.0
6.0,24.0,4.5,0.0,0.0
6.200000000000003,3.97,-3.5,0.123,0.0
7.0,20.03,-3.5,0.178,0.0
8.0,24.0,0.3,0.126,0.0
8.0,0.66,2.8,0.123,0.0
8.100000000000001,2.12,2.8,0.0,0.0
9.0,21.22,2.8,0.0,0.0
10.0,24.0,1.0,0.0,0.0
10.799999999999997,18.31,-1.0,0.123,0.0
11.0,5.69,-1.0,0.123,0.0
12.0,24.0,-0.3,0.006,0.0
12.100000000000001,3.23,-4.5,0.123,0.0
13.0,20.77,-4.5,0.203,0.0
14.0,24.0,1.0,0.136,0.0
14.399999999999999,8.83,0.0,0.123,0.0
14.899999999999999,13.65,0.0,0.0,0.0
15.0,1.52,0.0,0.0,0.0
16.0,24.0,1.5,0.0,0.0
17.0,24.0,0.5,0.0,0.0
18.0,24.0,-0.5,0.09,0.0
18.200000000000003,4.31,0.5,0.0,0.0
19.0,19.69,0.5,0.0,0.0
20.0,24.0,2.0,0.0,0.0
20.4,8.58,-1.5,0.123,0.0
21.0,15.42,-1.5,0.135,0.0
21.1,2.77,2.0,0.123,0.0
21.200000000000003,2.84,2.0,0.0,0.0
22.0,18.39,2.0,0.0,0.0
22.1,2.64,-6.0,0.123,0.0
23.0,21.36,-6.0,0.237,0.0
24.0,24.0,-9.5,0.367,0.0
25.0,24.0,-13.5,0.5,0.0
26.0,24.0,-9.8,0.567,0.0
27.0,24.0,-3.3,0.567,0.0
28.0,24.0,4.8,0.487,0.0
29.0,24.0,0.0,0.457,0.0
30.0,24.0,-4.8,0.481,0.0
31.0,24.0,-6.8,0.524,0.0
32.0,24.0,-4.3,0.538,0.0
33.0,24.0,0.8,0.501,0.0
34.0,24.0,-0.5,0.478,0.0
35.0,24.0,-1.0,0.461,0.0
36.0,24.0,-0.5,0.439,0.0
37.0,24.0,-1.0,0.424,0.0
38.0,24.0,-2.5,0.428,0.0
39.0,24.0,-6.3,0.476,0.0
40.0,24.0,0.0,0.449,0.0
41.0,24.0,-6.0,0.491,0.0
42.0,24.0,-9.3,0.561,0.0
43.0,24.0,-6.5,0.596,0.0
44.0,24.0,-4.0,0.607,0.0
45.0,24.0,-1.0,0.591,0.0
46.0,24.0,-5.5,0.616,0.0
46.7,16.11,-7.3,0.638,0.0
47.0,7.89,-7.3,0.64,0.001
48.0,24.0,-6.8,0.645,0.003
49.0,24.0,-3.8,0.645,0.003
50.0,24.0,-3.5,0.645,0.004
51.0,24.0,0.8,0.638,0.004
52.0,24.0,-6.0,0.643,0.006
53.0,24.0,-18.3,0.667,0.011
54.0,24.0,-18.0,0.691,0.016
55.0,24.0,-10.5,0.702,0.019
56.0,24.0,-19.0,0.725,0.024
57.0,24.0,-29.8,0.764,0.031
58.0,24.0,-28.0,0.799,0.038
59.0,24.0,-22.8,0.825,0.044
60.0,24.0,-20.0,0.847,0.048
61.0,24.0,-18.0,0.865,0.052
62.0,24.0,-10.8,0.874,0.055
63.0,24.0,-12.0,0.885,0.057
64.0,24.0,-22.0,0.908,0.062
65.0,24.0,-16.0,0.923,0.065
66.0,24.0,-15.5,0.937,0.068
67.0,24.0,-26.8,0.964,0.074
68.0,24.0,-25.0,0.989,0.079
69.0,24.0,-20.3,1.008,0.083
70.0,24.0,-19.5,1.025,0.087
71.0,24.0,-21.0,1.044,0.091
72.0,24.0,-17.5,1.059,0.094
73.0,24.0,-15.8,1.072,0.097
74.0,24.0,-11.5,1.08,0.099
75.0,24.0,-13.0,1.089,0.101
76.0,24.0,-22.5,1.109,0.105
77.0,24.0,-27.5,1.133,0.11
78.0,24.0,-20.8,1.15,0.114
79.0,24.0,-16.0,1.162,0.116
80.0,24.0,-29.3,1.188,0.121
81.0,24.0,-25.5,1.209,0.125
82.0,24.0,-19.3,1.223,0.129
82.7,17.69,-16.5,1.231,0.131
83.0,6.31,-16.5,1.235,0.131
84.0,24.0,-22.5,1.257,0.132
85.0,24.0,-18.8,1.273,0.134
86.0,24.0,-24.5,1.296,0.135
87.0,24.0,-29.0,1.324,0.137
88.0,24.0,-20.8,1.342,0.139
89.0,24.0,-10.5,1.349,0.14
90.0,24.0,-11.0,1.356,0.14
91.0,24.0,-22.0,1.375,0.142
92.0,24.0,-24.5,1.396,0.143
93.0,24.0,-23.0,1.415,0.145
94.0,24.0,-20.3,1.431,0.146
95.0,24.0,-17.0,1.444,0.147
96.0,24.0,-17.3,1.457,0.148
97.0,24.0,-13.0,1.465,0.149
98.0,24.0,-14.5,1.475,0.15
99.0,24.0,-20.8,1.491,0.151
100.0,24.0,-27.5,1.513,0.153
101.0,24.0,-23.0,1.531,0.154
102.0,24.0,-22.0,1.547,0.155
103.0,24.0,-21.5,1.563,0.156
104.0,24.0,-18.0,1.575,0.157
105.0,24.0,-10.8,1.581,0.158
106.0,24.0,-10.8,1.587,0.158
107.0,24.0,-18.0,1.599,0.159
108.0,24.0,-6.3,1.601,0.16
109.0,24.0,-13.0,1.609,0.16
110.0,24.0,-9.0,1.613,0.161
111.0,24.0,-3.0,1.612,0.161
112.0,24.0,5.3,1.604,0.161
113.0,24.0,3.0,1.598,0.161
114.0,24.0,-9.3,1.603,0.161
115.0,24.0,-15.5,1.613,0.162
116.0,24.0,-10.8,1.619,0.163
117.0,24.0,-15.0,1.629,0.163
118.0,24.0,-15.5,1.639,0.164
119.0,24.0,-14.0,1.647,0.165
120.0,24.0,-12.5,1.655,0.166
121.0,24.0,-16.5,1.665,0.166
122.0,24.0,-14.0,1.674,0.167
123.0,24.0,-10.5,1.679,0.168
124.0,24.0,-3.0,1.679,0.168
125.0,24.0,0.0,1.676,0.168
126.0,24.0,-7.0,1.678,0.168
127.0,24.0,-3.3,1.678,0.168
128.0,24.0,0.3,1.675,0.168
129.0,24.0,-8.3,1.679,0.169
130.0,24.0,-4.5,1.68,0.169
131.0,24.0,-9.8,1.685,0.17
132.0,24.0,-11.0,1.691,0.17
133.0,24.0,-9.5,1.696,0.171
134.0,24.0,-1.3,1.694,0.171
135.0,24.0,-1.8,1.693,0.171
136.0,24.0,-0.8,1.691,0.171
137.0,24.0,-7.0,1.694,0.171
138.0,24.0,-4.5,1.695,0.171
139.0,24.0,-2.8,1.694,0.172
140.0,24.0,-1.5,1.693,0.172
141.0,24.0,3.0,1.688,0.171
142.0,24.0,1.3,1.684,0.171
143.0,24.0,4.5,1.678,0.171
144.0,24.0,0.8,1.674,0.171
145.0,24.0,1.5,1.67,0.171
146.0,24.0,2.3,1.666,0.171
147.0,24.0,-3.8,1.667,0.171
148.0,24.0,2.3,1.662,0.171
149.0,24.0,2.3,1.658,0.171
150.0,24.0,-3.3,1.658,0.171
151.0,24.0,-1.5,1.657,0.171
152.0,24.0,-1.5,1.656,0.171
153.0,24.0,-5.3,1.658,0.171
154.0,24.0,1.3,1.654,0.171
155.0,24.0,-0.8,1.652,0.171
156.0,24.0,3.0,1.648,0.171
157.0,24.0,-1.3,1.646,0.171
158.0,24.0,-2.5,1.646,0.171
159.0,24.0,-3.0,1.646,0.172
160.0,24.0,2.0,1.642,0.172
161.0,24.0,5.8,1.635,0.171
162.0,24.0,3.8,1.63,0.171
163.0,24.0,1.8,1.626,0.171
164.0,24.0,3.5,1.621,0.171
