day,dt,temp,chau_z,chau_h
1.0,24.0,-0.3,0.049,0.0
1.1000000000000014,3.36,-5.0,0.133,0.0
2.0,20.64,-5.0,0.211,0.0
3.0,24.0,-2.3,0.218,0.0
3.8999999999999986,21.88,1.8,0.133,0.0
4.0,2.12,1.8,0.061,0.0
4.0,0.41,3.8,0.0,0.0
5.0,23.59,3.8,0.0,0.0
6.0,24.0,4.0,0.0,0.0
6.200000000000003,5.85,-2.8,0.133,0.0
7.0,18.15,-2.8,0.166,0.0
8.0,24.0,-0.8,0.147,0.0
8.100000000000001,2.34,3.3,0.133,0.0
8.200000000000003,2.17,3.3,0.0,0.0
9.0,19.49,3.3,0.0,0.0
10.0,24.0,0.8,0.0,0.0
11.0,24.0,-1.0,0.133,0.0
12.0,24.0,0.5,0.133,0.0
13.0,24.0,-4.3,0.133,0.0
14.0,24.0,2.8,0.133,0.0
14.200000000000003,4.09,1.5,0.0,0.0
15.0,19.91,1.5,0.0,0.0
16.0,24.0,2.0,0.0,0.0
17.0,24.0,1.5,0.0,0.0
18.0,24.0,0.8,0.0,0.0
19.0,24.0,0.5,0.0,0.0
20.0,24.0,1.8,0.0,0.0
20.299999999999997,6.54,-2.3,0.133,0.0
21.0,17.46,-2.3,0.16,0.0
21.299999999999997,6.24,2.3,0.133,0.0
21.4,2.97,2.3,0.0,0.0
22.0,14.79,2.3,0.0,0.0
22.1,2.94,-6.8,0.133,0.0
23.0,21.06,-6.8,0.253,0.0
24.0,24.0,-8.0,0.355,0.0
24.299999999999997,6.02,-13.5,0.383,0.0
25.0,17.98,-13.5,0.443,0.0
26.0,24.0,-10.5,0.495,0.0
27.0,24.0,-2.5,0.494,0.0
28.0,24.0,3.5,0.453,0.0
29.0,24.0,-0.5,0.439,0.0
30.0,24.0,-5.0,0.457,0.0
31.0,24.0,-7.0,0.486,0.0
32.0,24.0,-4.5,0.499,0.0
33.0,24.0,0.3,0.48,0.0
34.0,24.0,1.3,0.456,0.0
35.0,24.0,1.3,0.431,0.0
36.0,24.0,0.3,0.413,0.0
37.0,24.0,0.5,0.393,0.0
38.0,24.0,-3.0,0.401,0.0
39.0,24.0,-6.3,0.431,0.0
40.0,24.0,0.3,0.414,0.0
41.0,24.0,-6.5,0.446,0.0
42.0,24.0,-7.5,0.482,0.0
43.0,24.0,-8.8,0.523,0.0
44.0,24.0,-5.5,0.542,0.0
45.0,24.0,-2.0,0.54,0.0
46.0,24.0,-5.3,0.558,0.0
47.0,24.0,-9.0,0.595,0.0
48.0,24.0,-7.3,0.622,0.0
49.0,24.0,-3.3,0.626,0.0
50.0,24.0,-3.3,0.63,0.0
51.0,24.0,0.8,0.613,0.0
52.0,24.0,-3.0,0.616,0.0
53.0,24.0,-18.5,0.699,0.0
54.0,24.0,-16.3,0.763,0.0
55.0,24.0,-8.5,0.789,0.0
56.0,24.0,-17.8,0.853,0.0
57.0,24.0,-28.5,0.931,0.0
58.0,24.0,-28.5,1.007,0.003
59.0,24.0,-25.3,1.068,0.006
60.0,24.0,-18.0,1.105,0.007
61.0,24.0,-19.0,1.143,0.009
62.0,24.0,-9.8,1.157,0.01
63.0,24.0,-14.0,1.181,0.011
64.0,24.0,-22.5,1.224,0.013
65.0,24.0,-16.5,1.252,0.014
66.0,24.0,-15.5,1.276,0.015
67.0,24.0,-27.3,1.326,0.017
67.8,19.02,-24.0,1.35,0.019
68.0,4.98,-24.0,1.355,0.019
69.0,24.0,-19.0,1.372,0.02
70.0,24.0,-19.8,1.391,0.022
71.0,24.0,-19.5,1.409,0.023
72.0,24.0,-20.3,1.427,0.025
73.0,24.0,-16.0,1.44,0.026
74.0,24.0,-13.0,1.449,0.027
75.0,24.0,-12.3,1.457,0.028
76.0,24.0,-24.0,1.479,0.03
77.0,24.0,-27.0,1.504,0.031
78.0,24.0,-22.5,1.523,0.033
79.0,24.0,-14.5,1.533,0.034
80.0,24.0,-30.3,1.56,0.036
81.0,24.0,-26.3,1.582,0.038
82.0,24.0,-20.8,1.598,0.039
83.0,24.0,-14.8,1.608,0.04
84.0,24.0,-21.5,1.624,0.041
85.0,24.0,-17.0,1.636,0.042
86.0,24.0,-22.8,1.653,0.044
87.0,24.0,-27.8,1.675,0.045
88.0,24.0,-21.5,1.691,0.046
89.0,24.0,-7.8,1.693,0.047
90.0,24.0,-12.3,1.7,0.048
