day,dt,temp,site_z,site_h
1.0,24.0,-0.3,,
1.1000000000000014,3.36,-5.0,,
2.0,20.64,-5.0,,
3.0,24.0,-2.3,,
3.8999999999999986,21.88,1.8,,
4.0,2.12,1.8,,
4.0,0.41,3.8,,
5.0,23.59,3.8,,
6.0,24.0,4.0,,
6.200000000000003,5.85,-2.8,,
7.0,18.15,-2.8,,
8.0,24.0,-0.8,,
8.100000000000001,2.34,3.3,,
8.200000000000003,2.17,3.3,,
9.0,19.49,3.3,,
10.0,24.0,0.8,,
11.0,24.0,-1.0,,
12.0,24.0,0.5,,
13.0,24.0,-4.3,,
14.0,24.0,2.8,,
14.200000000000003,4.09,1.5,,
15.0,19.91,1.5,,
16.0,24.0,2.0,,
17.0,24.0,1.5,,
18.0,24.0,0.8,,
19.0,24.0,0.5,,
20.0,24.0,1.8,,
20.299999999999997,6.54,-2.3,,
21.0,17.46,-2.3,,
21.299999999999997,6.24,2.3,,
21.4,2.97,2.3,,
22.0,14.79,2.3,,
22.1,2.94,-6.8,,
23.0,21.06,-6.8,,
24.0,24.0,-8.0,,
24.299999999999997,6.02,-13.5,,
25.0,17.98,-13.5,,
26.0,24.0,-10.5,,
27.0,24.0,-2.5,,
28.0,24.0,3.5,,
29.0,24.0,-0.5,,
30.0,24.0,-5.0,,
31.0,24.0,-7.0,,
32.0,24.0,-4.5,,
33.0,24.0,0.3,,
34.0,24.0,1.3,,
35.0,24.0,1.3,,
36.0,24.0,0.3,,
37.0,24.0,0.5,,
38.0,24.0,-3.0,,
39.0,24.0,-6.3,,
40.0,24.0,0.3,,
41.0,24.0,-6.5,,
42.0,24.0,-7.5,,
43.0,24.0,-8.8,,
44.0,24.0,-5.5,,
45.0,24.0,-2.0,,
46.0,24.0,-5.3,,
47.0,24.0,-9.0,,
48.0,24.0,-7.3,,
49.0,24.0,-3.3,,
50.0,24.0,-3.3,,
51.0,24.0,0.8,,
52.0,24.0,-3.0,,
53.0,24.0,-18.5,,
54.0,24.0,-16.3,,
55.0,24.0,-8.5,,
56.0,24.0,-17.8,,
57.0,24.0,-28.5,,
58.0,24.0,-28.5,,
59.0,24.0,-25.3,,
60.0,24.0,-18.0,,
61.0,24.0,-19.0,,
62.0,24.0,-9.8,,
63.0,24.0,-14.0,,
64.0,24.0,-22.5,,
65.0,24.0,-16.5,,
66.0,24.0,-15.5,,
67.0,24.0,-27.3,,
67.8,19.02,-24.0,,
68.0,4.98,-24.0,,
69.0,24.0,-19.0,,
70.0,24.0,-19.8,,
71.0,24.0,-19.5,,
72.0,24.0,-20.3,,
73.0,24.0,-16.0,,
74.0,24.0,-13.0,,
75.0,24.0,-12.3,,
76.0,24.0,-24.0,,
77.0,24.0,-27.0,,
78.0,24.0,-22.5,,
79.0,24.0,-14.5,,
80.0,24.0,-30.3,,
81.0,24.0,-26.3,,
82.0,24.0,-20.8,,
83.0,24.0,-14.8,,
84.0,24.0,-21.5,,
85.0,24.0,-17.0,,
86.0,24.0,-22.8,,
87.0,24.0,-27.8,1.405,
88.0,24.0,-21.5,,
89.0,24.0,-7.8,,
90.0,24.0,-12.3,,
91.0,24.0,-23.3,,
92.0,24.0,-27.3,,
93.0,24.0,-23.5,,
94.0,24.0,-20.0,,
95.0,24.0,-18.0,,
96.0,24.0,-17.3,,
97.0,24.0,-11.8,,
98.0,24.0,-13.3,,
99.0,24.0,-18.5,,
100.0,24.0,-26.3,,
101.0,24.0,-23.5,,
102.0,24.0,-24.3,,
103.0,24.0,-21.8,,
104.0,24.0,-19.8,,
105.0,24.0,-8.3,,
106.0,24.0,-10.5,,
107.0,24.0,-18.3,,
108.0,24.0,-7.8,,
109.0,24.0,-12.5,,
110.0,24.0,-9.3,,
111.0,24.0,-4.3,,
112.0,24.0,4.8,,
113.0,24.0,2.3,,
114.0,24.0,-10.5,,
115.0,24.0,-15.5,,
116.0,24.0,-10.8,,
117.0,24.0,-12.5,,
118.0,24.0,-15.8,,
119.0,24.0,-15.0,,
120.0,24.0,-15.5,,
121.0,24.0,-16.0,,
122.0,24.0,-16.8,,
123.0,24.0,-9.8,,
124.0,24.0,-2.5,,
125.0,24.0,1.0,,
126.0,24.0,-9.8,,
127.0,24.0,-5.5,,
128.0,24.0,-0.8,,
129.0,24.0,-7.5,,
130.0,24.0,-4.0,,
131.0,24.0,-8.5,,
132.0,24.0,-13.3,,
133.0,24.0,-9.5,,
134.0,24.0,-3.8,,
135.0,24.0,-1.5,1.699,
136.0,24.0,0.0,,
137.0,24.0,-6.5,,
138.0,24.0,-5.0,,
139.0,24.0,-3.0,,
140.0,24.0,-1.3,,
141.0,24.0,2.3,,
142.0,24.0,1.0,,
143.0,24.0,4.0,,
144.0,24.0,-0.3,,
145.0,24.0,1.8,,
146.0,24.0,1.5,,
147.0,24.0,-3.0,,
148.0,24.0,2.3,1.683,
149.0,24.0,2.8,,
150.0,24.0,-3.5,,
151.0,24.0,-0.3,,
152.0,24.0,-1.8,,
153.0,24.0,-5.3,,
154.0,24.0,0.8,,
155.0,24.0,0.0,1.668,
156.0,24.0,2.0,,
157.0,24.0,-1.0,,
158.0,24.0,-0.8,,
159.0,24.0,-3.8,,
160.0,24.0,1.0,,
161.0,24.0,6.3,,
162.0,24.0,4.0,,
163.0,24.0,1.8,,
