day,dt,temp,chau_z,chau_h
1.0,24.0,-0.5,0.075,0.0
1.3999999999999986,10.01,-1.3,0.109,0.0
2.0,13.99,-1.3,0.113,0.0
3.0,24.0,-3.3,0.175,0.0
3.6000000000000014,15.3,1.8,0.109,0.0
3.700000000000003,2.4,1.8,0.0,0.0
4.0,6.3,1.8,0.0,0.0
5.0,24.0,4.0,0.0,0.0
6.0,24.0,4.5,0.0,0.0
6.100000000000001,3.06,-3.5,0.109,0.0
7.0,20.94,-3.5,0.174,0.0
8.0,24.0,0.3,0.122,0.0
8.100000000000001,2.06,2.8,0.109,0.0
8.200000000000003,1.69,2.8,0.0,0.0
9.0,20.26,2.8,0.0,0.0
10.0,24.0,1.0,0.0,0.0
10.5,12.68,-1.0,0.109,0.0
11.0,11.32,-1.0,0.11,0.0
11.0,0.47,-0.3,0.109,0.0
12.0,23.53,-0.3,0.008,0.0
12.100000000000001,2.5,-4.5,0.109,0.0
13.0,21.5,-4.5,0.2,0.0
14.0,24.0,1.0,0.132,0.0
14.600000000000001,14.87,0.0,0.109,0.0
15.0,9.13,0.0,0.019,0.0
15.0,0.09,1.5,0.0,0.0
16.0,23.91,1.5,0.0,0.0
17.0,24.0,0.5,0.0,0.0
18.0,24.0,-0.5,0.09,0.0
18.200000000000003,4.31,0.5,0.0,0.0
19.0,19.69,0.5,0.0,0.0
20.0,24.0,2.0,0.0,0.0
20.299999999999997,6.42,-1.5,0.109,0.0
21.0,17.58,-1.5,0.127,0.0
21.200000000000003,3.78,2.0,0.109,0.0
21.299999999999997,2.28,2.0,0.0,0.0
22.0,17.94,2.0,0.0,0.0
22.1,2.06,-6.0,0.109,0.0
23.0,21.94,-6.0,0.235,0.0
24.0,24.0,-9.5,0.367,0.0
25.0,24.0,-13.5,0.492,0.0
26.0,24.0,-9.8,0.533,0.0
27.0,24.0,-3.3,0.535,0.0
27.9,22.07,4.8,0.492,0.0
28.0,1.93,4.8,0.485,0.0
29.0,24.0,0.0,0.455,0.0
30.0,24.0,-4.8,0.48,0.0
30.3,7.75,-6.8,0.492,0.0
31.0,16.25,-6.8,0.509,0.0
32.0,24.0,-4.3,0.518,0.0
33.0,24.0,0.8,0.497,0.0
33.4,9.05,-0.5,0.492,0.0
34.0,14.95,-0.5,0.478,0.0
35.0,24.0,-1.0,0.461,0.0
36.0,24.0,-0.5,0.439,0.0
37.0,24.0,-1.0,0.424,0.0
38.0,24.0,-2.5,0.428,0.0
39.0,24.0,-6.3,0.476,0.0
40.0,24.0,0.0,0.45,0.0
41.0,24.0,-6.0,0.492,0.0
42.0,24.0,-9.3,0.533,0.0
43.0,24.0,-6.5,0.556,0.0
44.0,24.0,-4.0,0.565,0.0
45.0,24.0,-1.0,0.556,0.0
46.0,24.0,-5.5,0.573,0.0
47.0,24.0,-7.3,0.599,0.0
48.0,24.0,-6.8,0.622,0.0
49.0,24.0,-3.8,0.628,0.0
50.0,24.0,-3.5,0.633,0.0
51.0,24.0,0.8,0.616,0.0
52.0,24.0,-6.0,0.634,0.0
53.0,24.0,-18.3,0.711,0.0
