day,dt,temp,chau_z,chau_h
0.29999999999999716,8.33,-1.0,0.09,0.0
1.0,15.67,-1.0,0.092,0.0
2.0,24.0,-2.0,0.13,0.0
3.0,24.0,-4.0,0.205,0.0
4.0,24.0,0.5,0.146,0.0
4.299999999999997,8.3,3.0,0.09,0.0
4.399999999999999,1.09,3.0,0.0,0.0
5.0,14.61,3.0,0.0,0.0
6.0,24.0,2.5,0.0,0.0
6.100000000000001,1.57,-5.0,0.09,0.0
7.0,22.43,-5.0,0.206,0.0
8.0,24.0,-2.0,0.214,0.0
9.0,24.0,1.5,0.129,0.0
9.600000000000001,15.58,0.5,0.09,0.0
9.799999999999997,4.15,0.5,0.0,0.0
10.0,4.27,0.5,0.0,0.0
10.100000000000001,2.57,-2.5,0.09,0.0
11.0,21.43,-2.5,0.145,0.0
12.0,24.0,0.0,0.107,0.0
13.0,24.0,-5.5,0.232,0.0
14.0,24.0,1.0,0.169,0.0
15.0,24.0,0.0,0.132,0.0
15.700000000000003,17.77,0.5,0.09,0.0
15.899999999999999,4.3,0.5,0.0,0.0
16.0,1.93,0.5,0.0,0.0
17.0,24.0,1.5,0.0,0.0
17.200000000000003,4.09,-1.5,0.09,0.0
18.0,19.91,-1.5,0.117,0.0
19.0,24.0,-0.5,0.104,0.0
19.1,3.11,1.5,0.09,0.0
19.200000000000003,2.0,1.5,0.0,0.0
20.0,18.89,1.5,0.0,0.0
20.1,3.03,-2.0,0.09,0.0
21.0,20.97,-2.0,0.134,0.0
21.6,14.21,1.0,0.09,0.0
21.700000000000003,2.77,1.0,0.0,0.0
22.0,7.02,1.0,0.0,0.0
22.1,1.23,-7.5,0.09,0.0
23.0,22.77,-7.5,0.263,0.0
24.0,24.0,-10.5,0.4,0.0
25.0,24.0,-12.5,0.517,0.0
26.0,24.0,-11.5,0.599,0.0
27.0,24.0,-1.5,0.583,0.0
28.0,24.0,4.0,0.512,0.0
29.0,24.0,-1.5,0.499,0.0
30.0,24.0,-6.0,0.533,0.0
31.0,24.0,-8.0,0.583,0.0
32.0,24.0,-6.0,0.61,0.0
33.0,24.0,-0.5,0.586,0.0
34.0,24.0,-0.5,0.563,0.0
35.0,24.0,1.0,0.525,0.0
36.0,24.0,-0.5,0.504,0.0
37.0,24.0,-0.5,0.482,0.0
38.0,24.0,-5.0,0.511,0.0
39.0,24.0,-8.0,0.566,0.0
40.0,24.0,-1.0,0.55,0.0
41.0,24.0,-6.0,0.583,0.0
42.0,24.0,-8.5,0.635,0.0
43.0,24.0,-7.5,0.674,0.0
44.0,24.0,-6.5,0.702,0.0
45.0,24.0,-3.0,0.701,0.0
46.0,24.0,-6.5,0.728,0.0
46.9,21.81,-11.0,0.767,0.0
47.0,2.19,-11.0,0.769,0.0
48.0,24.0,-8.5,0.787,0.0
49.0,24.0,-4.0,0.789,0.0
50.0,24.0,-5.5,0.797,0.0
51.0,24.0,-0.5,0.787,0.0
52.0,24.0,-6.0,0.797,0.0
53.0,24.0,-19.0,0.847,0.001
54.0,24.0,-17.5,0.89,0.001
55.0,24.0,-10.5,0.911,0.001
56.0,24.0,-15.5,0.945,0.001
57.0,24.0,-28.5,1.012,0.001
58.0,24.0,-29.0,1.077,0.001
59.0,24.0,-29.5,1.138,0.002
60.0,24.0,-19.5,1.174,0.002
61.0,24.0,-20.0,1.209,0.002
62.0,24.0,-12.0,1.226,0.002
63.0,24.0,-16.5,1.253,0.002
64.0,24.0,-23.0,1.292,0.002
65.0,24.0,-17.0,1.318,0.002
66.0,24.0,-17.5,1.345,0.003
67.0,24.0,-26.0,1.387,0.003
68.0,24.0,-23.5,1.424,0.003
69.0,24.0,-19.5,1.452,0.003
70.0,24.0,-21.0,1.482,0.003
71.0,24.0,-19.0,1.508,0.003
72.0,24.0,-18.5,1.532,0.003
73.0,24.0,-16.0,1.552,0.003
74.0,24.0,-12.5,1.565,0.003
75.0,24.0,-13.0,1.58,0.003
76.0,24.0,-24.0,1.612,0.004
77.0,24.0,-27.5,1.65,0.004
78.0,24.0,-23.5,1.681,0.004
79.0,24.0,-14.5,1.696,0.004
80.0,24.0,-28.0,1.733,0.004
81.0,24.0,-27.0,1.767,0.004
82.0,24.0,-22.0,1.793,0.004
83.0,24.0,-16.0,1.81,0.004
84.0,24.0,-24.0,1.838,0.004
85.0,24.0,-17.0,1.856,0.004
86.0,24.0,-23.0,1.882,0.004
87.0,24.0,-28.5,1.916,0.005
88.0,24.0,-21.5,1.939,0.005
89.0,24.0,-9.0,1.945,0.005
90.0,24.0,-14.0,1.957,0.005
91.0,24.0,-23.0,1.982,0.005
92.0,24.0,-27.0,2.012,0.005
93.0,24.0,-24.0,2.038,0.005
94.0,24.0,-20.0,2.058,0.005
95.0,24.0,-17.0,2.074,0.005
96.0,24.0,-18.0,2.091,0.005
97.0,24.0,-13.0,2.101,0.005
98.0,24.0,-17.0,2.116,0.005
99.0,24.0,-19.5,2.135,0.005
100.0,24.0,-27.5,2.164,0.005
101.0,24.0,-24.0,2.188,0.005
102.0,24.0,-23.0,2.21,0.006
103.0,24.0,-21.5,2.23,0.006
104.0,24.0,-18.5,2.247,0.006
105.0,24.0,-9.5,2.252,0.006
106.0,24.0,-8.5,2.256,0.006
107.0,24.0,-16.5,2.27,0.006
108.0,24.0,-8.5,2.275,0.006
109.0,24.0,-13.0,2.284,0.006
110.0,24.0,-9.0,2.289,0.006
111.0,24.0,-1.5,2.285,0.006
112.0,24.0,3.0,2.276,0.006
113.0,24.0,2.0,2.267,0.006
114.0,24.0,-11.0,2.275,0.006
115.0,24.0,-15.5,2.288,0.006
116.0,24.0,-10.5,2.295,0.006
117.0,24.0,-11.5,2.303,0.006
118.0,24.0,-16.5,2.317,0.006
119.0,24.0,-16.0,2.331,0.006
120.0,24.0,-14.0,2.342,0.006
121.0,24.0,-16.5,2.356,0.006
122.0,24.0,-15.5,2.368,0.006
123.0,24.0,-9.0,2.373,0.006
124.0,24.0,-3.5,2.372,0.006
125.0,24.0,-0.5,2.368,0.006
126.0,24.0,-8.0,2.372,0.006
127.0,24.0,-5.0,2.372,0.006
128.0,24.0,0.0,2.367,0.006
129.0,24.0,-7.0,2.37,0.006
130.0,24.0,-5.0,2.371,0.006
131.0,24.0,-8.0,2.375,0.006
132.0,24.0,-13.0,2.386,0.006
133.0,24.0,-9.0,2.391,0.006
134.0,24.0,-2.5,2.389,0.006
135.0,24.0,-2.0,2.387,0.006
136.0,24.0,0.5,2.381,0.006
137.0,24.0,-6.5,2.384,0.006
138.0,24.0,-6.0,2.386,0.006
139.0,24.0,-4.5,2.387,0.006
140.0,24.0,-1.5,2.384,0.006
141.0,24.0,1.5,2.377,0.006
142.0,24.0,0.0,2.373,0.006
143.0,24.0,1.5,2.367,0.006
144.0,24.0,0.0,2.362,0.006
145.0,24.0,2.0,2.355,0.006
146.0,24.0,1.5,2.349,0.006
147.0,24.0,-2.5,2.348,0.006
148.0,24.0,1.0,2.342,0.006
149.0,24.0,2.5,2.335,0.006
150.0,24.0,-3.0,2.334,0.006
151.0,24.0,0.0,2.33,0.006
152.0,24.0,-2.5,2.329,0.006
153.0,24.0,-6.5,2.332,0.006
154.0,24.0,0.5,2.328,0.006
155.0,24.0,-0.5,2.324,0.006
156.0,24.0,1.0,2.319,0.006
157.0,24.0,-0.5,2.315,0.006
158.0,24.0,-0.5,2.312,0.006
159.0,24.0,-3.0,2.312,0.006
160.0,24.0,1.0,2.306,0.006
161.0,24.0,6.5,2.295,0.006
162.0,24.0,3.0,2.287,0.006
163.0,24.0,2.0,2.281,0.006
164.0,24.0,4.0,2.272,0.006
165.0,24.0,4.5,2.263,0.006
166.0,24.0,8.0,2.25,0.006
167.0,24.0,6.0,2.238,0.006
168.0,24.0,3.5,2.23,0.006
169.0,24.0,2.5,2.224,0.006
170.0,24.0,5.0,2.214,0.006
171.0,24.0,3.5,2.206,0.006
172.0,24.0,1.5,2.2,0.006
173.0,24.0,-1.0,2.198,0.006
174.0,24.0,1.5,2.193,0.006
175.0,24.0,1.5,2.187,0.006
176.0,24.0,4.5,2.178,0.006
177.0,24.0,2.5,2.172,0.006
178.0,24.0,10.0,2.155,0.006
179.0,24.0,2.5,2.149,0.006
180.0,24.0,2.0,2.143,0.006
