day,dt,temp,site_z,site_h
0.29999999999999716,8.33,-1.0,,
1.0,15.67,-1.0,,
2.0,24.0,-2.0,,
3.0,24.0,-4.0,,
4.0,24.0,0.5,,
4.299999999999997,8.3,3.0,,
4.399999999999999,1.09,3.0,,
5.0,14.61,3.0,,
6.0,24.0,2.5,,
6.100000000000001,1.57,-5.0,,
7.0,22.43,-5.0,,
8.0,24.0,-2.0,,
9.0,24.0,1.5,,
9.600000000000001,15.58,0.5,,
9.799999999999997,4.15,0.5,,
10.0,4.27,0.5,,
10.100000000000001,2.57,-2.5,,
11.0,21.43,-2.5,,
12.0,24.0,0.0,,
13.0,24.0,-5.5,,
14.0,24.0,1.0,,
15.0,24.0,0.0,,
15.700000000000003,17.77,0.5,,
15.899999999999999,4.3,0.5,,
16.0,1.93,0.5,,
17.0,24.0,1.5,,
17.200000000000003,4.09,-1.5,,
18.0,19.91,-1.5,,
19.0,24.0,-0.5,,
19.1,3.11,1.5,,
19.200000000000003,2.0,1.5,,
20.0,18.89,1.5,,
20.1,3.03,-2.0,,
21.0,20.97,-2.0,,
21.6,14.21,1.0,,
21.700000000000003,2.77,1.0,,
22.0,7.02,1.0,,
22.1,1.23,-7.5,,
23.0,22.77,-7.5,,
24.0,24.0,-10.5,,
25.0,24.0,-12.5,,
26.0,24.0,-11.5,,
27.0,24.0,-1.5,,
28.0,24.0,4.0,,
29.0,24.0,-1.5,,
30.0,24.0,-6.0,,
31.0,24.0,-8.0,,
32.0,24.0,-6.0,,
33.0,24.0,-0.5,,
34.0,24.0,-0.5,,
35.0,24.0,1.0,,
36.0,24.0,-0.5,,
37.0,24.0,-0.5,,
38.0,24.0,-5.0,,
39.0,24.0,-8.0,,
40.0,24.0,-1.0,,
41.0,24.0,-6.0,,
42.0,24.0,-8.5,,
43.0,24.0,-7.5,,
44.0,24.0,-6.5,,
45.0,24.0,-3.0,,
46.0,24.0,-6.5,,
46.9,21.81,-11.0,,
47.0,2.19,-11.0,,
48.0,24.0,-8.5,,
49.0,24.0,-4.0,,
50.0,24.0,-5.5,,
51.0,24.0,-0.5,,
52.0,24.0,-6.0,,
53.0,24.0,-19.0,,
54.0,24.0,-17.5,,
55.0,24.0,-10.5,,
56.0,24.0,-15.5,,
57.0,24.0,-28.5,,
58.0,24.0,-29.0,,
59.0,24.0,-29.5,,
60.0,24.0,-19.5,,
61.0,24.0,-20.0,,
62.0,24.0,-12.0,,
63.0,24.0,-16.5,,
64.0,24.0,-23.0,,
65.0,24.0,-17.0,,
66.0,24.0,-17.5,,
67.0,24.0,-26.0,,
68.0,24.0,-23.5,,
69.0,24.0,-19.5,,
70.0,24.0,-21.0,,
71.0,24.0,-19.0,,
72.0,24.0,-18.5,,
73.0,24.0,-16.0,,
74.0,24.0,-12.5,,
75.0,24.0,-13.0,,
76.0,24.0,-24.0,,
77.0,24.0,-27.5,,
78.0,24.0,-23.5,,
79.0,24.0,-14.5,,
80.0,24.0,-28.0,,
81.0,24.0,-27.0,,
82.0,24.0,-22.0,,
83.0,24.0,-16.0,,
84.0,24.0,-24.0,,
85.0,24.0,-17.0,,
86.0,24.0,-23.0,,
87.0,24.0,-28.5,1.885,
88.0,24.0,-21.5,,
89.0,24.0,-9.0,,
90.0,24.0,-14.0,,
91.0,24.0,-23.0,,
92.0,24.0,-27.0,,
93.0,24.0,-24.0,,
94.0,24.0,-20.0,,
95.0,24.0,-17.0,,
96.0,24.0,-18.0,,
97.0,24.0,-13.0,,
98.0,24.0,-17.0,,
99.0,24.0,-19.5,,
100.0,24.0,-27.5,,
101.0,24.0,-24.0,,
102.0,24.0,-23.0,,
103.0,24.0,-21.5,,
104.0,24.0,-18.5,,
105.0,24.0,-9.5,,
106.0,24.0,-8.5,,
107.0,24.0,-16.5,,
108.0,24.0,-8.5,,
109.0,24.0,-13.0,,
110.0,24.0,-9.0,,
111.0,24.0,-1.5,,
112.0,24.0,3.0,,
113.0,24.0,2.0,,
114.0,24.0,-11.0,,
115.0,24.0,-15.5,,
116.0,24.0,-10.5,,
117.0,24.0,-11.5,,
118.0,24.0,-16.5,,
119.0,24.0,-16.0,,
120.0,24.0,-14.0,,
121.0,24.0,-16.5,,
122.0,24.0,-15.5,,
123.0,24.0,-9.0,,
124.0,24.0,-3.5,,
125.0,24.0,-0.5,,
126.0,24.0,-8.0,,
127.0,24.0,-5.0,,
128.0,24.0,0.0,,
129.0,24.0,-7.0,,
130.0,24.0,-5.0,,
131.0,24.0,-8.0,,
132.0,24.0,-13.0,,
133.0,24.0,-9.0,,
134.0,24.0,-2.5,,
135.0,24.0,-2.0,2.489,
136.0,24.0,0.5,,
137.0,24.0,-6.5,,
138.0,24.0,-6.0,,
139.0,24.0,-4.5,,
140.0,24.0,-1.5,,
141.0,24.0,1.5,,
142.0,24.0,0.0,,
143.0,24.0,1.5,,
144.0,24.0,0.0,,
145.0,24.0,2.0,,
146.0,24.0,1.5,,
147.0,24.0,-2.5,,
148.0,24.0,1.0,2.524,
149.0,24.0,2.5,,
150.0,24.0,-3.0,,
151.0,24.0,0.0,,
152.0,24.0,-2.5,,
153.0,24.0,-6.5,,
154.0,24.0,0.5,,
155.0,24.0,-0.5,2.479,
156.0,24.0,1.0,,
157.0,24.0,-0.5,,
158.0,24.0,-0.5,,
159.0,24.0,-3.0,,
160.0,24.0,1.0,,
161.0,24.0,6.5,,
162.0,24.0,3.0,,
163.0,24.0,2.0,,
164.0,24.0,4.0,,
165.0,24.0,4.5,2.437,
166.0,24.0,8.0,,
167.0,24.0,6.0,,
168.0,24.0,3.5,,
169.0,24.0,2.5,,
170.0,24.0,5.0,2.424,
171.0,24.0,3.5,,
172.0,24.0,1.5,,
173.0,24.0,-1.0,,
174.0,24.0,1.5,,
175.0,24.0,1.5,,
176.0,24.0,4.5,,
177.0,24.0,2.5,2.407,
178.0,24.0,10.0,,
179.0,24.0,2.5,,
180.0,24.0,2.0,,
