day,dt,temp,site_z,site_h
1.0,24.0,-0.5,,
1.2999999999999972,6.46,-1.3,,
2.0,17.54,-1.3,,
3.0,24.0,-3.3,,
3.6000000000000014,14.8,1.8,,
3.700000000000003,2.06,1.8,,
4.0,7.13,1.8,,
5.0,24.0,4.0,,
6.0,24.0,4.5,,
6.100000000000001,2.58,-3.5,,
7.0,21.42,-3.5,,
8.0,24.0,0.3,,
8.100000000000001,1.62,2.8,,
8.100000000000001,1.45,2.8,,
9.0,20.93,2.8,,
10.0,24.0,1.0,,
10.399999999999999,10.13,-1.0,,
11.0,13.87,-1.0,,
11.100000000000001,1.41,-0.3,,
12.0,22.59,-0.3,,
12.100000000000001,2.11,-4.5,,
13.0,21.89,-4.5,,
14.0,24.0,1.0,,
14.5,12.3,0.0,,
15.0,11.07,0.0,,
15.0,0.63,0.0,,
16.0,24.0,1.5,,
17.0,24.0,0.5,,
18.0,24.0,-0.5,,
18.200000000000003,4.31,0.5,,
19.0,19.69,0.5,,
20.0,24.0,2.0,,
20.200000000000003,5.34,-1.5,,
21.0,18.66,-1.5,,
21.200000000000003,4.06,2.0,,
21.299999999999997,1.96,2.0,,
22.0,17.97,2.0,,
22.1,1.76,-6.0,,
23.0,22.24,-6.0,,
24.0,24.0,-9.5,,
25.0,24.0,-13.5,,
26.0,24.0,-9.8,,
27.0,24.0,-3.3,,
28.0,24.0,4.8,,
29.0,24.0,0.0,,
30.0,24.0,-4.8,,
31.0,24.0,-6.8,,
32.0,24.0,-4.3,,
33.0,24.0,0.8,,
34.0,24.0,-0.5,,
35.0,24.0,-1.0,,
36.0,24.0,-0.5,,
37.0,24.0,-1.0,,
38.0,24.0,-2.5,,
39.0,24.0,-6.3,,
40.0,24.0,0.0,,
41.0,24.0,-6.0,,
42.0,24.0,-9.3,,
43.0,24.0,-6.5,,
43.4,10.38,-4.0,,
44.0,13.62,-4.0,,
44.2,4.83,-1.0,,
45.0,19.17,-1.0,,
45.7,17.35,-5.5,,
46.0,6.65,-5.5,,
47.0,24.0,-7.3,,
48.0,24.0,-6.8,,
49.0,24.0,-3.8,,
50.0,24.0,-3.5,,
51.0,24.0,0.8,,
52.0,24.0,-6.0,,
53.0,24.0,-18.3,,
54.0,24.0,-18.0,,
55.0,24.0,-10.5,,
56.0,24.0,-19.0,,
57.0,24.0,-29.8,,
58.0,24.0,-28.0,,
59.0,24.0,-22.8,,
60.0,24.0,-20.0,,
61.0,24.0,-18.0,,
62.0,24.0,-10.8,,
63.0,24.0,-12.0,,
64.0,24.0,-22.0,,
65.0,24.0,-16.0,,
66.0,24.0,-15.5,,
67.0,24.0,-26.8,,
68.0,24.0,-25.0,,
69.0,24.0,-20.3,,
70.0,24.0,-19.5,,
71.0,24.0,-21.0,,
72.0,24.0,-17.5,,
73.0,24.0,-15.8,,
74.0,24.0,-11.5,,
75.0,24.0,-13.0,,
76.0,24.0,-22.5,,
77.0,24.0,-27.5,,
78.0,24.0,-20.8,,
79.0,24.0,-16.0,,
80.0,24.0,-29.3,,
81.0,24.0,-25.5,,
82.0,24.0,-19.3,,
83.0,24.0,-16.5,,
84.0,24.0,-22.5,,
85.0,24.0,-18.8,,
86.0,24.0,-24.5,,
87.0,24.0,-29.0,1.5,
88.0,24.0,-20.8,,
89.0,24.0,-10.5,,
90.0,24.0,-11.0,,
91.0,24.0,-22.0,,
92.0,24.0,-24.5,,
93.0,24.0,-23.0,,
94.0,24.0,-20.3,,
95.0,24.0,-17.0,,
96.0,24.0,-17.3,,
97.0,24.0,-13.0,,
98.0,24.0,-14.5,,
99.0,24.0,-20.8,,
100.0,24.0,-27.5,,
101.0,24.0,-23.0,,
102.0,24.0,-22.0,,
103.0,24.0,-21.5,,
104.0,24.0,-18.0,,
105.0,24.0,-10.8,,
106.0,24.0,-10.8,,
107.0,24.0,-18.0,,
108.0,24.0,-6.3,,
109.0,24.0,-13.0,,
110.0,24.0,-9.0,,
111.0,24.0,-3.0,,
112.0,24.0,5.3,,
113.0,24.0,3.0,,
114.0,24.0,-9.3,,
115.0,24.0,-15.5,,
116.0,24.0,-10.8,,
117.0,24.0,-15.0,,
118.0,24.0,-15.5,,
119.0,24.0,-14.0,,
120.0,24.0,-12.5,,
121.0,24.0,-16.5,,
122.0,24.0,-14.0,,
123.0,24.0,-10.5,,
124.0,24.0,-3.0,,
125.0,24.0,0.0,,
126.0,24.0,-7.0,,
127.0,24.0,-3.3,,
128.0,24.0,0.3,,
129.0,24.0,-8.3,,
130.0,24.0,-4.5,,
131.0,24.0,-9.8,,
132.0,24.0,-11.0,,
133.0,24.0,-9.5,,
134.0,24.0,-1.3,,
135.0,24.0,-1.8,,
136.0,24.0,-0.8,,
137.0,24.0,-7.0,,
138.0,24.0,-4.5,,
139.0,24.0,-2.8,,
140.0,24.0,-1.5,,
141.0,24.0,3.0,,
142.0,24.0,1.3,1.773,
143.0,24.0,4.5,,
144.0,24.0,0.8,,
145.0,24.0,1.5,,
146.0,24.0,2.3,,
147.0,24.0,-3.8,,
148.0,24.0,2.3,,
149.0,24.0,2.3,1.764,
150.0,24.0,-3.3,,
151.0,24.0,-1.5,,
152.0,24.0,-1.5,,
153.0,24.0,-5.3,,
154.0,24.0,1.3,,
155.0,24.0,-0.8,,
156.0,24.0,3.0,1.749,
157.0,24.0,-1.3,,
158.0,24.0,-2.5,,
159.0,24.0,-3.0,,
160.0,24.0,2.0,,
161.0,24.0,5.8,,
162.0,24.0,3.8,,
163.0,24.0,1.8,,
164.0,24.0,3.5,,
