day,date,temps,S_vals
1,1998-12-08,-4.9,0.94
2,1998-12-09,-0.9,0.94
3,1998-12-10,0.3,0.94
4,1998-12-11,-0.9,0.94
5,1998-12-12,0.4,0.94
6,1998-12-13,1.0,0.94
7,1998-12-14,-1.1,0.94
8,1998-12-15,2.6,0.94
9,1998-12-16,0.7,0.94
10,1998-12-17,-1.6,0.94
11,1998-12-18,-7.6,0.94
12,1998-12-19,-6.2,0.94
13,1998-12-20,-7.0,0.94
14,1998-12-21,-4.2,0.94
15,1998-12-22,-6.0,0.94
16,1998-12-23,-11.2,0.94
17,1998-12-24,-7.6,0.94
18,1998-12-25,-8.7,0.94
19,1998-12-26,-4.3,0.94
20,1998-12-27,-5.6,0.94
21,1998-12-28,-1.3,0.94
22,1998-12-29,-5.5,0.94
23,1998-12-30,-12.6,0.94
24,1998-12-31,-23.8,0.94
25,1999-01-01,-21.7,0.88
26,1999-01-02,-19.4,0.88
27,1999-01-03,-9.6,0.88
28,1999-01-04,-7.6,0.88
29,1999-01-05,-16.8,0.88
30,1999-01-06,-12.6,0.88
31,1999-01-07,-15.5,0.88
32,1999-01-08,-16.6,0.88
33,1999-01-09,-9.1,0.88
34,1999-01-10,-16.5,0.88
35,1999-01-11,-17.2,0.88
36,1999-01-12,-18.3,0.88
37,1999-01-13,-20.4,0.88
38,1999-01-14,-22.1,0.88
39,1999-01-15,-12.3,0.88
40,1999-01-16,-5.0,0.88
41,1999-01-17,-0.5,0.88
42,1999-01-18,-0.1,0.88
43,1999-01-19,3.2,0.88
44,1999-01-20,-2.8,0.88
45,1999-01-21,-6.4,0.88
46,1999-01-22,-6.5,0.88
47,1999-01-23,-0.1,0.88
48,1999-01-24,3.6,0.88
49,1999-01-25,-6.7,0.88
50,1999-01-26,-9.1,0.88
51,1999-01-27,-7.9,0.88
52,1999-01-28,-13.5,0.88
53,1999-01-29,-13.9,0.88
54,1999-01-30,-15.1,0.88
55,1999-01-31,-16.3,0.88
56,1999-02-01,-8.4,0.82
57,1999-02-02,-3.1,0.82
58,1999-02-03,2.8,0.82
59,1999-02-04,2.2,0.82
60,1999-02-05,-6.5,0.82
61,1999-02-06,-10.2,0.82
62,1999-02-07,-10.5,0.82
63,1999-02-08,-12.4,0.82
64,1999-02-09,-9.0,0.82
65,1999-02-10,-3.3,0.82
66,1999-02-11,-8.4,0.82
67,1999-02-12,1.0,0.82
68,1999-02-13,-3.2,0.82
69,1999-02-14,-11.2,0.82
70,1999-02-15,-10.3,0.82
71,1999-02-16,-6.8,0.82
72,1999-02-17,-2.9,0.82
73,1999-02-18,0.8,0.82
74,1999-02-19,-2.8,0.82
75,1999-02-20,-4.1,0.82
76,1999-02-21,-10.5,0.82
77,1999-02-22,-16.5,0.82
78,1999-02-23,-15.9,0.82
79,1999-02-24,-12.7,0.82
80,1999-02-25,-6.0,0.82
81,1999-02-26,0.0,0.82
82,1999-02-27,-2.0,0.82
83,1999-02-28,-0.7,0.82
84,1999-03-01,2.1,0.76
85,1999-03-02,-0.8,0.76
86,1999-03-03,-1.9,0.76
87,1999-03-04,3.3,0.76
88,1999-03-05,-7.8,0.76
89,1999-03-06,-12.5,0.76
90,1999-03-07,-11.2,0.76
91,1999-03-08,-9.1,0.76
92,1999-03-09,-7.5,0.76
93,1999-03-10,-6.7,0.76
94,1999-03-11,-6.3,0.76
95,1999-03-12,-2.6,0.76
96,1999-03-13,-1.9,0.76
97,1999-03-14,-3.0,0.76
98,1999-03-15,-2.8,0.76
99,1999-03-16,0.2,0.76
100,1999-03-17,1.8,0.76
101,1999-03-18,1.6,0.76
102,1999-03-19,1.6,0.76
103,1999-03-20,-0.8,0.76
104,1999-03-21,0.3,0.76
105,1999-03-22,5.1,0.76
106,1999-03-23,1.2,0.76
107,1999-03-24,2.9,0.76
108,1999-03-25,-1.5,0.76
109,1999-03-26,1.1,0.76
110,1999-03-27,3.3,0.76
111,1999-03-28,5.4,0.76
112,1999-03-29,5.0,0.76
113,1999-03-30,5.2,0.76
114,1999-03-31,1.8,0.76
115,1999-04-01,1.1,0.7
116,1999-04-02,3.8,0.7
117,1999-04-03,2.6,0.7
118,1999-04-04,0.6,0.7
119,1999-04-05,4.2,0.7
120,1999-04-06,6.5,0.7
