day,dt,temp,chau_z,chau_h
1.0,1.18,-1.7,0.06,0
2.0,22.82,-1.7,0.142,0
3.0,24.0,-2.7,0.205,0
4.0,24.0,0.8,0.142,0
5.0,24.0,-4.1,0.24,0
5.700000000000003,15.61,-7.8,0.3,0
6.0,8.39,-7.8,0.324,0
7.0,24.0,-4.1,0.349,0
8.0,24.0,-1.6,0.347,0
9.0,24.0,0.0,0.329,0
10.0,24.0,-0.8,0.32,0
11.0,24.0,-7.6,0.382,0
12.0,24.0,2.2,0.342,0
12.799999999999997,19.94,3.0,0.3,0
13.0,4.06,3.0,0.285,0
13.399999999999999,9.61,15.5,0.06,0
13.399999999999999,0.09,15.5,0.0,0
14.0,14.3,15.5,0.0,0
15.0,24.0,8.8,0.0,0
16.0,24.0,3.9,0.0,0
17.0,24.0,2.0,0.0,0
18.0,24.0,6.8,0.0,0
18.0,0.66,-3.8,0.06,0
19.0,23.34,-3.8,0.212,0
20.0,24.0,-3.6,0.274,0
20.9,22.31,-2.9,0.3,0
21.0,1.69,-2.9,0.301,0
22.0,24.0,-3.0,0.32,0
22.9,22.41,0.6,0.3,0
23.0,1.59,0.6,0.298,0
24.0,24.0,2.9,0.205,0
24.5,12.03,5.5,0.06,0
24.5,0.25,5.5,0.0,0
25.0,11.72,5.5,0.0,0
26.0,24.0,4.1,0.0,0
26.1,2.52,-0.7,0.06,0
27.0,21.48,-0.7,0.101,0
28.0,24.0,-1.0,0.135,0
29.0,24.0,-2.4,0.202,0
30.0,24.0,-3.5,0.268,0
30.299999999999997,7.56,-8.8,0.3,0
31.0,16.44,-8.8,0.357,0
32.0,24.0,-8.1,0.423,0
33.0,24.0,-0.8,0.418,0
34.0,24.0,1.1,0.395,0
35.0,24.0,-10.5,0.478,0
36.0,24.0,-10.7,0.554,0
37.0,24.0,-13.0,0.63,0
38.0,24.0,-11.4,0.68,0
39.0,24.0,-5.0,0.696,0
40.0,24.0,-2.1,0.698,0
41.0,24.0,-0.3,0.691,0
42.0,24.0,-12.9,0.74,0
43.0,24.0,-8.1,0.74,0
44.0,24.0,-1.4,0.739,0
44.5,11.08,-2.3,0.74,0
45.0,12.92,-2.3,0.74,0
46.0,24.0,-0.3,0.734,0
47.0,24.0,1.0,0.721,0
48.0,24.0,2.3,0.702,0
49.0,24.0,-1.1,0.699,0
50.0,24.0,-8.1,0.732,0
50.2,4.94,-12.4,0.74,0
51.0,19.06,-12.4,0.758,0
52.0,24.0,-10.9,0.773,0
53.0,24.0,-0.7,0.743,0
53.0,0.27,3.3,0.74,0
54.0,23.73,3.3,0.717,0
55.0,24.0,2.6,0.697,0
56.0,24.0,2.0,0.68,0
57.0,24.0,-0.4,0.675,0
58.0,24.0,-6.4,0.7,0
59.0,24.0,-3.5,0.711,0
60.0,24.0,-5.8,0.732,0
60.5,11.66,-5.1,0.74,0
61.0,12.34,-5.1,0.74,0
62.0,24.0,-1.2,0.739,0
62.0,0.71,-8.1,0.74,0
63.0,23.29,-8.1,0.747,0
64.0,24.0,-8.9,0.758,0
64.1,3.55,2.0,0.74,0
65.0,20.45,2.0,0.726,0
65.4,10.63,-9.2,0.74,0
66.0,13.37,-9.2,0.747,0
67.0,24.0,-9.9,0.763,0
68.0,24.0,-5.4,0.759,0
69.0,24.0,-5.6,0.756,0
70.0,24.0,-4.4,0.749,0
71.0,24.0,-8.0,0.757,0
72.0,24.0,-9.5,0.773,0
72.5,10.99,-11.5,0.79,0
73.0,13.01,-11.5,0.79,0
74.0,24.0,-19.0,0.799,0
75.0,24.0,-16.9,0.806,0
76.0,24.0,-14.3,0.81,0
77.0,24.0,-10.3,0.81,0
78.0,24.0,-10.3,0.81,0
79.0,24.0,-23.0,0.824,0
80.0,24.0,-20.8,0.835,0
81.0,24.0,-16.0,0.841,0
82.0,24.0,-24.7,0.857,0
83.0,24.0,-17.5,0.865,0
84.0,24.0,-10.1,0.865,0
85.0,24.0,-14.4,0.87,0
86.0,24.0,-22.9,0.884,0
87.0,24.0,-21.2,0.896,0
88.0,24.0,-18.2,0.905,0
89.0,24.0,-20.3,0.916,0
90.0,24.0,-6.8,0.913,0
91.0,24.0,-11.9,0.915,0
92.0,24.0,-25.7,0.932,0
93.0,24.0,-16.4,0.939,0
94.0,24.0,-15.7,0.946,0
95.0,24.0,-14.3,0.951,0
96.0,24.0,-4.2,0.945,0
97.0,24.0,0.8,0.935,0
98.0,24.0,0.3,0.925,0
99.0,24.0,-4.5,0.92,0
100.0,24.0,-3.4,0.914,0
101.0,24.0,-15.5,0.921,0
102.0,24.0,-10.8,0.923,0
103.0,24.0,-15.2,0.929,0
104.0,24.0,-5.5,0.926,0
105.0,24.0,-10.3,0.927,0
106.0,24.0,-10.1,0.928,0
107.0,24.0,-22.5,0.943,0
108.0,24.0,-19.6,0.954,0
109.0,24.0,-26.1,0.973,0
110.0,24.0,-25.5,0.99,0
111.0,24.0,-25.4,1.008,0
112.0,24.0,-26.8,1.027,0
113.0,24.0,-15.0,1.033,0
114.0,24.0,-7.4,1.032,0
115.0,24.0,-0.2,1.024,0
116.0,24.0,-0.5,1.015,0
117.0,24.0,-4.7,1.012,0
118.0,24.0,-5.2,1.008,0
119.0,24.0,-8.5,1.009,0
120.0,24.0,-13.3,1.014,0
121.0,24.0,-23.1,1.029,0
122.0,24.0,-20.8,1.043,0
123.0,24.0,-16.1,1.051,0
124.0,24.0,-12.8,1.056,0
125.0,24.0,-3.5,1.051,0
126.0,24.0,-9.1,1.052,0
127.0,24.0,-22.4,1.067,0
128.0,24.0,-10.5,1.07,0
129.0,24.0,-9.4,1.071,0
130.0,24.0,-19.3,1.083,0
131.0,24.0,-7.2,1.082,0
132.0,24.0,-2.5,1.077,0
133.0,24.0,-15.9,1.085,0
134.0,24.0,-13.8,1.092,0
135.0,24.0,-3.9,1.088,0
136.0,24.0,-7.9,1.088,0
137.0,24.0,-18.2,1.099,0
138.0,24.0,-10.5,1.102,0
139.0,24.0,-4.9,1.099,0
140.0,24.0,1.6,1.09,0
141.0,24.0,0.9,1.081,0
142.0,24.0,-5.0,1.079,0
143.0,24.0,-5.4,1.077,0
144.0,24.0,2.6,1.066,0
145.0,24.0,3.5,1.055,0
146.0,24.0,4.2,1.043,0
147.0,24.0,3.5,1.032,0
148.0,24.0,4.2,1.021,0
149.0,24.0,5.4,1.008,0
150.0,24.0,2.6,0.998,0
151.0,24.0,1.0,0.989,0
152.0,24.0,7.4,0.974,0
153.0,24.0,6.4,0.96,0
154.0,24.0,-3.1,0.956,0
155.0,24.0,-5.8,0.955,0
156.0,24.0,-3.6,0.952,0
157.0,24.0,-1.5,0.946,0
158.0,24.0,-4.9,0.945,0
159.0,24.0,-5.6,0.943,0
160.0,24.0,-3.6,0.94,0
161.0,24.0,-5.0,0.938,0
162.0,24.0,-4.1,0.936,0
163.0,24.0,-0.7,0.93,0
164.0,24.0,1.2,0.922,0
165.0,24.0,4.2,0.91,0
166.0,24.0,5.9,0.897,0
167.0,24.0,4.9,0.885,0
168.0,24.0,0.2,0.878,0
169.0,24.0,8.7,0.862,0
170.0,24.0,6.9,0.848,0
171.0,24.0,-4.9,0.847,0
172.0,24.0,-3.0,0.843,0
173.0,24.0,5.4,0.831,0
174.0,24.0,8.6,0.815,0
175.0,24.0,11.6,0.795,0
175.3,7.29,10.4,0.79,0
176.0,16.71,10.4,0.752,0
176.0,0.62,9.0,0.74,0
177.0,23.38,9.0,0.694,0
178.0,24.0,5.7,0.663,0
179.0,24.0,2.4,0.648,0
179.8,19.23,3.7,0.63,0
180.0,4.77,3.7,0.624,0
181.0,24.0,3.8,0.593,0
182.0,24.0,9.4,0.517,0
183.0,24.0,13.8,0.39,0
183.9,21.23,9.4,0.3,0
184.0,2.77,9.4,0.278,0
185.0,23.68,5.9,0.06,0
185.0,0.23,5.9,0.0,0
185.0,0.09,5.9,0.0,0
186.0,24.0,6.8,0.0,0
187.0,24.0,6.8,0.0,0
188.0,24.0,6.7,0.0,0
189.0,24.0,11.6,0.0,0
190.0,24.0,13.5,0.0,0
191.0,24.0,10.9,0.0,0
192.0,24.0,10.3,0.0,0
