day,dt,temp,site_z,site_h
1.0,1.18,-1.7,,
2.0,22.82,-1.7,,
3.0,24.0,-2.7,,
4.0,24.0,0.8,,
5.0,24.0,-4.1,,
5.700000000000003,15.61,-7.8,,
6.0,8.39,-7.8,,
7.0,24.0,-4.1,,
8.0,24.0,-1.6,,
9.0,24.0,0.0,,
10.0,24.0,-0.8,,
11.0,24.0,-7.6,,
12.0,24.0,2.2,,
12.799999999999997,19.94,3.0,,
13.0,4.06,3.0,,
13.399999999999999,9.61,15.5,,
13.399999999999999,0.09,15.5,,
14.0,14.3,15.5,,
15.0,24.0,8.8,,
16.0,24.0,3.9,,
17.0,24.0,2.0,,
18.0,24.0,6.8,,
18.0,0.66,-3.8,,
19.0,23.34,-3.8,,
20.0,24.0,-3.6,,
20.9,22.31,-2.9,,
21.0,1.69,-2.9,,
22.0,24.0,-3.0,,
22.9,22.41,0.6,,
23.0,1.59,0.6,,
24.0,24.0,2.9,,
24.5,12.03,5.5,,
24.5,0.25,5.5,,
25.0,11.72,5.5,,
26.0,24.0,4.1,,
26.1,2.52,-0.7,,
27.0,21.48,-0.7,,
28.0,24.0,-1.0,,
29.0,24.0,-2.4,,
30.0,24.0,-3.5,0.0,0.0
30.299999999999997,7.56,-8.8,,
31.0,16.44,-8.8,,
32.0,24.0,-8.1,,
33.0,24.0,-0.8,,
34.0,24.0,1.1,,
35.0,24.0,-10.5,,
36.0,24.0,-10.7,,
37.0,24.0,-13.0,,
38.0,24.0,-11.4,0.599,0.001
39.0,24.0,-5.0,,
40.0,24.0,-2.1,,
41.0,24.0,-0.3,,
42.0,24.0,-12.9,,
43.0,24.0,-8.1,,
44.0,24.0,-1.4,,
44.5,11.08,-2.3,,
45.0,12.92,-2.3,0.779,0.001
46.0,24.0,-0.3,,
47.0,24.0,1.0,,
48.0,24.0,2.3,,
49.0,24.0,-1.1,,
50.0,24.0,-8.1,,
50.2,4.94,-12.4,,
51.0,19.06,-12.4,,
52.0,24.0,-10.9,,
53.0,24.0,-0.7,0.779,0.001
53.0,0.27,3.3,,
54.0,23.73,3.3,,
55.0,24.0,2.6,,
56.0,24.0,2.0,,
57.0,24.0,-0.4,,
58.0,24.0,-6.4,,
59.0,24.0,-3.5,,
60.0,24.0,-5.8,0.759,0.001
60.5,11.66,-5.1,,
61.0,12.34,-5.1,,
62.0,24.0,-1.2,,
62.0,0.71,-8.1,,
63.0,23.29,-8.1,,
64.0,24.0,-8.9,,
64.1,3.55,2.0,,
65.0,20.45,2.0,,
65.4,10.63,-9.2,,
66.0,13.37,-9.2,,
67.0,24.0,-9.9,,
68.0,24.0,-5.4,,
69.0,24.0,-5.6,,
70.0,24.0,-4.4,,
71.0,24.0,-8.0,,
72.0,24.0,-9.5,,
72.5,10.99,-11.5,,
73.0,13.01,-11.5,0.82,0.0
74.0,24.0,-19.0,,
75.0,24.0,-16.9,,
76.0,24.0,-14.3,,
77.0,24.0,-10.3,,
