day,dt,temp,chau_z,chau_h
0.10000000000000142,3.41,-4.5,0.14,0
1.0,20.59,-4.5,0.256,0
2.0,24.0,-8.5,0.41,0
3.0,24.0,-9.3,0.526,0
4.0,24.0,-7.5,0.59,0
5.0,24.0,-9.5,0.605,0
6.0,24.0,-8.5,0.615,0
6.600000000000001,13.55,-11.8,0.64,0
7.0,10.45,-11.8,0.64,0
8.0,24.0,-16.0,0.64,0
9.0,24.0,-4.8,0.64,0
10.0,24.0,-9.5,0.64,0
11.0,24.0,-11.0,0.64,0
12.0,24.0,-6.3,0.638,0
12.100000000000001,1.65,-9.0,0.64,0
13.0,22.35,-9.0,0.64,0
14.0,24.0,-5.8,0.636,0
14.100000000000001,3.04,-8.0,0.64,0
15.0,20.96,-8.0,0.64,0
16.0,24.0,-19.5,0.64,0
17.0,24.0,-17.0,0.646,0
18.0,24.0,-12.8,0.647,0
19.0,24.0,-16.5,0.653,0
20.0,24.0,-18.3,0.66,0
21.0,24.0,-17.5,0.667,0
22.0,24.0,-18.8,0.675,0
23.0,24.0,-9.5,0.673,0
24.0,24.0,-7.3,0.669,0
25.0,24.0,-10.0,0.668,0
26.0,24.0,-12.5,0.67,0
27.0,24.0,-16.8,0.677,0
28.0,24.0,-11.0,0.677,0
29.0,24.0,-6.0,0.673,0
30.0,24.0,-1.0,0.662,0
31.0,24.0,-2.5,0.654,0
32.0,24.0,-7.0,0.651,0
33.0,24.0,-7.8,0.648,0
34.0,24.0,-8.3,0.646,0
35.0,24.0,-7.0,0.643,0
35.8,20.33,-6.0,0.64,0
36.0,3.67,-6.0,0.64,0
37.0,24.0,-10.5,0.641,0
38.0,24.0,-12.3,0.644,0
39.0,24.0,-9.3,0.643,0
40.0,24.0,-19.0,0.654,0
41.0,24.0,-22.0,0.667,0
42.0,24.0,-25.0,0.684,0
43.0,24.0,-26.3,0.702,0
44.0,24.0,-25.3,0.719,0
45.0,24.0,-23.5,0.734,0
46.0,24.0,-23.3,0.749,0
47.0,24.0,-23.0,0.764,0
48.0,24.0,-17.8,0.773,0
49.0,24.0,-11.5,0.775,0
50.0,24.0,-16.8,0.783,0
51.0,24.0,-13.3,0.788,0
52.0,24.0,-8.3,0.787,0
53.0,24.0,-10.5,0.789,0
54.0,24.0,-21.5,0.802,0
55.0,24.0,-11.5,0.805,0
56.0,24.0,-5.0,0.801,0
57.0,24.0,6.3,0.785,0
58.0,24.0,10.0,0.766,0
59.0,24.0,-12.5,0.77,0
60.0,24.0,-12.0,0.774,0
61.0,24.0,-5.0,0.77,0
62.0,24.0,-1.0,0.762,0
63.0,24.0,1.5,0.752,0
64.0,24.0,-16.5,0.761,0
65.0,24.0,-8.5,0.761,0
66.0,24.0,-0.5,0.753,0
67.0,24.0,-13.5,0.759,0
68.0,24.0,-13.5,0.765,0
69.0,24.0,-8.5,0.765,0
70.0,24.0,-16.5,0.775,0
71.0,24.0,-22.5,0.79,0
72.0,24.0,-18.0,0.801,0
73.0,24.0,-23.5,0.817,0
74.0,24.0,-24.8,0.835,0
75.0,24.0,-19.8,0.847,0
76.0,24.0,-16.5,0.856,0
77.0,24.0,-11.8,0.861,0
78.0,24.0,-1.8,0.855,0
79.0,24.0,-1.3,0.848,0
80.0,24.0,-9.0,0.849,0
81.0,24.0,-9.3,0.851,0
82.0,24.0,-20.5,0.865,0
83.0,24.0,-22.0,0.88,0
84.0,24.0,-15.5,0.888,0
85.0,24.0,-15.5,0.897,0
86.0,24.0,-13.5,0.903,0
87.0,24.0,-10.0,0.906,0
88.0,24.0,-17.0,0.916,0
89.0,24.0,-13.3,0.922,0
90.0,24.0,-3.5,0.918,0
91.0,24.0,5.3,0.905,0
92.0,24.0,3.3,0.894,0
93.0,24.0,1.3,0.886,0
94.0,24.0,2.5,0.876,0
95.0,24.0,-2.3,0.871,0
96.0,24.0,-4.5,0.868,0
97.0,24.0,-8.3,0.87,0
98.0,24.0,-4.5,0.867,0
99.0,24.0,-15.0,0.876,0
100.0,24.0,-11.5,0.881,0
101.0,24.0,-9.3,0.883,0
102.0,24.0,-6.5,0.883,0
103.0,24.0,-14.0,0.891,0
104.0,24.0,-12.0,0.896,0
105.0,24.0,-14.3,0.904,0
106.0,24.0,-13.5,0.911,0
107.0,24.0,-13.3,0.918,0
108.0,24.0,-14.8,0.926,0
109.0,24.0,-11.0,0.931,0
110.0,24.0,-4.5,0.929,0
111.0,24.0,-2.5,0.924,0
112.0,24.0,0.8,0.917,0
113.0,24.0,4.0,0.906,0
114.0,24.0,-4.0,0.904,0
115.0,24.0,-6.5,0.904,0
