day,dt,temp,chau_z,chau_h
0.20000000000000284,3.65,-5.0,0.14,0.0
1.0,20.35,-5.0,0.212,0.0
2.0,24.0,-8.3,0.315,0.0
2.700000000000003,17.77,-8.8,0.365,0.0
3.0,6.23,-8.8,0.386,0.0
4.0,24.0,-3.8,0.4,0.0
5.0,24.0,-5.5,0.434,0.0
6.0,24.0,-4.8,0.456,0.0
7.0,24.0,-7.3,0.502,0.0
8.0,24.0,-0.8,0.479,0.0
9.0,24.0,-1.0,0.46,0.0
10.0,24.0,-0.8,0.438,0.0
11.0,24.0,-7.5,0.491,0.0
12.0,24.0,-5.8,0.521,0.0
13.0,24.0,-5.5,0.546,0.0
14.0,24.0,-5.8,0.572,0.0
15.0,24.0,-0.8,0.551,0.0
16.0,24.0,-8.0,0.598,0.0
17.0,24.0,-11.0,0.664,0.0
18.0,24.0,-5.5,0.682,0.0
19.0,24.0,-5.8,0.7,0.0
20.0,24.0,-6.5,0.724,0.0
21.0,24.0,-5.8,0.741,0.0
22.0,24.0,-5.8,0.758,0.0
23.0,24.0,-5.8,0.775,0.0
24.0,24.0,-2.8,0.77,0.0
25.0,24.0,-3.5,0.77,0.0
26.0,24.0,-2.8,0.766,0.0
27.0,24.0,-8.3,0.8,0.0
28.0,24.0,-10.3,0.846,0.0
29.0,24.0,-7.8,0.873,0.0
30.0,24.0,-11.8,0.924,0.0
31.0,24.0,-10.5,0.964,0.0
32.0,24.0,-4.3,0.966,0.0
33.0,24.0,-12.5,1.016,0.0
34.0,24.0,-15.8,1.079,0.0
35.0,24.0,-6.5,1.092,0.0
36.0,24.0,0.0,1.071,0.0
37.0,24.0,-6.0,1.082,0.0
38.0,24.0,-5.3,1.089,0.0
38.8,18.02,-13.0,1.115,0.0
39.0,5.98,-13.0,1.123,0.0
40.0,24.0,-17.0,1.168,0.001
41.0,24.0,-15.5,1.205,0.002
42.0,24.0,-11.5,1.227,0.002
43.0,24.0,-7.8,1.237,0.003
44.0,24.0,-7.0,1.244,0.003
45.0,24.0,-2.8,1.238,0.003
46.0,24.0,-4.8,1.239,0.003
47.0,24.0,-16.0,1.274,0.004
48.0,24.0,-11.5,1.295,0.004
49.0,24.0,-6.3,1.3,0.005
50.0,24.0,-20.0,1.345,0.005
51.0,24.0,-17.5,1.381,0.006
52.0,24.0,-5.3,1.381,0.006
53.0,24.0,2.5,1.361,0.006
54.0,24.0,-9.0,1.373,0.007
55.0,24.0,-7.0,1.379,0.007
56.0,24.0,-7.0,1.385,0.007
57.0,24.0,-5.5,1.387,0.007
58.0,24.0,-6.0,1.391,0.008
59.0,24.0,-3.8,1.388,0.008
60.0,24.0,-2.8,1.383,0.008
61.0,24.0,-8.3,1.394,0.008
62.0,24.0,-9.8,1.408,0.008
63.0,24.0,-8.3,1.418,0.009
64.0,24.0,-20.0,1.459,0.009
65.0,24.0,-18.0,1.493,0.01
66.0,24.0,-12.0,1.512,0.01
67.0,24.0,-13.5,1.533,0.011
68.0,24.0,-9.5,1.545,0.011
69.0,24.0,-5.0,1.545,0.011
70.0,24.0,-2.0,1.539,0.011
71.0,24.0,-8.0,1.547,0.012
72.0,24.0,-20.8,1.585,0.012
73.0,24.0,-17.8,1.616,0.013
74.0,24.0,-8.5,1.624,0.013
75.0,24.0,-7.3,1.63,0.013
76.0,24.0,-21.3,1.667,0.014
77.0,24.0,-18.8,1.697,0.014
78.0,24.0,-6.3,1.7,0.015
79.0,24.0,-4.0,1.698,0.015
80.0,24.0,-5.8,1.7,0.015
81.0,24.0,-5.8,1.702,0.015
82.0,24.0,-4.8,1.703,0.015
83.0,24.0,-3.3,1.699,0.015
84.0,24.0,-1.3,1.692,0.015
85.0,24.0,-10.8,1.705,0.016
86.0,24.0,-12.3,1.722,0.016
87.0,24.0,-13.0,1.74,0.016
88.0,24.0,-12.5,1.756,0.017
89.0,24.0,-9.5,1.767,0.017
90.0,24.0,-9.3,1.776,0.017
91.0,24.0,-6.3,1.78,0.017
92.0,24.0,0.3,1.77,0.017
93.0,24.0,2.5,1.755,0.017
94.0,24.0,-11.5,1.77,0.017
95.0,24.0,-20.0,1.802,0.018
96.0,24.0,-21.0,1.835,0.018
97.0,24.0,-13.5,1.853,0.019
98.0,24.0,-0.5,1.845,0.019
99.0,24.0,-1.5,1.839,0.019
100.0,24.0,-2.0,1.834,0.019
101.0,24.0,-2.0,1.83,0.019
102.0,24.0,-1.5,1.824,0.019
103.0,24.0,-5.5,1.826,0.019
104.0,24.0,-5.3,1.829,0.019
105.0,24.0,-1.0,1.822,0.019
106.0,24.0,-2.5,1.819,0.019
107.0,24.0,-1.8,1.814,0.019
108.0,24.0,0.5,1.805,0.019
109.0,24.0,3.8,1.789,0.019
110.0,24.0,2.8,1.776,0.019
111.0,24.0,1.3,1.765,0.019
112.0,24.0,-0.8,1.759,0.019
113.0,24.0,-1.5,1.754,0.019
114.0,24.0,-2.0,1.751,0.019
115.0,24.0,-4.3,1.752,0.019
116.0,24.0,-5.8,1.757,0.02
117.0,24.0,-4.8,1.759,0.02
118.0,24.0,3.0,1.745,0.02
119.0,24.0,-2.8,1.744,0.02
120.0,24.0,-15.5,1.769,0.02
121.0,24.0,-16.5,1.795,0.021
122.0,24.0,-12.8,1.814,0.021
123.0,24.0,-6.8,1.82,0.021
124.0,24.0,-4.0,1.821,0.021
125.0,24.0,-10.5,1.835,0.021
126.0,24.0,-9.5,1.847,0.022
127.0,24.0,-6.3,1.853,0.022
128.0,24.0,-3.8,1.853,0.022
129.0,24.0,-5.0,1.856,0.022
130.0,24.0,-8.3,1.865,0.022
131.0,24.0,-7.0,1.872,0.022
132.0,24.0,-7.8,1.881,0.022
133.0,24.0,-5.5,1.885,0.023
134.0,24.0,-5.0,1.888,0.023
