day,date,temps,S_vals
1,1997-11-12,-5.0,1.0
2,1997-11-13,-8.3,1.0
3,1997-11-14,-8.8,1.0
4,1997-11-15,-3.8,1.0
5,1997-11-16,-5.5,1.0
6,1997-11-17,-4.8,1.0
7,1997-11-18,-7.3,1.0
8,1997-11-19,-0.8,1.0
9,1997-11-20,-1.0,1.0
10,1997-11-21,-0.8,1.0
11,1997-11-22,-7.5,1.0
12,1997-11-23,-5.8,1.0
13,1997-11-24,-5.5,1.0
14,1997-11-25,-5.8,1.0
15,1997-11-26,-0.8,1.0
16,1997-11-27,-8.0,1.0
17,1997-11-28,-11.0,1.0
18,1997-11-29,-5.5,1.0
19,1997-11-30,-5.8,1.0
20,1997-12-01,-6.5,0.94
21,1997-12-02,-5.8,0.94
22,1997-12-03,-5.8,0.94
23,1997-12-04,-5.8,0.94
24,1997-12-05,-2.8,0.94
25,1997-12-06,-3.5,0.94
26,1997-12-07,-2.8,0.94
27,1997-12-08,-8.3,0.94
28,1997-12-09,-10.3,0.94
29,1997-12-10,-7.8,0.94
30,1997-12-11,-11.8,0.94
31,1997-12-12,-10.5,0.94
32,1997-12-13,-4.3,0.94
33,1997-12-14,-12.5,0.94
34,1997-12-15,-15.8,0.94
35,1997-12-16,-6.5,0.94
36,1997-12-17,0.0,0.94
37,1997-12-18,-6.0,0.94
38,1997-12-19,-5.3,0.94
39,1997-12-20,-13.0,0.94
40,1997-12-21,-17.0,0.94
41,1997-12-22,-15.5,0.94
42,1997-12-23,-11.5,0.94
43,1997-12-24,-7.8,0.94
44,1997-12-25,-7.0,0.94
45,1997-12-26,-2.8,0.94
46,1997-12-27,-4.8,0.94
47,1997-12-28,-16.0,0.94
48,1997-12-29,-11.5,0.94
49,1997-12-30,-6.3,0.94
50,1997-12-31,-20.0,0.94
51,1998-01-01,-17.5,0.88
52,1998-01-02,-5.3,0.88
53,1998-01-03,2.5,0.88
54,1998-01-04,-9.0,0.88
55,1998-01-05,-7.0,0.88
56,1998-01-06,-7.0,0.88
57,1998-01-07,-5.5,0.88
58,1998-01-08,-6.0,0.88
59,1998-01-09,-3.8,0.88
60,1998-01-10,-2.8,0.88
61,1998-01-11,-8.3,0.88
62,1998-01-12,-9.8,0.88
63,1998-01-13,-8.3,0.88
64,1998-01-14,-20.0,0.88
65,1998-01-15,-18.0,0.88
66,1998-01-16,-12.0,0.88
67,1998-01-17,-13.5,0.88
68,1998-01-18,-9.5,0.88
69,1998-01-19,-5.0,0.88
70,1998-01-20,-2.0,0.88
71,1998-01-21,-8.0,0.88
72,1998-01-22,-20.8,0.88
73,1998-01-23,-17.8,0.88
74,1998-01-24,-8.5,0.88
75,1998-01-25,-7.3,0.88
76,1998-01-26,-21.3,0.88
77,1998-01-27,-18.8,0.88
78,1998-01-28,-6.3,0.88
79,1998-01-29,-4.0,0.88
80,1998-01-30,-5.8,0.88
81,1998-01-31,-5.8,0.88
82,1998-02-01,-4.8,0.82
83,1998-02-02,-3.3,0.82
84,1998-02-03,-1.3,0.82
85,1998-02-04,-10.8,0.82
86,1998-02-05,-12.3,0.82
87,1998-02-06,-13.0,0.82
88,1998-02-07,-12.5,0.82
89,1998-02-08,-9.5,0.82
90,1998-02-09,-9.3,0.82
91,1998-02-10,-6.3,0.82
92,1998-02-11,0.3,0.82
93,1998-02-12,2.5,0.82
94,1998-02-13,-11.5,0.82
95,1998-02-14,-20.0,0.82
96,1998-02-15,-21.0,0.82
97,1998-02-16,-13.5,0.82
98,1998-02-17,-0.5,0.82
99,1998-02-18,-1.5,0.82
100,1998-02-19,-2.0,0.82
101,1998-02-20,-2.0,0.82
102,1998-02-21,-1.5,0.82
103,1998-02-22,-5.5,0.82
104,1998-02-23,-5.3,0.82
105,1998-02-24,-1.0,0.82
106,1998-02-25,-2.5,0.82
107,1998-02-26,-1.8,0.82
108,1998-02-27,0.5,0.82
109,1998-02-28,3.8,0.82
110,1998-03-01,2.8,0.76
111,1998-03-02,1.3,0.76
112,1998-03-03,-0.8,0.76
113,1998-03-04,-1.5,0.76
114,1998-03-05,-2.0,0.76
115,1998-03-06,-4.3,0.76
116,1998-03-07,-5.8,0.76
117,1998-03-08,-4.8,0.76
118,1998-03-09,3.0,0.76
119,1998-03-10,-2.8,0.76
120,1998-03-11,-15.5,0.76
121,1998-03-12,-16.5,0.76
122,1998-03-13,-12.8,0.76
123,1998-03-14,-6.8,0.76
124,1998-03-15,-4.0,0.76
125,1998-03-16,-10.5,0.76
126,1998-03-17,-9.5,0.76
127,1998-03-18,-6.3,0.76
128,1998-03-19,-3.8,0.76
129,1998-03-20,-5.0,0.76
130,1998-03-21,-8.3,0.76
131,1998-03-22,-7.0,0.76
132,1998-03-23,-7.8,0.76
133,1998-03-24,-5.5,0.76
134,1998-03-25,-5.0,0.76
