day,dt,temp,site_z,site_h
0.20000000000000284,3.65,-5.0,,
1.0,20.35,-5.0,,
2.0,24.0,-8.3,,
2.700000000000003,17.77,-8.8,,
3.0,6.23,-8.8,,
4.0,24.0,-3.8,,
5.0,24.0,-5.5,,
6.0,24.0,-4.8,,
7.0,24.0,-7.3,,
8.0,24.0,-0.8,0.0,
9.0,24.0,-1.0,,
10.0,24.0,-0.8,,
11.0,24.0,-7.5,,
12.0,24.0,-5.8,,
13.0,24.0,-5.5,,
14.0,24.0,-5.8,,
15.0,24.0,-0.8,,
16.0,24.0,-8.0,0.0,
17.0,24.0,-11.0,,
18.0,24.0,-5.5,,
19.0,24.0,-5.8,,
20.0,24.0,-6.5,,
21.0,24.0,-5.8,0.505,
22.0,24.0,-5.8,,
23.0,24.0,-5.8,,
24.0,24.0,-2.8,,
25.0,24.0,-3.5,,
26.0,24.0,-2.8,,
27.0,24.0,-8.3,0.53,
28.0,24.0,-10.3,,
29.0,24.0,-7.8,,
30.0,24.0,-11.8,,
31.0,24.0,-10.5,,
32.0,24.0,-4.3,,
33.0,24.0,-12.5,,
34.0,24.0,-15.8,0.693,
35.0,24.0,-6.5,,
36.0,24.0,0.0,,
37.0,24.0,-6.0,,
38.0,24.0,-5.3,,
38.8,18.02,-13.0,,
39.0,5.98,-13.0,,
40.0,24.0,-17.0,0.855,
41.0,24.0,-15.5,,
42.0,24.0,-11.5,,
43.0,24.0,-7.8,,
44.0,24.0,-7.0,,
45.0,24.0,-2.8,,
46.0,24.0,-4.8,,
47.0,24.0,-16.0,,
48.0,24.0,-11.5,,
49.0,24.0,-6.3,,
50.0,24.0,-20.0,,
51.0,24.0,-17.5,,
52.0,24.0,-5.3,,
53.0,24.0,2.5,,
54.0,24.0,-9.0,,
55.0,24.0,-7.0,,
56.0,24.0,-7.0,,
57.0,24.0,-5.5,,
58.0,24.0,-6.0,,
59.0,24.0,-3.8,,
60.0,24.0,-2.8,,
61.0,24.0,-8.3,,
62.0,24.0,-9.8,,
63.0,24.0,-8.3,1.27,
64.0,24.0,-20.0,,
65.0,24.0,-18.0,,
66.0,24.0,-12.0,,
67.0,24.0,-13.5,,
68.0,24.0,-9.5,1.483,
69.0,24.0,-5.0,,
70.0,24.0,-2.0,,
71.0,24.0,-8.0,,
72.0,24.0,-20.8,,
73.0,24.0,-17.8,,
74.0,24.0,-8.5,,
75.0,24.0,-7.3,,
76.0,24.0,-21.3,1.622,
77.0,24.0,-18.8,,
78.0,24.0,-6.3,,
79.0,24.0,-4.0,,
80.0,24.0,-5.8,,
81.0,24.0,-5.8,,
82.0,24.0,-4.8,,
83.0,24.0,-3.3,,
84.0,24.0,-1.3,,
85.0,24.0,-10.8,,
86.0,24.0,-12.3,1.759,
87.0,24.0,-13.0,,
88.0,24.0,-12.5,,
89.0,24.0,-9.5,,
90.0,24.0,-9.3,,
91.0,24.0,-6.3,,
92.0,24.0,0.3,,
93.0,24.0,2.5,1.806,
94.0,24.0,-11.5,,
95.0,24.0,-20.0,,
96.0,24.0,-21.0,,
97.0,24.0,-13.5,1.827,
98.0,24.0,-0.5,,
99.0,24.0,-1.5,,
100.0,24.0,-2.0,,
101.0,24.0,-2.0,,
102.0,24.0,-1.5,1.854,
103.0,24.0,-5.5,,
104.0,24.0,-5.3,,
105.0,24.0,-1.0,,
106.0,24.0,-2.5,,
107.0,24.0,-1.8,,
108.0,24.0,0.5,,
109.0,24.0,3.8,,
110.0,24.0,2.8,1.888,
111.0,24.0,1.3,,
112.0,24.0,-0.8,,
113.0,24.0,-1.5,,
114.0,24.0,-2.0,,
115.0,24.0,-4.3,,
116.0,24.0,-5.8,,
117.0,24.0,-4.8,,
118.0,24.0,3.0,,
119.0,24.0,-2.8,1.933,
120.0,24.0,-15.5,,
121.0,24.0,-16.5,,
122.0,24.0,-12.8,,
123.0,24.0,-6.8,,
124.0,24.0,-4.0,,
125.0,24.0,-10.5,1.916,
126.0,24.0,-9.5,,
127.0,24.0,-6.3,,
128.0,24.0,-3.8,,
129.0,24.0,-5.0,,
130.0,24.0,-8.3,,
131.0,24.0,-7.0,,
132.0,24.0,-7.8,1.88,
133.0,24.0,-5.5,,
134.0,24.0,-5.0,,
