day,dt,temp,chau_z,chau_h
0.20000000000000284,3.93,-4.5,0.15,0.0
1.0,20.07,-4.5,0.26,0.0
2.0,24.0,-8.5,0.412,0.0
3.0,24.0,-9.3,0.527,0.0
4.0,24.0,-7.5,0.6,0.0
5.0,24.0,-9.5,0.684,0.0
6.0,24.0,-8.5,0.748,0.0
7.0,24.0,-11.8,0.832,0.0
7.300000000000001,6.47,-16.0,0.85,0.0
8.0,17.53,-16.0,0.869,0.0
9.0,24.0,-4.8,0.851,0.0
10.0,24.0,-9.5,0.853,0.0
11.0,24.0,-11.0,0.86,0.0
12.0,24.0,-6.3,0.85,0.0
13.0,24.0,-9.0,0.85,0.0
14.0,24.0,-5.8,0.85,0.0
15.0,24.0,-8.0,0.85,0.0
16.0,24.0,-19.5,0.893,0.0
16.2,4.12,-17.0,0.9,0.0
17.0,19.88,-17.0,0.903,0.0
18.0,24.0,-12.8,0.903,0.0
19.0,24.0,-16.5,0.906,0.0
20.0,24.0,-18.3,0.911,0.001
21.0,24.0,-17.5,0.916,0.001
22.0,24.0,-18.8,0.921,0.001
23.0,24.0,-9.5,0.919,0.001
24.0,24.0,-7.3,0.914,0.001
25.0,24.0,-10.0,0.912,0.001
26.0,24.0,-12.5,0.912,0.001
27.0,24.0,-16.8,0.917,0.002
28.0,24.0,-11.0,0.916,0.002
29.0,24.0,-6.0,0.91,0.002
30.0,24.0,-1.0,0.9,0.002
30.1,1.44,-2.5,0.9,0.002
31.0,22.56,-2.5,0.883,0.002
32.0,24.0,-7.0,0.882,0.002
33.0,24.0,-7.8,0.884,0.002
34.0,24.0,-8.3,0.889,0.002
35.0,24.0,-7.0,0.889,0.002
36.0,24.0,-6.0,0.885,0.002
37.0,24.0,-10.5,0.899,0.002
37.0,0.6,-12.3,0.9,0.002
38.0,23.4,-12.3,0.901,0.002
39.0,23.11,-9.3,0.9,0.002
39.0,0.89,-9.3,0.9,0.002
40.0,24.0,-19.0,0.908,0.002
41.0,24.0,-22.0,0.918,0.002
42.0,24.0,-25.0,0.932,0.003
43.0,24.0,-26.3,0.946,0.003
44.0,24.0,-25.3,0.96,0.003
45.0,24.0,-23.5,0.972,0.003
46.0,24.0,-23.3,0.984,0.004
47.0,24.0,-23.0,0.996,0.004
48.0,24.0,-17.8,1.003,0.004
49.0,24.0,-11.5,1.004,0.004
50.0,24.0,-16.8,1.01,0.004
51.0,24.0,-13.3,1.013,0.004
52.0,24.0,-8.3,1.011,0.004
53.0,24.0,-10.5,1.012,0.004
54.0,24.0,-21.5,1.022,0.005
55.0,24.0,-11.5,1.024,0.005
56.0,24.0,-5.0,1.02,0.005
57.0,24.0,6.3,1.005,0.005
58.0,24.0,10.0,0.987,0.005
59.0,24.0,-12.5,0.99,0.005
60.0,24.0,-12.0,0.992,0.005
61.0,24.0,-5.0,0.988,0.005
62.0,24.0,-1.0,0.981,0.005
63.0,24.0,1.5,0.971,0.005
64.0,24.0,-16.5,0.978,0.005
65.0,24.0,-8.5,0.977,0.005
66.0,24.0,-0.5,0.969,0.005
67.0,24.0,-13.5,0.974,0.005
68.0,24.0,-13.5,0.978,0.005
69.0,24.0,-8.5,0.978,0.006
70.0,24.0,-16.5,0.985,0.006
71.0,24.0,-22.5,0.997,0.006
72.0,24.0,-18.0,1.006,0.006
73.0,24.0,-23.5,1.02,0.006
74.0,24.0,-24.8,1.034,0.007
75.0,24.0,-19.8,1.044,0.007
76.0,24.0,-16.5,1.052,0.007
77.0,24.0,-11.8,1.055,0.007
78.0,24.0,-1.8,1.048,0.007
79.0,24.0,-1.3,1.042,0.007
80.0,24.0,-9.0,1.043,0.007
81.0,24.0,-9.3,1.043,0.007
82.0,24.0,-20.5,1.055,0.007
83.0,24.0,-22.0,1.067,0.008
84.0,24.0,-15.5,1.074,0.008
85.0,24.0,-15.5,1.08,0.008
86.0,24.0,-13.5,1.085,0.008
87.0,24.0,-10.0,1.087,0.008
88.0,24.0,-17.0,1.095,0.008
89.0,24.0,-13.3,1.1,0.008
90.0,24.0,-3.5,1.096,0.008
91.0,24.0,5.3,1.084,0.008
92.0,24.0,3.3,1.074,0.008
93.0,24.0,1.3,1.066,0.008
94.0,24.0,2.5,1.056,0.008
95.0,24.0,-2.3,1.051,0.008
96.0,24.0,-4.5,1.049,0.008
97.0,24.0,-8.3,1.049,0.008
98.0,24.0,-4.5,1.046,0.009
99.0,24.0,-15.0,1.053,0.009
100.0,24.0,-11.5,1.057,0.009
101.0,24.0,-9.3,1.058,0.009
102.0,24.0,-6.5,1.058,0.009
103.0,24.0,-14.0,1.064,0.009
104.0,24.0,-12.0,1.068,0.009
105.0,24.0,-14.3,1.074,0.009
106.0,24.0,-13.5,1.08,0.009
107.0,24.0,-13.3,1.085,0.01
108.0,24.0,-14.8,1.092,0.01
109.0,24.0,-11.0,1.095,0.01
110.0,24.0,-4.5,1.093,0.01
111.0,24.0,-2.5,1.089,0.01
112.0,24.0,0.8,1.082,0.01
113.0,24.0,4.0,1.072,0.01
114.0,24.0,-4.0,1.069,0.01
115.0,24.0,-6.5,1.069,0.01
116.0,24.0,-5.0,1.067,0.01
117.0,24.0,-1.5,1.062,0.01
118.0,24.0,0.8,1.055,0.01
119.0,24.0,-0.8,1.05,0.01
120.0,24.0,0.3,1.043,0.01
121.0,24.0,1.5,1.036,0.01
122.0,24.0,-4.3,1.034,0.01
123.0,24.0,-5.5,1.033,0.01
124.0,24.0,3.8,1.023,0.01
125.0,24.0,0.3,1.017,0.01
126.0,24.0,-11.5,1.022,0.01
127.0,24.0,-8.5,1.024,0.01
128.0,24.0,-5.8,1.023,0.01
129.0,24.0,-4.3,1.021,0.01
130.0,24.0,-3.0,1.018,0.01
131.0,24.0,2.0,1.01,0.01
132.0,24.0,-1.5,1.006,0.01
133.0,24.0,-5.0,1.004,0.01
134.0,24.0,-5.0,1.003,0.01
135.0,24.0,-3.3,1.001,0.01
136.0,24.0,-2.7,0.997,0.01
137.0,24.0,-2.5,0.994,0.01
138.0,24.0,-2.3,0.99,0.01
139.0,24.0,-2.1,0.987,0.011
140.0,24.0,-1.8,0.983,0.011
141.0,24.0,-1.6,0.979,0.011
142.0,24.0,-1.4,0.974,0.011
