day,date,temps,S_vals
1,1995-11-23,-4.5,1.0
2,1995-11-24,-8.5,1.0
3,1995-11-25,-9.3,1.0
4,1995-11-26,-7.5,1.0
5,1995-11-27,-9.5,1.0
6,1995-11-28,-8.5,1.0
7,1995-11-29,-11.8,1.0
8,1995-11-30,-16.0,1.0
9,1995-12-01,-4.8,0.94
10,1995-12-02,-9.5,0.94
11,1995-12-03,-11.0,0.94
12,1995-12-04,-6.3,0.94
13,1995-12-05,-9.0,0.94
14,1995-12-06,-5.8,0.94
15,1995-12-07,-8.0,0.94
16,1995-12-08,-19.5,0.94
17,1995-12-09,-17.0,0.94
18,1995-12-10,-12.8,0.94
19,1995-12-11,-16.5,0.94
20,1995-12-12,-18.3,0.94
21,1995-12-13,-17.5,0.94
22,1995-12-14,-18.8,0.94
23,1995-12-15,-9.5,0.94
24,1995-12-16,-7.3,0.94
25,1995-12-17,-10.0,0.94
26,1995-12-18,-12.5,0.94
27,1995-12-19,-16.8,0.94
28,1995-12-20,-11.0,0.94
29,1995-12-21,-6.0,0.94
30,1995-12-22,-1.0,0.94
31,1995-12-23,-2.5,0.94
32,1995-12-24,-7.0,0.94
33,1995-12-25,-7.8,0.94
34,1995-12-26,-8.3,0.94
35,1995-12-27,-7.0,0.94
36,1995-12-28,-6.0,0.94
37,1995-12-29,-10.5,0.94
38,1995-12-30,-12.3,0.94
39,1995-12-31,-9.3,0.94
40,1996-01-01,-19.0,0.88
41,1996-01-02,-22.0,0.88
42,1996-01-03,-25.0,0.88
43,1996-01-04,-26.3,0.88
44,1996-01-05,-25.3,0.88
45,1996-01-06,-23.5,0.88
46,1996-01-07,-23.3,0.88
47,1996-01-08,-23.0,0.88
48,1996-01-09,-17.8,0.88
49,1996-01-10,-11.5,0.88
50,1996-01-11,-16.8,0.88
51,1996-01-12,-13.3,0.88
52,1996-01-13,-8.3,0.88
53,1996-01-14,-10.5,0.88
54,1996-01-15,-21.5,0.88
55,1996-01-16,-11.5,0.88
56,1996-01-17,-5.0,0.88
57,1996-01-18,6.3,0.88
58,1996-01-19,10.0,0.88
59,1996-01-20,-12.5,0.88
60,1996-01-21,-12.0,0.88
61,1996-01-22,-5.0,0.88
62,1996-01-23,-1.0,0.88
63,1996-01-24,1.5,0.88
64,1996-01-25,-16.5,0.88
65,1996-01-26,-8.5,0.88
66,1996-01-27,-0.5,0.88
67,1996-01-28,-13.5,0.88
68,1996-01-29,-13.5,0.88
69,1996-01-30,-8.5,0.88
70,1996-01-31,-16.5,0.88
71,1996-02-01,-22.5,0.82
72,1996-02-02,-18.0,0.82
73,1996-02-03,-23.5,0.82
74,1996-02-04,-24.8,0.82
75,1996-02-05,-19.8,0.82
76,1996-02-06,-16.5,0.82
77,1996-02-07,-11.8,0.82
78,1996-02-08,-1.8,0.82
79,1996-02-09,-1.3,0.82
80,1996-02-10,-9.0,0.82
81,1996-02-11,-9.3,0.82
82,1996-02-12,-20.5,0.82
83,1996-02-13,-22.0,0.82
84,1996-02-14,-15.5,0.82
85,1996-02-15,-15.5,0.82
86,1996-02-16,-13.5,0.82
87,1996-02-17,-10.0,0.82
88,1996-02-18,-17.0,0.82
89,1996-02-19,-13.3,0.82
90,1996-02-20,-3.5,0.82
91,1996-02-21,5.3,0.82
92,1996-02-22,3.3,0.82
93,1996-02-23,1.3,0.82
94,1996-02-24,2.5,0.82
95,1996-02-25,-2.3,0.82
96,1996-02-26,-4.5,0.82
97,1996-02-27,-8.3,0.82
98,1996-02-28,-4.5,0.82
99,1996-02-29,-15.0,0.82
100,1996-03-01,-11.5,0.76
101,1996-03-02,-9.3,0.76
102,1996-03-03,-6.5,0.76
103,1996-03-04,-14.0,0.76
104,1996-03-05,-12.0,0.76
105,1996-03-06,-14.3,0.76
106,1996-03-07,-13.5,0.76
107,1996-03-08,-13.3,0.76
108,1996-03-09,-14.8,0.76
109,1996-03-10,-11.0,0.76
110,1996-03-11,-4.5,0.76
111,1996-03-12,-2.5,0.76
112,1996-03-13,0.8,0.76
113,1996-03-14,4.0,0.76
114,1996-03-15,-4.0,0.76
115,1996-03-16,-6.5,0.76
116,1996-03-17,-5.0,0.76
117,1996-03-18,-1.5,0.76
118,1996-03-19,0.8,0.76
119,1996-03-20,-0.8,0.76
120,1996-03-21,0.3,0.76
121,1996-03-22,1.5,0.76
122,1996-03-23,-4.3,0.76
123,1996-03-24,-5.5,0.76
124,1996-03-25,3.8,0.76
125,1996-03-26,0.3,0.76
126,1996-03-27,-11.5,0.76
127,1996-03-28,-8.5,0.76
128,1996-03-29,-5.8,0.76
129,1996-03-30,-4.3,0.76
130,1996-03-31,-3.0,0.76
131,1996-04-01,2.0,0.7
132,1996-04-02,-1.5,0.7
133,1996-04-03,-5.0,0.7
134,1996-04-04,-5.0,0.7
135,1996-04-05,-3.3,0.7
136,1996-04-06,-2.7,0.7
137,1996-04-07,-2.5,0.7
138,1996-04-08,-2.3,0.7
139,1996-04-09,-2.1,0.7
140,1996-04-10,-1.8,0.7
141,1996-04-11,-1.6,0.7
142,1996-04-12,-1.4,0.7
