day,dt,temp,chau_z,chau_h
0.20000000000000284,4.41,-4.5,0.15,0.0
1.0,19.59,-4.5,0.239,0.0
2.0,24.0,-8.5,0.377,0.0
3.0,24.0,-9.3,0.476,0.0
4.0,24.0,-7.5,0.532,0.0
5.0,24.0,-9.5,0.6,0.0
5.0,0.15,-8.5,0.6,0.0
6.0,23.85,-8.5,0.62,0.0
7.0,24.0,-11.8,0.654,0.0
8.0,24.0,-16.0,0.703,0.0
9.0,24.0,-4.8,0.706,0.0
10.0,24.0,-9.5,0.728,0.0
11.0,24.0,-11.0,0.756,0.0
12.0,24.0,-6.3,0.765,0.0
13.0,24.0,-9.0,0.784,0.0
14.0,24.0,-5.8,0.79,0.0
14.7,17.09,-8.0,0.8,0.0
15.0,6.91,-8.0,0.804,0.0
16.0,24.0,-19.5,0.861,0.0
17.0,24.0,-17.0,0.906,0.0
18.0,24.0,-12.8,0.936,0.0
19.0,24.0,-16.5,0.977,0.0
20.0,24.0,-18.3,1.023,0.0
20.8,20.35,-17.5,1.05,0.0
21.0,3.65,-17.5,1.055,0.0
22.0,24.0,-18.8,1.094,0.002
23.0,24.0,-9.5,1.106,0.003
24.0,24.0,-7.3,1.111,0.004
25.0,24.0,-10.0,1.124,0.005
26.0,24.0,-12.5,1.143,0.006
27.0,24.0,-16.8,1.173,0.007
28.0,24.0,-11.0,1.187,0.008
29.0,24.0,-6.0,1.189,0.009
30.0,24.0,-1.0,1.178,0.009
31.0,24.0,-2.5,1.171,0.009
32.0,24.0,-7.0,1.175,0.01
33.0,24.0,-7.8,1.182,0.011
34.0,24.0,-8.3,1.19,0.011
35.0,24.0,-7.0,1.195,0.012
36.0,24.0,-6.0,1.198,0.012
37.0,24.0,-10.5,1.211,0.013
38.0,24.0,-12.3,1.229,0.014
39.0,24.0,-9.3,1.24,0.015
40.0,24.0,-19.0,1.273,0.017
41.0,24.0,-22.0,1.313,0.018
42.0,24.0,-25.0,1.357,0.02
43.0,24.0,-26.3,1.402,0.022
44.0,24.0,-25.3,1.444,0.024
45.0,24.0,-23.5,1.48,0.025
46.0,24.0,-23.3,1.515,0.027
47.0,24.0,-23.0,1.549,0.028
48.0,24.0,-17.8,1.572,0.029
49.0,24.0,-11.5,1.582,0.03
50.0,24.0,-16.8,1.602,0.031
51.0,24.0,-13.3,1.616,0.032
52.0,24.0,-8.3,1.62,0.032
53.0,24.0,-10.5,1.629,0.033
54.0,24.0,-21.5,1.657,0.034
55.0,24.0,-11.5,1.668,0.035
56.0,24.0,-5.0,1.666,0.035
57.0,24.0,6.3,1.645,0.035
58.0,24.0,10.0,1.616,0.034
59.0,24.0,-12.5,1.629,0.035
