day,dt,temp,chau_z,chau_h
0.20000000000000284,4.41,-4.5,0.15,0.0
1.0,19.59,-4.5,0.239,0.0
2.0,24.0,-8.5,0.377,0.0
3.0,24.0,-9.3,0.476,0.0
4.0,24.0,-7.5,0.532,0.0
5.0,24.0,-9.5,0.6,0.0
5.0,0.15,-8.5,0.6,0.0
6.0,23.85,-8.5,0.62,0.0
7.0,24.0,-11.8,0.654,0.0
8.0,24.0,-16.0,0.703,0.0
9.0,24.0,-4.8,0.706,0.0
10.0,24.0,-9.5,0.728,0.0
11.0,24.0,-11.0,0.756,0.0
12.0,24.0,-6.3,0.764,0.0
13.0,24.0,-9.0,0.783,0.0
14.0,24.0,-5.8,0.79,0.0
14.7,17.85,-8.0,0.8,0.0
15.0,6.15,-8.0,0.803,0.0
16.0,24.0,-19.5,0.853,0.002
17.0,24.0,-17.0,0.891,0.004
18.0,24.0,-12.8,0.914,0.006
19.0,24.0,-16.5,0.948,0.007
20.0,24.0,-18.3,0.985,0.009
21.0,24.0,-17.5,1.019,0.011
22.0,24.0,-18.8,1.054,0.012
23.0,24.0,-9.5,1.064,0.013
24.0,24.0,-7.3,1.069,0.014
25.0,24.0,-10.0,1.08,0.015
26.0,24.0,-12.5,1.098,0.016
27.0,24.0,-16.8,1.126,0.017
28.0,24.0,-11.0,1.139,0.018
29.0,24.0,-6.0,1.14,0.018
30.0,24.0,-1.0,1.128,0.018
31.0,24.0,-2.5,1.121,0.019
32.0,24.0,-7.0,1.125,0.019
33.0,24.0,-7.8,1.131,0.02
34.0,24.0,-8.3,1.138,0.02
35.0,24.0,-7.0,1.142,0.021
36.0,24.0,-6.0,1.144,0.021
37.0,24.0,-10.5,1.157,0.022
38.0,24.0,-12.3,1.174,0.023
39.0,24.0,-9.3,1.183,0.024
40.0,24.0,-19.0,1.215,0.025
41.0,24.0,-22.0,1.253,0.027
42.0,24.0,-25.0,1.296,0.029
43.0,24.0,-26.3,1.34,0.03
44.0,24.0,-25.3,1.38,0.032
45.0,24.0,-23.5,1.415,0.033
46.0,24.0,-23.3,1.449,0.035
47.0,24.0,-23.0,1.482,0.036
48.0,24.0,-17.8,1.504,0.037
49.0,24.0,-11.5,1.514,0.038
50.0,24.0,-16.8,1.534,0.039
51.0,24.0,-13.3,1.547,0.039
52.0,24.0,-8.3,1.551,0.04
53.0,24.0,-10.5,1.56,0.04
54.0,24.0,-21.5,1.587,0.041
55.0,24.0,-11.5,1.597,0.042
56.0,24.0,-5.0,1.595,0.042
57.0,24.0,6.3,1.574,0.042
58.0,24.0,10.0,1.546,0.041
59.0,24.0,-12.5,1.558,0.042
60.0,24.0,-12.0,1.57,0.043
