day,dt,temp,chau_z,chau_h
0.09999999999999432,3.36,-2.0,0.1,0.0
1.0,20.64,-2.0,0.147,0.0
2.0,24.0,-4.8,0.247,0.0
3.0,24.0,1.8,0.193,0.0
4.0,24.0,2.5,0.102,0.0
4.100000000000001,1.21,0.8,0.1,0.0
4.200000000000003,4.55,0.8,0.0,0.0
5.0,18.24,0.8,0.0,0.0
6.0,24.0,3.5,0.0,0.0
7.0,24.0,0.3,0.0,0.0
7.100000000000001,2.09,-3.8,0.1,0.0
8.0,21.91,-3.8,0.195,0.0
9.0,24.0,-4.5,0.275,0.0
10.0,24.0,-3.0,0.313,0.0
11.0,24.0,0.5,0.292,0.0
12.0,24.0,0.3,0.275,0.0
13.0,24.0,2.5,0.214,0.0
14.0,24.0,-4.0,0.281,0.0
15.0,24.0,-4.3,0.339,0.0
16.0,24.0,0.8,0.315,0.0
17.0,24.0,-4.5,0.371,0.0
17.6,14.57,-6.8,0.41,0.0
18.0,9.43,-6.8,0.415,0.0
19.0,24.0,-1.3,0.41,0.0
20.0,24.0,-4.5,0.41,0.0
21.0,24.0,1.8,0.41,0.0
22.0,24.0,-2.0,0.41,0.0
23.0,24.0,-2.3,0.41,0.0
24.0,24.0,0.0,0.4,0.0
24.4,9.57,-2.8,0.41,0.0
25.0,14.43,-2.8,0.41,0.0
26.0,24.0,-2.0,0.41,0.0
27.0,24.0,-0.5,0.41,0.0
28.0,24.0,-3.3,0.41,0.0
29.0,24.0,-0.8,0.41,0.0
30.0,24.0,-10.5,0.41,0.0
30.4,10.49,-10.0,0.448,0.0
31.0,13.51,-10.0,0.463,0.0
32.0,24.0,-11.3,0.507,0.0
33.0,24.0,-7.3,0.5,0.0
34.0,24.0,-5.8,0.476,0.0
34.2,5.15,2.8,0.448,0.0
34.5,5.94,2.8,0.41,0.0
35.0,12.9,2.8,0.386,0.0
36.0,24.0,-2.5,0.41,0.0
36.5,10.83,-8.8,0.448,0.0
37.0,13.17,-8.8,0.458,0.0
38.0,24.0,-8.8,0.478,0.0
39.0,24.0,-3.3,0.448,0.0
40.0,24.0,0.8,0.412,0.0
40.0,0.36,1.0,0.41,0.0
41.0,23.64,1.0,0.39,0.0
42.0,24.0,-0.8,0.393,0.0
42.6,13.92,-3.0,0.41,0.0
43.0,10.08,-3.0,0.41,0.0
44.0,24.0,-3.5,0.41,0.0
45.0,24.0,-5.5,0.428,0.0
45.3,7.3,-10.5,0.448,0.0
46.0,16.7,-10.5,0.483,0.0
47.0,24.0,-2.5,0.448,0.0
48.0,24.0,-1.5,0.433,0.0
49.0,24.0,-4.8,0.444,0.0
49.1,1.65,-9.8,0.448,0.0
50.0,22.35,-9.8,0.489,0.0
51.0,24.0,-5.5,0.479,0.0
51.8,18.31,-1.8,0.448,0.0
52.0,5.69,-1.8,0.445,0.0
52.1,1.3,-8.8,0.448,0.0
53.0,22.7,-8.8,0.48,0.0
54.0,24.0,-10.5,0.535,0.0
55.0,24.0,-7.8,0.548,0.0
56.0,24.0,-7.0,0.548,0.0
56.3,7.83,-4.5,0.548,0.0
57.0,16.17,-4.5,0.534,0.0
58.0,24.0,-1.3,0.476,0.0
59.0,24.0,-5.0,0.466,0.0
