day,dt,temp,site_z,site_h
0.3999999999999986,9.21,-1.8,,
1.0,14.79,-1.8,,
2.0,24.0,-4.3,,
3.0,24.0,-6.3,0.0,0.0
4.0,24.0,-3.3,,
5.0,24.0,-5.8,,
6.0,24.0,-2.5,,
7.0,24.0,3.0,,
8.0,24.0,5.3,,
8.299999999999997,8.16,-1.0,,
9.0,15.84,-1.0,,
9.0,0.45,-4.0,,
10.0,23.55,-4.0,,
11.0,24.0,-8.5,,
12.0,24.0,-9.3,,
12.5,11.29,-6.5,,
13.0,12.71,-6.5,,
14.0,24.0,-0.8,,
14.299999999999997,6.01,3.0,,
15.0,17.99,3.0,0.0,
16.0,24.0,3.0,,
17.0,24.0,-1.0,,
18.0,24.0,-6.0,,
19.0,23.21,-9.3,,
19.0,0.79,-9.3,,
19.4,10.51,-10.3,,
20.0,13.49,-10.3,,
21.0,24.0,-12.3,,
22.0,24.0,-12.3,,
23.0,24.0,-10.3,,
24.0,24.0,-2.5,,
25.0,24.0,2.3,,
26.0,24.0,-2.0,0.909,
27.0,24.0,-1.8,,
28.0,24.0,-0.8,,
29.0,24.0,-0.3,,
30.0,24.0,2.3,,
31.0,24.0,-1.5,,
32.0,24.0,-1.8,0.959,
33.0,24.0,-3.0,,
34.0,24.0,-2.5,,
35.0,24.0,-3.8,,
36.0,24.0,-1.3,,
37.0,24.0,-4.3,,
38.0,24.0,-11.5,,
39.0,24.0,-9.5,0.958,
40.0,24.0,-9.3,,
41.0,24.0,-11.5,,
42.0,24.0,-12.5,,
43.0,24.0,-13.3,,
44.0,24.0,-11.0,,
45.0,24.0,-5.3,,
46.0,24.0,-5.0,1.268,
47.0,24.0,-7.0,,
48.0,24.0,-2.5,,
49.0,24.0,2.0,,
50.0,24.0,2.0,1.347,
51.0,24.0,-7.3,,
52.0,24.0,-7.8,,
53.0,24.0,-3.0,,
54.0,24.0,-16.8,,
55.0,24.0,-10.5,,
56.0,24.0,-6.3,,
57.0,24.0,-19.0,,
58.0,24.0,-19.5,,
59.0,24.0,-16.0,,
60.0,24.0,-21.0,,
61.0,24.0,-10.3,1.516,
62.0,24.0,-8.3,,
63.0,24.0,-10.5,,
64.0,24.0,-9.0,,
65.0,24.0,-18.0,,
66.0,24.0,-20.3,,
67.0,24.0,-15.0,,
68.0,24.0,-4.3,,
69.0,24.0,-5.3,,
70.0,24.0,-14.5,1.776,
71.0,24.0,-11.0,,
72.0,24.0,-14.5,,
73.0,24.0,-23.0,,
74.0,24.0,-26.0,,
75.0,24.0,-19.5,,
76.0,24.0,-17.8,,
77.0,24.0,-18.3,,
78.0,24.0,-20.0,,
79.0,24.0,-18.8,,
80.0,24.0,-12.0,,
81.0,24.0,-5.0,,
82.0,24.0,-15.8,,
83.0,24.0,-18.8,,
84.0,24.0,-11.8,,
85.0,24.0,-11.0,,
86.0,24.0,-7.5,,
87.0,24.0,-1.8,,
88.0,24.0,-5.3,,
89.0,24.0,-13.5,,
89.3,7.55,-18.0,,
90.0,16.45,-18.0,,
91.0,24.0,-9.5,,
92.0,24.0,-14.8,,
93.0,24.0,-14.5,,
94.0,24.0,-30.0,,
95.0,24.0,-28.8,,
96.0,24.0,-19.3,,
97.0,24.0,-19.8,,
98.0,24.0,-10.3,,
99.0,24.0,-14.5,,
100.0,24.0,-15.3,,
101.0,24.0,-28.8,,
102.0,24.0,-25.0,,
103.0,24.0,-16.8,,
104.0,24.0,-19.3,,
105.0,24.0,-10.3,,
106.0,24.0,-19.5,,
107.0,24.0,-19.8,,
108.0,24.0,-11.5,,
109.0,24.0,-8.5,,
110.0,24.0,-16.8,,
111.0,24.0,-16.5,,
112.0,24.0,-8.0,,
113.0,24.0,-23.0,,
114.0,24.0,-23.5,,
115.0,24.0,-25.0,,
116.0,24.0,-28.0,,
117.0,24.0,-20.8,,
118.0,24.0,-13.8,,
119.0,24.0,-14.5,,
120.0,24.0,-20.5,,
121.0,24.0,-17.8,,
122.0,24.0,-19.3,,
123.0,24.0,-15.0,,
124.0,24.0,-16.5,,
125.0,24.0,-10.0,,
126.0,24.0,-6.8,,
127.0,24.0,-7.5,,
128.0,24.0,-8.3,,
129.0,24.0,-9.8,,
130.0,24.0,-8.0,,
131.0,24.0,-9.8,,
132.0,24.0,-9.3,,
133.0,24.0,-10.0,,
134.0,24.0,-7.3,,
135.0,24.0,-19.0,,
136.0,24.0,-16.5,,
137.0,24.0,-11.8,,
138.0,24.0,-19.0,,
139.0,24.0,-10.3,,
140.0,24.0,-5.0,,
141.0,24.0,-21.0,,
142.0,24.0,-15.3,,
143.0,24.0,-7.8,,
144.0,24.0,-3.8,,
145.0,24.0,-4.3,,
146.0,24.0,-10.5,,
147.0,24.0,-6.0,,
148.0,24.0,2.3,,
149.0,24.0,2.5,,
150.0,24.0,3.8,,
151.0,24.0,4.8,,
152.0,24.0,1.5,,
