day,date,temps,S_vals
1,2016-10-01,4.4,1.0
2,2016-10-02,0.8,1.0
3,2016-10-03,-1.3,1.0
4,2016-10-04,-0.4,1.0
5,2016-10-05,-1.1,1.0
6,2016-10-06,-2.2,1.0
7,2016-10-07,-1.2,1.0
8,2016-10-08,-0.8,1.0
9,2016-10-09,1.0,1.0
10,2016-10-10,0.9,1.0
11,2016-10-11,-2.2,1.0
12,2016-10-12,-3.8,1.0
13,2016-10-13,-4.9,1.0
14,2016-10-14,-5.1,1.0
15,2016-10-15,-4.5,1.0
16,2016-10-16,-1.7,1.0
17,2016-10-17,3.7,1.0
18,2016-10-18,4.6,1.0
19,2016-10-19,2.8,1.0
20,2016-10-20,3.1,1.0
21,2016-10-21,1.0,1.0
22,2016-10-22,-0.5,1.0
23,2016-10-23,-0.4,1.0
24,2016-10-24,1.1,1.0
25,2016-10-25,-0.8,1.0
26,2016-10-26,-2.4,1.0
27,2016-10-27,1.6,1.0
28,2016-10-28,0.9,1.0
29,2016-10-29,1.8,1.0
30,2016-10-30,2.0,1.0
31,2016-10-31,0.8,1.0
32,2016-11-01,-0.7,1.0
33,2016-11-02,-6.1,1.0
34,2016-11-03,-8.0,1.0
35,2016-11-04,-6.0,1.0
36,2016-11-05,-5.6,1.0
37,2016-11-06,-14.0,1.0
38,2016-11-07,-21.4,1.0
39,2016-11-08,-23.3,1.0
40,2016-11-09,-11.8,1.0
41,2016-11-10,-13.0,1.0
42,2016-11-11,-15.5,1.0
43,2016-11-12,-12.3,1.0
44,2016-11-13,-7.9,1.0
45,2016-11-14,-4.2,1.0
46,2016-11-15,-1.2,1.0
47,2016-11-16,-1.2,1.0
48,2016-11-17,-6.8,1.0
49,2016-11-18,-6.2,1.0
50,2016-11-19,-5.9,1.0
51,2016-11-20,-2.1,1.0
52,2016-11-21,-4.2,1.0
53,2016-11-22,-5.3,1.0
54,2016-11-23,0.5,1.0
55,2016-11-24,-2.1,1.0
56,2016-11-25,0.3,1.0
57,2016-11-26,-0.3,1.0
58,2016-11-27,-3.1,1.0
59,2016-11-28,-1.4,1.0
60,2016-11-29,-2.0,1.0
61,2016-11-30,-2.4,1.0
62,2016-12-01,-3.6,0.94
63,2016-12-02,-1.8,0.94
64,2016-12-03,-3.1,0.94
65,2016-12-04,0.5,0.94
66,2016-12-05,-0.1,0.94
67,2016-12-06,-4.1,0.94
68,2016-12-07,-9.4,0.94
69,2016-12-08,1.3,0.94
70,2016-12-09,1.0,0.94
71,2016-12-10,-3.3,0.94
72,2016-12-11,-6.9,0.94
73,2016-12-12,-12.4,0.94
74,2016-12-13,-3.7,0.94
75,2016-12-14,-11.8,0.94
76,2016-12-15,-16.2,0.94
77,2016-12-16,-16.6,0.94
78,2016-12-17,-8.0,0.94
79,2016-12-18,-5.3,0.94
80,2016-12-19,-2.0,0.94
81,2016-12-20,-1.0,0.94
82,2016-12-21,-0.1,0.94
83,2016-12-22,-1.5,0.94
84,2016-12-23,-2.7,0.94
85,2016-12-24,-2.9,0.94
86,2016-12-25,0.1,0.94
87,2016-12-26,-2.4,0.94
88,2016-12-27,-2.4,0.94
89,2016-12-28,-2.9,0.94
90,2016-12-29,3.5,0.94
91,2016-12-30,2.8,0.94
92,2016-12-31,-2.4,0.94
93,2017-01-01,-2.8,0.88
94,2017-01-02,-6.7,0.88
95,2017-01-03,-7.4,0.88
96,2017-01-04,-15.3,0.88
97,2017-01-05,-22.4,0.88
98,2017-01-06,-17.5,0.88
99,2017-01-07,-2.7,0.88
100,2017-01-08,-4.2,0.88
101,2017-01-09,-6.0,0.88
102,2017-01-10,1.0,0.88
103,2017-01-11,-0.4,0.88
104,2017-01-12,-14.1,0.88
105,2017-01-13,-18.7,0.88
106,2017-01-14,-9.8,0.88
107,2017-01-15,-5.9,0.88
108,2017-01-16,-8.1,0.88
109,2017-01-17,-6.3,0.88
110,2017-01-18,-3.2,0.88
111,2017-01-19,-3.6,0.88
112,2017-01-20,1.8,0.88
113,2017-01-21,0.8,0.88
114,2017-01-22,-6.5,0.88
115,2017-01-23,-1.2,0.88
116,2017-01-24,-6.8,0.88
117,2017-01-25,-2.6,0.88
118,2017-01-26,1.8,0.88
119,2017-01-27,-8.9,0.88
