day,dt,temp,chau_z,chau_h
1,24,4.4,,
2,24,0.8,,
3,24,-1.3,,
4,24,-0.4,,
5,24,-1.1,,
6,24,-2.2,,
7,24,-1.2,,
8,24,-0.8,,
9,24,1.0,,
10,24,0.9,,
11,24,-2.2,,
12,24,-3.8,,
13,24,-4.9,,
14,24,-5.1,,
15,24,-4.5,,
16,24,-1.7,,
17,24,3.7,,
18,24,4.6,,
19,24,2.8,,
20,24,3.1,,
21,24,1.0,,
22,24,-0.5,,
23,24,-0.4,,
24,24,1.1,,
25,24,-0.8,,
26,24,-2.4,,
27,24,1.6,,
28,24,0.9,,
29,24,1.8,,
30,24,2.0,,
31,24,0.8,,
32,24,-0.7,,
33,24,-6.1,,
34,24,-8.0,,
35,24,-6.0,,
36,24,-5.6,,
37,24,-14.0,,
38,24,-21.4,,
39,24,-23.3,,
40,24,-11.8,,
41,24,-13.0,,
42,24,-15.5,,
43,24,-12.3,,
44,24,-7.9,,
45,24,-4.2,,
46,24,-1.2,,
47,24,-1.2,,
48,24,-6.8,,
49,24,-6.2,,
50,24,-5.9,,
51,24,-2.1,,
52,24,-4.2,,
53,24,-5.3,,
54,24,0.5,,
55,24,-2.1,,
56,24,0.3,,
57,24,-0.3,,
58,24,-3.1,,
59,24,-1.4,,
60,24,-2.0,,
61,24,-2.4,,
62,24,-3.6,,
63,24,-1.8,,
64,24,-3.1,,
65,24,0.5,,
66,24,-0.1,,
67,24,-4.1,,
68,24,-9.4,,
69,24,1.3,,
70,24,1.0,,
71,24,-3.3,,
72,24,-6.9,,
73,24,-12.4,,
74,24,-3.7,,
75,24,-11.8,,
76,24,-16.2,,
77,24,-16.6,,
78,24,-8.0,,
79,24,-5.3,,
80,24,-2.0,,
81,24,-1.0,,
82,24,-0.1,,
83,24,-1.5,,
84,24,-2.7,,
85,24,-2.9,,
86,24,0.1,,
87,24,-2.4,,
88,24,-2.4,,
89,24,-2.9,,
90,24,3.5,,
91,24,2.8,,
92,24,-2.4,,
93,24,-2.8,,
94,24,-6.7,,
95,24,-7.4,,
96,24,-15.3,,
97,24,-22.4,,
98,24,-17.5,,
99,24,-2.7,,
100,24,-4.2,,
101,24,-6.0,,
102,24,1.0,,
103,24,-0.4,,
104,24,-14.1,,
105,24,-18.7,,
106,24,-9.8,,
107,24,-5.9,,
108,24,-8.1,,
109,24,-6.3,,
110,24,-3.2,,
111,24,-3.6,,
112,24,1.8,,
113,24,0.8,,
114,24,-6.5,,
115,24,-1.2,,
116,24,-6.8,,
117,24,-2.6,,
118,24,1.8,,
119,24,-8.9,,
120,24,-8.6,,
121,24,-5.4,,
122,24,-5.8,,
123,24,-10.5,,
124,24,-12.8,,
125,24,-13.1,,
126,24,-5.4,,
127,24,-3.2,,
128,24,-3.6,,
129,24,-3.9,,
130,24,-11.6,,
131,24,-19.5,,
132,24,-20.2,,
133,24,-10.4,,
134,24,-14.5,,
135,24,-15.0,,
136,24,-2.6,,
137,24,-3.0,,
138,24,-8.0,,
139,24,-3.3,,
140,24,0.2,,
141,24,1.7,,
142,24,1.9,,
143,24,-2.0,,
144,24,-6.7,,
145,24,-2.9,,
146,24,-7.8,,
147,24,-7.9,,
148,24,-6.7,,
149,24,-5.3,,
150,24,-4.1,,
151,24,-2.5,,
152,24,-3.5,,
153,24,-8.9,,
154,24,-5.6,,
155,24,-5.8,,
156,24,-7.8,,
157,24,-9.8,,
158,24,-13.2,,
159,24,-12.7,,
160,24,-7.1,,
161,24,-4.2,,
162,24,-9.3,,
163,24,0.2,,
164,24,0.6,,
165,24,0.6,,
166,24,-0.4,,
167,24,0.2,,
168,24,-1.1,,
169,24,-5.4,,
170,24,-8.7,,
171,24,-0.3,,
172,24,-0.1,,
173,24,-4.6,,
174,24,-4.5,,
175,24,-2.6,,
176,24,2.1,,
177,24,4.1,,
178,24,3.0,,
179,24,-2.7,,
180,24,-7.9,,
181,24,-6.5,,
182,24,1.0,,
183,24,4.3,,
184,24,3.1,,
185,24,3.2,,
186,24,4.3,,
187,24,0.9,,
188,24,0.8,,
189,24,0.5,,
190,24,2.9,,
191,24,5.6,,
192,24,1.0,,
193,24,-3.2,,
194,24,-3.2,,
195,24,-3.0,,
196,24,-4.5,,
197,24,-6.1,,
198,24,-3.5,,
199,24,-3.6,,
200,24,-4.4,,
201,24,-1.5,,
202,24,1.9,,
203,24,-0.7,,
204,24,-1.7,,
205,24,-3.1,,
206,24,-4.7,,
207,24,-1.2,,
208,24,-2.2,,
209,24,-3.7,,
210,24,-3.3,,
211,24,-0.7,,
212,24,-0.7,,
213,24,1.9,,
214,24,1.3,,
215,24,0.1,,
216,24,3.1,,
217,24,8.1,,
218,24,6.2,,
219,24,0.0,,
220,24,-1.4,,
221,24,-1.7,,
222,24,-1.5,,
223,24,0.4,,
224,24,2.0,,
225,24,4.2,,
226,24,6.6,,
227,24,2.6,,
228,24,5.2,,
229,24,9.0,,
230,24,9.0,,
231,24,6.9,,
232,24,7.9,,
233,24,6.1,,
234,24,4.1,,
235,24,7.4,,
236,24,6.2,,
237,24,6.7,,
238,24,7.9,,
239,24,12.9,,
240,24,12.5,,
241,24,8.9,,
242,24,7.2,,
243,24,2.5,,
