day,date,temps,S_vals,Unnamed: 4
1,2017-10-01,7.0,1.0,
2,2017-10-02,7.5,1.0,
3,2017-10-03,6.3,1.0,
4,2017-10-04,5.4,1.0,
5,2017-10-05,4.4,1.0,
6,2017-10-06,4.3,1.0,
7,2017-10-07,0.2,1.0,
8,2017-10-08,2.2,1.0,
9,2017-10-09,0.4,1.0,
10,2017-10-10,2.1,1.0,
11,2017-10-11,1.1,1.0,
12,2017-10-12,1.5,1.0,
13,2017-10-13,2.7,1.0,
14,2017-10-14,3.4,1.0,
15,2017-10-15,2.0,1.0,
16,2017-10-16,3.9,1.0,
17,2017-10-17,-0.1,1.0,-0.1
18,2017-10-18,2.6,1.0,1.1
19,2017-10-19,-1.7,1.0,-0.5
20,2017-10-20,-0.3,1.0,-1.0
21,2017-10-21,1.9,1.0,0.1
22,2017-10-22,0.2,1.0,-0.7
23,2017-10-23,0.3,1.0,0.0
24,2017-10-24,0.0,1.0,-0.6
25,2017-10-25,0.4,1.0,-0.2
26,2017-10-26,0.5,1.0,-0.1
27,2017-10-27,2.5,1.0,-0.1
28,2017-10-28,1.2,1.0,-0.1
29,2017-10-29,-1.4,1.0,-0.1
30,2017-10-30,-1.9,1.0,-0.3
31,2017-10-31,2.6,1.0,-0.2
32,2017-11-01,1.3,1.0,-0.1
33,2017-11-02,-0.1,1.0,-0.4
34,2017-11-03,-4.9,1.0,-2.0
35,2017-11-04,-2.5,1.0,-2.1
36,2017-11-05,-0.9,1.0,-1.1
37,2017-11-06,-4.0,1.0,-2.1
38,2017-11-07,-5.4,1.0,-3.8
39,2017-11-08,-2.0,1.0,-3.9
40,2017-11-09,2.3,1.0,-1.0
41,2017-11-10,-5.6,1.0,-6.3
42,2017-11-11,-12.2,1.0,-11.2
43,2017-11-12,-2.7,1.0,-1.5
44,2017-11-13,-3.0,1.0,-5.4
45,2017-11-14,-9.4,1.0,-8.7
46,2017-11-15,-4.1,1.0,-7.9
47,2017-11-16,-2.4,1.0,-6.4
48,2017-11-17,-5.0,1.0,-6.5
49,2017-11-18,-13.9,1.0,-9.9
50,2017-11-19,-9.2,1.0,-9.3
51,2017-11-20,-15.3,1.0,-10.2
52,2017-11-21,-19.3,1.0,-15.0
53,2017-11-22,-9.1,1.0,-13.6
54,2017-11-23,2.4,1.0,2.1
55,2017-11-24,-0.9,1.0,-0.2
56,2017-11-25,-3.2,1.0,-1.8
57,2017-11-26,-5.8,1.0,-3.7
58,2017-11-27,-15.2,1.0,-10.2
59,2017-11-28,-17.0,1.0,-11.5
60,2017-11-29,-20.8,1.0,-18.0
61,2017-11-30,-14.6,1.0,-16.5
62,2017-12-01,-11.6,0.94,-14.4
63,2017-12-02,-3.7,0.94,-10.8
64,2017-12-03,-2.9,0.94,-8.9
65,2017-12-04,-3.9,0.94,-8.2
66,2017-12-05,-4.4,0.94,-7.9
67,2017-12-06,-8.5,0.94,-9.3
68,2017-12-07,0.6,0.94,-6.3
69,2017-12-08,-2.5,0.94,-5.7
70,2017-12-09,-5.3,0.94,-5.5
71,2017-12-10,-24.1,0.94,-8.9
72,2017-12-11,-12.2,0.94,-12.1
73,2017-12-12,-15.3,0.94,-11.9
