day,date,temps,S_vals
1,2017-10-17,-0.1,1.0
2,2017-10-18,1.1,1.0
3,2017-10-19,-0.5,1.0
4,2017-10-20,-1.0,1.0
5,2017-10-21,0.1,1.0
6,2017-10-22,-0.7,1.0
7,2017-10-23,0.0,1.0
8,2017-10-24,-0.6,1.0
9,2017-10-25,-0.2,1.0
10,2017-10-26,-0.1,1.0
11,2017-10-27,-0.1,1.0
12,2017-10-28,-0.1,1.0
13,2017-10-29,-0.1,1.0
14,2017-10-30,-0.3,1.0
15,2017-10-31,-0.2,1.0
16,2017-11-01,-0.1,1.0
17,2017-11-02,-0.4,1.0
18,2017-11-03,-2.0,1.0
19,2017-11-04,-2.1,1.0
20,2017-11-05,-2.1,1.0
21,2017-11-06,-2.1,1.0
22,2017-11-07,-3.8,1.0
23,2017-11-08,-3.9,1.0
24,2017-11-09,-1.0,1.0
25,2017-11-10,-6.3,1.0
26,2017-11-11,-11.2,1.0
27,2017-11-12,-1.5,1.0
28,2017-11-13,-5.4,1.0
29,2017-11-14,-8.7,1.0
30,2017-11-15,-7.9,1.0
31,2017-11-16,-6.5,1.0
32,2017-11-17,-6.5,1.0
33,2017-11-18,-9.9,1.0
34,2017-11-19,-9.3,1.0
35,2017-11-20,-10.2,1.0
36,2017-11-21,-15.0,1.0
37,2017-11-22,-13.6,1.0
38,2017-11-23,2.1,1.0
39,2017-11-24,-0.2,1.0
40,2017-11-25,-1.8,1.0
41,2017-11-26,-3.7,1.0
42,2017-11-27,-10.2,1.0
43,2017-11-28,-11.5,1.0
44,2017-11-29,-18.0,1.0
45,2017-11-30,-16.5,1.0
46,2017-12-01,-14.4,0.94
47,2017-12-02,-10.8,0.94
48,2017-12-03,-8.9,0.94
49,2017-12-04,-8.2,0.94
50,2017-12-05,-7.9,0.94
51,2017-12-06,-9.3,0.94
52,2017-12-07,-6.3,0.94
53,2017-12-08,-5.7,0.94
54,2017-12-09,-5.5,0.94
55,2017-12-10,-8.9,0.94
56,2017-12-11,-12.1,0.94
57,2017-12-12,-11.9,0.94
58,2017-12-13,-13.5,0.94
59,2017-12-14,-12.8,0.94
60,2017-12-15,-10.2,0.94
61,2017-12-16,-9.7,0.94
62,2017-12-17,-11.3,0.94
63,2017-12-18,-10.2,0.94
64,2017-12-19,-7.4,0.94
65,2017-12-20,-4.9,0.94
66,2017-12-21,-9.3,0.94
67,2017-12-22,-8.1,0.94
68,2017-12-23,-6.2,0.94
69,2017-12-24,-5.8,0.94
70,2017-12-25,-6.4,0.94
71,2017-12-26,-7.5,0.94
72,2017-12-27,-6.6,0.94
73,2017-12-28,-6.1,0.94
74,2017-12-29,-6.0,0.94
75,2017-12-30,-8.1,0.94
76,2017-12-31,-11.6,0.94
77,2018-01-01,-7.6,0.88
78,2018-01-02,-6.8,0.88
79,2018-01-03,-8.5,0.88
80,2018-01-04,-7.3,0.88
81,2018-01-05,-7.1,0.88
82,2018-01-06,-5.1,0.88
83,2018-01-07,-4.1,0.88
84,2018-01-08,-3.3,0.88
85,2018-01-09,-13.3,0.88
