day,dt,temp,chau_z,chau_h
1.0,24.0,-0.1,0.056,0.0
1.0,1.06,1.1,0.0,0.0
2.0,22.94,1.1,0.0,0.0
2.299999999999997,6.41,-0.5,0.08,0.0
3.0,17.59,-0.5,0.096,0.0
4.0,24.0,-1.0,0.134,0.0
5.0,24.0,0.1,0.121,0.0
6.0,24.0,-0.7,0.141,0.0
7.0,24.0,0.0,0.132,0.0
8.0,24.0,-0.6,0.146,0.0
9.0,24.0,-0.2,0.145,0.0
10.0,24.0,-0.1,0.14,0.0
11.0,24.0,-0.1,0.135,0.0
12.0,24.0,-0.1,0.13,0.0
13.0,24.0,-0.1,0.126,0.0
14.0,24.0,-0.3,0.13,0.0
15.0,24.0,-0.2,0.129,0.0
16.0,24.0,-0.1,0.125,0.0
17.0,24.0,-0.4,0.133,0.0
18.0,24.0,-2.0,0.19,0.0
19.0,24.0,-2.1,0.233,0.0
20.0,24.0,-1.1,0.248,0.0
20.0,1.17,-2.1,0.25,0.0
21.0,22.83,-2.1,0.365,0.0
22.0,24.0,-3.8,0.484,0.0
23.0,24.0,-3.9,0.567,0.0
24.0,24.0,-1.0,0.573,0.0
25.0,24.0,-6.3,0.682,0.0
26.0,24.0,-11.2,0.839,0.0
27.0,24.0,-1.5,0.843,0.0
28.0,24.0,-5.4,0.897,0.0
29.0,24.0,-8.7,0.984,0.0
30.0,24.0,-7.9,1.053,0.0
31.0,24.0,-6.4,1.101,0.0
31.799999999999997,18.22,-6.5,1.12,0.0
32.0,5.78,-6.5,1.121,0.0
33.0,24.0,-9.9,1.133,0.0
34.0,24.0,-9.3,1.143,0.0
35.0,24.0,-10.2,1.155,0.0
36.0,24.0,-15.0,1.176,0.001
37.0,24.0,-13.6,1.194,0.001
38.0,24.0,2.1,1.183,0.001
39.0,24.0,-0.2,1.176,0.001
40.0,24.0,-1.8,1.173,0.001
41.0,24.0,-3.7,1.173,0.001
42.0,24.0,-10.2,1.185,0.001
43.0,24.0,-11.5,1.199,0.001
44.0,24.0,-18.0,1.224,0.001
45.0,24.0,-16.5,1.247,0.001
46.0,24.0,-14.4,1.266,0.002
47.0,24.0,-10.8,1.278,0.002
48.0,24.0,-8.9,1.287,0.002
49.0,24.0,-8.2,1.294,0.002
50.0,24.0,-7.9,1.302,0.002
51.0,24.0,-9.3,1.311,0.002
52.0,24.0,-6.3,1.315,0.002
53.0,24.0,-5.7,1.318,0.002
54.0,24.0,-5.5,1.321,0.002
55.0,24.0,-8.9,1.33,0.002
