day,dt,temp,site_z,site_h
1,24,-1.5,,
2,24,3.2,,
3,24,0.3,,
4,24,-2.5,,
5,24,-6.2,0.04381060292550805,
6,24,-4.8,0.1235235829629911,
7,24,-1.7,0.06316162877816002,
8,24,-2.3,0.11368009219318562,
9,24,1.1,0.08834918578236316,
10,24,-0.1,,
11,24,-0.1,,
12,24,1.7,,
13,24,-0.8,0.016853969721414466,
14,24,-2.4,0.07234715438053622,
15,24,-1.5,0.13320240798131175,
16,24,2.0,,
17,24,2.2,,
18,24,3.6,,
19,24,2.3,,
20,24,0.2,,
21,24,0.3,,
22,24,4.0,,
23,24,2.6,,
24,24,4.8,,
25,24,2.9,,
26,24,-6.2,0.0890909739820189,
27,24,-6.2,0.21448298714186081,
28,24,-0.5,0.2429403448193361,
29,24,-0.2,0.2462164006682891,
30,24,-0.1,0.2448964703302068,
31,24,0.3,0.23748068570338532,
32,24,-4.7,0.2651648283267481,
33,24,-3.0,0.3332699025421367,
34,24,-12.7,0.4556144578238511,
35,24,-18.9,0.5920659187762416,
36,24,-17.6,0.6544948006650873,
37,24,-13.0,0.7021562070553855,
38,24,-11.3,0.7934268131368821,
39,24,-10.0,0.8389660222434092,
40,24,-8.1,0.8607497256491751,
41,24,-8.8,0.8714493847584441,
42,24,-10.0,0.8790787972864842,
43,24,-2.2,0.8835152092146799,
44,24,-0.2,0.871914997759719,
45,24,-9.4,0.8570893507807795,
46,24,-9.8,0.8724056226972513,
47,24,-4.9,0.8859342707276971,
48,24,-2.5,0.8894329459687305,
49,24,-1.6,0.878327039847473,
50,24,0.5,0.8602240040922993,
51,24,-9.7,0.8205234627980356,
52,24,-2.7,0.8299873671772144,
53,24,1.5,0.8497068267566609,
54,24,0.1,0.8118859803669036,
55,24,0.4,0.7854676640866926,
56,24,-0.8,0.7748455178390534,
57,24,-1.9,0.7659641064762766,
58,24,-3.6,0.7585249631545569,
59,24,-4.5,0.757879974612961,
60,24,-3.8,0.7626473054483918,
61,24,-4.6,0.7695105749163073,
62,24,-4.3,0.7753805995672053,
63,24,-4.1,0.7894493780321823,
64,24,-2.0,0.8141102752666217,
65,24,-1.7,0.817309328577964,
66,24,-2.5,0.8201212291294828,
67,24,-5.0,0.8366495288142117,
68,24,-6.2,0.8475827944996027,
69,24,-8.2,0.8743087510611852,
70,24,-4.4,0.9002077936844648,
71,24,-6.7,0.915241751444086,
72,24,0.2,0.929899485030677,
73,24,0.3,0.9309065892209571,
74,24,-1.2,0.931313068854487,
75,24,-1.2,0.930992203255675,
76,24,-2.2,0.9250139387756571,
77,24,-11.6,0.9219893168260691,
