day,date,temps,S_vals
1,2019-10-01,-1.5,1.0
2,2019-10-02,3.2,1.0
3,2019-10-03,0.3,1.0
4,2019-10-04,-2.5,1.0
5,2019-10-05,-6.2,1.0
6,2019-10-06,-4.8,1.0
7,2019-10-07,-1.7,1.0
8,2019-10-08,-2.3,1.0
9,2019-10-09,1.1,1.0
10,2019-10-10,-0.1,1.0
11,2019-10-11,-0.1,1.0
12,2019-10-12,1.7,1.0
13,2019-10-13,-0.8,1.0
14,2019-10-14,-2.4,1.0
15,2019-10-15,-1.5,1.0
16,2019-10-16,2.0,1.0
17,2019-10-17,2.2,1.0
18,2019-10-18,3.6,1.0
19,2019-10-19,2.3,1.0
20,2019-10-20,0.2,1.0
21,2019-10-21,0.3,1.0
22,2019-10-22,4.0,1.0
23,2019-10-23,2.6,1.0
24,2019-10-24,4.8,1.0
25,2019-10-25,2.9,1.0
26,2019-10-26,-6.2,1.0
27,2019-10-27,-6.2,1.0
28,2019-10-28,-0.5,1.0
29,2019-10-29,-0.2,1.0
30,2019-10-30,-0.1,1.0
31,2019-10-31,0.3,1.0
32,2019-11-01,-4.7,1.0
33,2019-11-02,-3.0,1.0
34,2019-11-03,-12.7,1.0
35,2019-11-04,-18.9,1.0
36,2019-11-05,-17.6,1.0
37,2019-11-06,-13.0,1.0
38,2019-11-07,-11.3,1.0
39,2019-11-08,-10.0,1.0
40,2019-11-09,-8.1,1.0
41,2019-11-10,-8.8,1.0
42,2019-11-11,-10.0,1.0
43,2019-11-12,-2.2,1.0
44,2019-11-13,-0.2,1.0
45,2019-11-14,-9.4,1.0
46,2019-11-15,-9.8,1.0
47,2019-11-16,-4.9,1.0
48,2019-11-17,-2.5,1.0
49,2019-11-18,-1.6,1.0
50,2019-11-19,0.5,1.0
51,2019-11-20,-9.7,1.0
52,2019-11-21,-2.7,1.0
53,2019-11-22,1.5,1.0
54,2019-11-23,0.1,1.0
55,2019-11-24,0.4,1.0
56,2019-11-25,-0.8,1.0
57,2019-11-26,-1.9,1.0
58,2019-11-27,-3.6,1.0
59,2019-11-28,-4.5,1.0
60,2019-11-29,-3.8,1.0
61,2019-11-30,-4.6,1.0
62,2019-12-01,-4.3,0.94
63,2019-12-02,-4.1,0.94
64,2019-12-03,-2.0,0.94
65,2019-12-04,-1.7,0.94
66,2019-12-05,-2.5,0.94
67,2019-12-06,-5.0,0.94
68,2019-12-07,-6.2,0.94
69,2019-12-08,-8.2,0.94
70,2019-12-09,-4.4,0.94
71,2019-12-10,-6.7,0.94
72,2019-12-11,0.2,0.94
