day,dt,temp,site_z,site_h
1,24,-1.5,,
2,24,3.2,,
3,24,0.3,,
4,24,-2.5,,
5,24,-6.2,0.2992122883838888,
6,24,-4.8,0.4790276737026001,
7,24,-1.7,0.40249198305515566,
8,24,-2.3,0.4078276280561116,
9,24,1.1,,
10,24,-0.1,,
11,24,-0.1,,
12,24,1.7,,
13,24,-0.8,,
14,24,-2.4,0.18383920730145065,
15,24,-1.5,0.3687049798190618,
16,24,2.0,,
17,24,2.2,,
18,24,3.6,,
19,24,2.3,,
20,24,0.2,,
21,24,0.3,,
22,24,4.0,,
23,24,2.6,,
24,24,4.8,,
25,24,2.9,,
26,24,-6.2,0.05539954331371627,
27,24,-6.2,0.2858613547592343,
28,24,-0.5,0.30949944900973386,
29,24,-0.2,0.17815560722810939,
30,24,-0.1,0.11360460475013542,
31,24,0.3,0.053448444679389216,
32,24,-4.7,0.19917930050700355,
33,24,-3.0,0.4415190865790449,
34,24,-12.7,0.5411000716204574,
35,24,-18.9,0.7102182539270936,
36,24,-17.6,0.7903181072192609,
37,24,-13.0,0.8233288923055099,
38,24,-11.3,0.8661974972776428,
39,24,-10.0,0.9981979491209096,
40,24,-8.1,1.0646649713549192,
41,24,-8.8,1.1031795543012937,
42,24,-10.0,1.1277777252374224,
43,24,-2.2,1.1440981570603643,
44,24,-0.2,1.1438324660626238,
45,24,-9.4,1.1310724708550506,
46,24,-9.8,1.1403778214192224,
47,24,-4.9,1.1541290883884623,
48,24,-2.5,1.163783619356699,
49,24,-1.6,1.1568141253228772,
50,24,0.5,1.140216982042699,
51,24,-9.7,1.0793016843911072,
52,24,-2.7,1.0705908125910317,
53,24,1.5,1.095263445369495,
54,24,0.1,1.0599685242198544,
55,24,0.4,1.0303354987934659,
56,24,-0.8,1.0153110836755854,
57,24,-1.9,0.9988725684991349,
58,24,-3.6,0.9899073444004115,
59,24,-4.5,0.9918929659729181,
60,24,-3.8,1.0034738684999067,
61,24,-4.6,1.033209610383065,
62,24,-4.3,1.0680159638786693,
63,24,-4.1,1.0970788570210215,
64,24,-2.0,1.1286388898092887,
65,24,-1.7,1.1417658451242096,
66,24,-2.5,1.1440940842264262,
67,24,-5.0,1.153398094320156,
68,24,-6.2,1.1603326314055111,
69,24,-8.2,1.1770274495561506,
70,24,-4.4,1.195206367292464,
71,24,-6.7,1.210608153285773,
72,24,0.2,1.222704747977193,
73,24,0.3,1.2296833460180492,
74,24,-1.2,1.238315569093272,
75,24,-1.2,1.243840899556422,
76,24,-2.2,1.2460637111427006,
77,24,-11.6,1.2451481199494898,
78,24,-11.9,1.2532813940479546,
