day,date,temps,S_vals
1,01/10/16,5,1
2,02/10/16,2.1,1
3,03/10/16,4.7,1
4,04/10/16,4.9,1
5,05/10/16,7.9,1
6,06/10/16,4.9,1
7,07/10/16,4.1,1
8,08/10/16,7.5,1
9,09/10/16,6.4,1
10,10/10/16,8.2,1
11,11/10/16,9.6,1
12,12/10/16,14.6,1
13,13/10/16,15.1,1
14,14/10/16,15.1,1
15,15/10/16,5.7,1
16,16/10/16,7,1
17,17/10/16,9.6,1
18,18/10/16,6.6,1
19,19/10/16,7.5,1
20,20/10/16,7.8,1
21,21/10/16,8.3,1
22,22/10/16,4.1,1
23,23/10/16,3.2,1
24,24/10/16,3.8,1
25,25/10/16,2.5,1
26,26/10/16,1.9,1
27,27/10/16,-0.9,1
28,28/10/16,-3.1,1
29,29/10/16,-1.9,1
30,30/10/16,2.4,1
31,31/10/16,6.5,1
32,01/11/16,5.3,1
33,02/11/16,6.5,1
34,03/11/16,2.8,1
35,04/11/16,10.1,1
36,05/11/16,7.9,1
37,06/11/16,0.5,1
38,07/11/16,0.5,1
39,08/11/16,3.7,1
40,09/11/16,2,1
41,10/11/16,7.4,1
42,11/11/16,10.3,1
43,12/11/16,8.3,1
44,13/11/16,3,1
45,14/11/16,1,1
46,15/11/16,5,1
47,16/11/16,8.4,1
48,17/11/16,6.2,1
49,18/11/16,1.7,1
50,19/11/16,-2.5,1
51,20/11/16,-0.7,1
52,21/11/16,0,1
53,22/11/16,-5.5,1
54,23/11/16,-2.7,1
55,24/11/16,-0.4,1
56,25/11/16,0.5,1
57,26/11/16,0.7,1
58,27/11/16,-3.9,1
59,28/11/16,-5.3,1
60,29/11/16,5.2,1
61,30/11/16,8.1,1
62,01/12/16,7.1,0.94
63,02/12/16,4.5,0.94
64,03/12/16,0.5,0.94
65,04/12/16,0.9,0.94
66,05/12/16,-0.4,0.94
67,06/12/16,-4.4,0.94
68,07/12/16,-4.5,0.94
69,08/12/16,0.8,0.94
70,09/12/16,0.4,0.94
71,10/12/16,1.8,0.94
72,11/12/16,-0.8,0.94
73,12/12/16,-8.9,0.94
74,13/12/16,-12.3,0.94
75,14/12/16,-14.3,0.94
76,15/12/16,-12.1,0.94
77,16/12/16,0.5,0.94
78,17/12/16,-3.4,0.94
79,18/12/16,-4,0.94
80,19/12/16,1.9,0.94
81,20/12/16,3.5,0.94
82,21/12/16,0.6,0.94
83,22/12/16,-3.1,0.94
84,23/12/16,-3.9,0.94
85,24/12/16,1.3,0.94
86,25/12/16,4.9,0.94
87,26/12/16,4.1,0.94
88,27/12/16,2.7,0.94
89,28/12/16,2.9,0.94
90,29/12/16,2.9,0.94
91,30/12/16,0.3,0.94
92,31/12/16,4.1,0.94
93,01/01/17,2.5,0.88
94,02/01/17,0.6,0.88
95,03/01/17,4.2,0.88
96,04/01/17,6.3,0.88
97,05/01/17,4.7,0.88
98,06/01/17,4.9,0.88
99,07/01/17,2,0.88
100,08/01/17,0.5,0.88
101,09/01/17,-0.8,0.88
102,10/01/17,4.1,0.88
103,11/01/17,1.8,0.88
104,12/01/17,0.2,0.88
105,13/01/17,-0.9,0.88
106,14/01/17,-0.3,0.88
107,15/01/17,-6.1,0.88
108,16/01/17,-9.7,0.88
109,17/01/17,-4.6,0.88
110,18/01/17,-2.2,0.88
111,19/01/17,-2.6,0.88
112,20/01/17,-7.6,0.88
113,21/01/17,-11,0.88
114,22/01/17,-12.3,0.88
115,23/01/17,-14,0.88
116,24/01/17,-11.6,0.88
117,25/01/17,-6.4,0.88
118,26/01/17,-3.4,0.88
119,27/01/17,-5.5,0.88
120,28/01/17,-6.7,0.88
121,29/01/17,-9.2,0.88
122,30/01/17,-6,0.88
123,31/01/17,-1,0.88
124,01/02/17,-1.5,0.82
125,02/02/17,-4.2,0.82
126,03/02/17,-8.6,0.82
127,04/02/17,-10.9,0.82
128,05/02/17,-12.4,0.82
129,06/02/17,-10.4,0.82
130,07/02/17,-1.7,0.82
131,08/02/17,-0.8,0.82
132,09/02/17,1.4,0.82
133,10/02/17,-0.6,0.82
134,11/02/17,-1.6,0.82
135,12/02/17,-0.5,0.82
136,13/02/17,3.9,0.82
137,14/02/17,6.1,0.82
138,15/02/17,3.2,0.82
139,16/02/17,2,0.82
140,17/02/17,1.7,0.82
141,18/02/17,6.2,0.82
142,19/02/17,2.9,0.82
143,20/02/17,0.2,0.82
144,21/02/17,1,0.82
145,22/02/17,2,0.82
146,23/02/17,3.2,0.82
147,24/02/17,4.6,0.82
148,25/02/17,5.8,0.82
149,26/02/17,4.1,0.82
150,27/02/17,5.3,0.82
151,28/02/17,1.3,0.82
152,01/03/17,0.6,0.76
153,02/03/17,0.8,0.76
154,03/03/17,0.7,0.76
155,04/03/17,-2.5,0.76
156,05/03/17,-7.4,0.76
157,06/03/17,-8.1,0.76
158,07/03/17,-2.5,0.76
159,08/03/17,-1.2,0.76
160,09/03/17,-3.9,0.76
161,10/03/17,-4.7,0.76
162,11/03/17,-4.4,0.76
163,12/03/17,-2.6,0.76
164,13/03/17,-0.7,0.76
165,14/03/17,-0.3,0.76
166,15/03/17,-0.7,0.76
167,16/03/17,-3.3,0.76
168,17/03/17,0,0.76
169,18/03/17,0.6,0.76
170,19/03/17,3.1,0.76
171,20/03/17,3.4,0.76
172,21/03/17,4,0.76
173,22/03/17,5.4,0.76
174,23/03/17,2.8,0.76
175,24/03/17,1,0.76
176,25/03/17,0.3,0.76
177,26/03/17,1,0.76
178,27/03/17,4.5,0.76
179,28/03/17,8.7,0.76
180,29/03/17,4.5,0.76
181,30/03/17,1.8,0.76
182,31/03/17,-0.7,0.76
183,01/04/17,1.8,0.7
