day,dt,temp,chau_z,chau_h,site_z,site_h
1,24,2.8,,,,
2,24,6.9,,,,
3,24,5.7,,,,
4,24,3.3,,,,
5,24,-0.4,,,,
6,24,-0.1,,,,
7,24,3.5,,,,
8,24,2.3,,,,
9,24,4.9,,,,
10,24,2.6,,,,
11,24,5.2,,,,
12,24,3.9,,,,
13,24,3.4,,,,
14,24,0.1,,,,
15,24,1.4,,,,
16,24,7.2,,,,
17,24,6.9,,,,
18,24,6.7,,,,
19,24,4.4,,,,
20,24,4.7,,,,
21,24,4.5,,,,
22,24,8.3,,,,
23,24,5.5,,,,
24,24,8.9,,,,
25,24,4.8,,,,
26,24,0.3,,,,
27,24,-0.1,,,,
28,24,2.1,,,,
29,24,3.1,,,,
30,24,4.1,,,,
31,24,3.7,,,,
32,24,2.4,,,,
33,24,0.5,,,,
34,24,-3.9,,,,
35,24,-4,,,0.5,
36,24,-8,,,0.6,
37,24,-6.5,,,0.6,
38,24,-6,,,0.7,
39,24,-6.3,,,0.8,
40,24,-10.2,,,0.9,
41,24,-6.9,,,1.0,
42,24,-5.3,,,1.0,
43,24,-2.5,,,1.0,
44,24,0,,,1.0,
45,24,-4.3,,,1.1,
46,24,-4.4,,,1.1,
47,24,-3.3,,,1.1,
48,24,2.4,,,1.1,
49,24,1.7,,,1.1,
50,24,0.6,,,1.1,
51,24,-2.5,,,1.1,
52,24,1.4,,,,
53,24,4.9,,,,
54,24,3.7,,,,
55,24,-1.6,,,,
56,24,-0.6,,,,
57,24,0.1,,,,
58,24,1.2,,,,
59,24,-1,,,0.8,
60,24,0.4,,,0.8,
61,24,-1.1,,,0.8,
62,24,-0.2,,,0.8,
63,24,-0.8,,,0.8,
64,24,3.9,,,0.8,
65,24,2.5,,,0.7,
66,24,1.7,,,0.7,
67,24,2.3,,,0.7,
68,24,0.7,,,0.7,
69,24,-1,,,0.7,
70,24,-2.8,,,0.6,
71,24,-1.9,,,0.6,
72,24,4.6,,,0.6,
73,24,5.3,,,,
74,24,2.3,,,,
75,24,3.9,,,,
76,24,2.4,,,0.3,
77,24,-1.7,,,0.4,
78,24,-3.2,,,0.5,
79,24,-3.3,,,0.6,
80,24,-2.2,,,0.6,
81,24,1.3,,,0.7,
82,24,5.4,,,0.7,
83,24,1.2,,,0.7,
84,24,-4.2,,,0.7,
85,24,-8.3,,,0.7,
86,24,-4.8,,,0.9,
87,24,-0.7,,,0.9,
88,24,-4.2,,,0.9,
89,24,1.2,,,1.0,
90,24,4.8,,,0.9,
91,24,4.9,,,0.9,
92,24,2.6,,,0.8,
93,24,7.1,,,0.7,
94,24,4.9,,,,
95,24,0.3,,,,
96,24,0.9,,,0.3,
97,24,1.4,,,0.3,
98,24,3.9,,,,
99,24,5.6,,,,
100,24,4,,,,
101,24,1.4,,,,
102,24,-1,,,0.3,
103,24,4.7,,,,
104,24,1.3,,,,
105,24,0.8,,,0.3,
106,24,4.6,,,,
107,24,3,,,,
108,24,4.2,,,,
109,24,4.8,,,,
110,24,0.3,,,,
111,24,3.4,,,,
112,24,8.1,,,,
113,24,2.6,,,,
114,24,1.9,,,,
115,24,3.8,,,,
116,24,1.2,,,,
117,24,0.9,,,,
118,24,2.9,,,,
119,24,-0.5,,,,
120,24,-0.8,,,0.3,
121,24,1.6,,,0.4,
122,24,-1.9,,,0.5,
123,24,3.3,,,0.6,
124,24,3,,,,
125,24,2,,,,
126,24,-1.5,,,,
127,24,-2,,,0.6,
128,24,1.7,,,0.6,
129,24,0.3,,,0.5,
130,24,1.2,,,,
131,24,1.6,,,,
132,24,5.6,,,,
133,24,3.2,,,,
134,24,-0.1,,,,
135,24,-0.2,,,0.3,
136,24,0.3,,,0.3,
137,24,-2,,,0.4,
138,24,4.2,,,,
139,24,4.8,,,,
140,24,5.4,,,,
141,24,2.4,,,,
142,24,0.4,,,,
143,24,3.1,,,,
144,24,3.3,,,,
145,24,2.4,,,,
146,24,1.2,,,,
147,24,-1,,,,
148,24,-4.8,,,0.4,
149,24,-7.4,,,0.6,
150,24,-4.9,,,0.7,
151,24,-4.2,,,0.8,
152,24,-2.4,,,0.9,
153,24,-2.6,,,0.9,
154,24,-0.5,,,0.9,
155,24,0.2,,,0.9,
156,24,0.8,,,0.9,
157,24,0.2,,,0.9,
158,24,1.5,,,0.8,
159,24,0.5,,,0.8,
160,24,5.9,,,,
161,24,3.5,,,,
162,24,3.4,,,,
163,24,4.4,,,,
164,24,1.8,,,,
165,24,-2.8,,,,
166,24,-2.2,,,0.3,
167,24,4.1,,,,
168,24,2.4,,,,
169,24,4.7,,,,
170,24,2.4,,,,
171,24,1.9,,,,
172,24,-0.6,,,,
173,24,-0.9,,,,
174,24,-0.2,,,,
175,24,5.8,,,,
176,24,5.2,,,,
177,24,3.8,,,,
178,24,4.2,,,,
179,24,3.9,,,,
180,24,-0.9,,,,
181,24,-0.6,,,,
182,24,0.4,,,,
183,24,3.8,,,,
184,24,2.8,,,,
185,24,0.9,,,,
186,24,-1.3,,,,
187,24,-1.9,,,,
188,24,-1.3,,,,
189,24,9.1,,,,
190,24,7.5,,,,
191,24,5.1,,,,
192,24,2.5,,,,
193,24,1.1,,,,
194,24,4.3,,,,
195,24,3.1,,,,
196,24,0.6,,,,
197,24,2.9,,,,
198,24,3.9,,,,
199,24,2.2,,,,
200,24,3.2,,,,
201,24,3.5,,,,
202,24,5.5,,,,
203,24,6.2,,,,
204,24,6.2,,,,
205,24,7.5,,,,
206,24,4.1,,,,
207,24,5.1,,,,
208,24,4.6,,,,
209,24,4.3,,,,
210,24,5.2,,,,
211,24,6.3,,,,
212,24,6.4,,,,
213,24,7,,,,
