day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,24,24,0.5,81.6,-3.4,1.35,2.31,5,11,37232,0.94,79,0,0.0888974,1,0.0888974,0,0,0.0100052,0.0100052,0.0100052,0.0100052,0.0989026,0.0989026,0,2.6878,3.41082,0,0.0888974,-0.091096,3.41082,176.698,137.909,35.3779,0
2,24,48,0.5,163.2,-3.4,1.35,2.31,4.89238,11,37232,0.94,79,0.0429503,0.0329842,1,0.121882,0,0,0.00376076,0.013766,0.00376076,0.013766,0.036745,0.135648,0,2.6878,3.41082,0,0.0329842,-0.233613,3.41082,67.8781,51.1695,13.2978,0
3,24,72,0.5,244.8,-3.4,1.35,2.31,4.85299,11,37232,0.94,79,0.0589081,0.0252328,1,0.147114,0,0,0.0029029,0.0166689,0.0029029,0.0166689,0.0281357,0.163783,0,2.6878,3.41082,0,0.0252328,-0.299587,3.41082,52.8198,39.1445,10.2645,0
4,24,96,0.5,326.4,-3.4,1.35,2.31,4.82305,11,37232,0.94,79,0.0711274,0.0211595,1,0.168274,0,0,0.00245295,0.0191219,0.00245295,0.0191219,0.0236125,0.187396,0,2.6878,3.41082,0,0.0211595,-0.351967,3.41082,44.9098,32.8255,8.67345,0
5,24,120,0.5,408,-3.4,1.35,2.31,4.79806,11,37232,0.94,79,0.0813824,0.0185355,1,0.186809,0,0,0.00216342,0.0212853,0.00216342,0.0212853,0.0206989,0.208095,0,2.6878,3.41082,0,0.0185355,-0.396721,3.41082,39.8153,28.7547,7.6497,0
6,24,144,0.5,489.6,-3.4,1.35,2.31,4.77626,11,37232,0.94,79,0.0903722,0.0166619,1,0.203471,0,0,0.00195687,0.0232421,0.00195687,0.0232421,0.0186188,0.226714,0,2.6878,3.41082,0,0.0166619,-0.43638,3.41082,36.1784,25.8482,6.91937,0
7,24,168,0.5,571.2,-3.4,1.35,2.31,4.75673,11,37232,0.94,79,0.0984588,0.0152371,1,0.218708,0,0,0.00179991,0.0250421,0.00179991,0.0250421,0.017037,0.243751,0,2.6878,3.41082,0,0.0152371,-0.472315,3.41082,33.413,23.6378,6.36434,0
8,24,192,0.5,652.8,-3.4,1.35,2.31,4.73894,11,37232,0.94,79,0.105858,0.014106,1,0.232814,0,0,0.00167537,0.0267174,0.00167537,0.0267174,0.0157814,0.259532,0,2.6878,3.41082,0,0.014106,-0.505371,3.41082,31.2179,21.8831,5.924,0
9,24,216,0.5,734.4,-3.4,1.35,2.31,4.72251,11,37232,0.94,79,0.112713,0.0131797,1,0.245994,0,0,0.00157344,0.0282909,0.00157344,0.0282909,0.0147531,0.274285,0,2.6878,3.41082,0,0.0131797,-0.536112,3.41082,29.4205,20.4461,5.56356,0
10,24,240,0.5,816,-3.4,1.35,2.31,4.70721,11,37232,0.94,79,0.119121,0.0124029,1,0.258397,0,0,0.001488,0.0297789,0.001488,0.0297789,0.0138909,0.288176,0,2.6878,3.41082,0,0.0124029,-0.56494,3.41082,27.9134,19.2411,5.26145,0
11,24,264,0.5,897.6,-3.4,1.35,2.31,4.69285,11,37232,0.94,79,0.125154,0.0117393,1,0.270136,0,0,0.00141503,0.0311939,0.00141503,0.0311939,0.0131544,0.30133,0,2.6878,3.41082,0,0.0117393,-0.592151,3.41082,26.6259,18.2116,5.00345,0
12,24,288,0.5,979.2,-3.4,1.35,2.31,4.67928,11,37232,0.94,79,0.130868,0.0111638,1,0.2813,0,0,0.00135178,0.0325457,0.00135178,0.0325457,0.0125156,0.313846,0,2.6878,3.41082,0,0.0111638,-0.617973,3.41082,25.5094,17.3187,4.77979,0
13,24,312,0.5,1060.8,-3.4,1.35,2.31,4.66642,11,37232,0.94,79,0.136304,0.0106584,1,0.291959,0,0,0.00129625,0.0338419,0.00129625,0.0338419,0.0119547,0.325801,0,2.6878,3.41082,0,0.0106584,-0.642583,3.41082,24.529,16.5347,4.58346,0
14,24,336,0.5,1142.4,-3.4,1.35,2.31,4.65416,11,37232,0.94,79,0.141497,0.01021,1,0.302169,0,0,0.00124701,0.0350889,0.00124701,0.0350889,0.011457,0.337258,0,2.6878,3.41082,0,0.01021,-0.666125,3.41082,23.6593,15.8391,4.40933,0
15,24,360,0.5,1224,-3.4,1.35,2.31,4.64245,11,37232,0.94,79,0.146474,0.0098086,1,0.311977,0,0,0.00120294,0.0362919,0.00120294,0.0362919,0.0110115,0.348269,0,2.6878,3.41082,0,0.0098086,-0.688715,3.41082,22.8807,15.2164,4.2535,0
