day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,24,24,0.3,93.6,-3.9,1.83,1.9,0,0,15566,0.94,45,0,0.148047,1,0.148047,0,0,0,0,0,0,0.148047,0.148047,0,2.37317,4.08233,0,0.148047,-0.154341,4.08233,100.103,96.0209,0,0
2,24,48,0.3,187.2,-3.9,1.83,1.9,0,0,15566,0.94,45,0.0779196,0.0581997,1,0.206247,0,0,0,0,0,0,0.0581997,0.206247,0,2.37317,4.08233,0,0.0581997,-0.360588,4.08233,41.8297,37.7473,0,0
3,24,72,0.3,280.8,-3.9,1.83,1.9,0,0,15566,0.94,45,0.108551,0.0437844,1,0.250031,0,0,0,0,0,0,0.0437844,0.250031,0,2.37317,4.08233,0,0.0437844,-0.462572,4.08233,32.4802,28.3979,0,0
4,24,96,0.3,374.4,-3.9,1.83,1.9,0,0,15566,0.94,45,0.131595,0.0363067,1,0.286338,0,0,0,0,0,0,0.0363067,0.286338,0,2.37317,4.08233,0,0.0363067,-0.542663,4.08233,27.6302,23.5479,0,0
4.41811,10.0345,106.035,0.3,413.535,-3.9,1.83,1.9,0,0,15566,0.94,45,0.150704,0.0136621,1,0.3,0,0,0,0,0,0,0.0136621,0.3,0,2.37317,4.08233,0,0.0315241,-0.610494,4.08233,25.2755,21.1932,0,0
5,13.9655,120,0.9,468,-3.9,2.21,3.07,6.51372,12,24280,0.94,75,0.157895,0.00848403,1,0.308484,0,0,0.000790834,0.000790834,0.000790834,0.000790834,0.00927487,0.309275,1,2.37317,4.93003,0,0.00848403,-0.980793,4.93003,24.4857,14.7501,4.80557,0
6,24,144,0.9,561.6,-3.9,2.21,3.07,6.49923,12,24280,0.94,75,0.161011,0.0141099,1,0.322594,0,0,0.00132256,0.00211339,0.00132256,0.00211339,0.0154325,0.324707,1,2.37317,4.93003,0,0.0141099,-1.00759,4.93003,23.8811,14.2746,4.67648,0
7,24,168,0.9,655.2,-3.9,2.21,3.07,6.47521,12,24280,0.94,75,0.166198,0.0135521,1,0.336146,0,0,0.0012778,0.00339119,0.0012778,0.00339119,0.0148299,0.339537,1,2.37317,4.93003,0,0.0135521,-1.03888,4.93003,23.1585,13.7102,4.51821,0
8,24,192,0.9,748.8,-3.9,2.21,3.07,6.4522,12,24280,0.94,75,0.171183,0.0130463,1,0.349192,0,0,0.00123724,0.00462843,0.00123724,0.00462843,0.0142836,0.353821,1,2.37317,4.93003,0,0.0130463,-1.06898,4.93003,22.5034,13.1985,4.3748,0
9,24,216,0.9,842.4,-3.9,2.21,3.07,6.43012,12,24280,0.94,75,0.175985,0.012585,1,0.361777,0,0,0.00120027,0.00582871,0.00120027,0.00582871,0.0137852,0.367606,1,2.37317,4.93003,0,0.012585,-1.098,4.93003,21.9059,12.7318,4.24408,0
10,24,240,0.9,936,-3.9,2.21,3.07,6.40888,12,24280,0.94,75,0.18062,0.0121619,1,0.373939,0,0,0.00116639,0.0069951,0.00116639,0.0069951,0.0133283,0.380934,1,2.37317,4.93003,0,0.0121619,-1.12604,4.93003,21.3581,12.3038,4.12428,0
