day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,24,24,0.7,93.6,-3.9,2.28,2.37,0,0,13872,0.94,50,0,0.174207,1,0.174207,0,0,0,0,0,0,0.174207,0.174207,0,2.53049,5.42334,0,0.174207,-0.18359,5.42334,106.115,100.692,0,0
2,24,48,0.7,187.2,-3.9,2.28,2.37,0,0,13872,0.94,50,0.0735051,0.0675121,1,0.241719,0,0,0,0,0,0,0.0675121,0.241719,0,2.53049,5.42334,0,0.0675121,-0.425309,5.42334,44.4454,39.022,0,0
3,24,72,0.7,280.8,-3.9,2.28,2.37,0,0,13872,0.94,50,0.101991,0.050515,1,0.292234,0,0,0,0,0,0,0.050515,0.292234,0,2.53049,5.42334,0,0.050515,-0.543336,5.42334,34.621,29.1976,0,0
4,24,96,0.7,374.4,-3.9,2.28,2.37,0,0,13872,0.94,50,0.123306,0.0416943,1,0.333929,0,0,0,0,0,0,0.0416943,0.333929,0,2.53049,5.42334,0,0.0416943,-0.635546,5.42334,29.5227,24.0993,0,0
5,24,120,0.7,468,-3.9,2.28,2.37,0,0,13872,0.94,50,0.140898,0.0360528,1,0.369981,0,0,0,0,0,0,0.0360528,0.369981,0,2.53049,5.42334,0,0.0360528,-0.713293,5.42334,26.2619,20.8385,0,0
6,24,144,0.7,561.6,-3.9,2.28,2.37,0,0,13872,0.94,50,0.15611,0.032045,1,0.402026,0,0,0,0,0,0,0.032045,0.402026,0,2.53049,5.42334,0,0.032045,-0.781391,5.42334,23.9454,18.522,0,0
7,24,168,0.7,655.2,-3.9,2.28,2.37,0,0,13872,0.94,50,0.169631,0.0290088,1,0.431035,0,0,0,0,0,0,0.0290088,0.431035,0,2.53049,5.42334,0,0.0290088,-0.842445,5.42334,22.1904,16.7671,0,0
8,24,192,0.7,748.8,-3.9,2.28,2.37,0,0,13872,0.94,50,0.181871,0.0266062,1,0.457641,0,0,0,0,0,0,0.0266062,0.457641,0,2.53049,5.42334,0,0.0266062,-0.89806,5.42334,20.8017,15.3784,0,0
9,24,216,0.7,842.4,-3.9,2.28,2.37,0,0,13872,0.94,50,0.193098,0.0246439,1,0.482285,0,0,0,0,0,0,0.0246439,0.482285,0,2.53049,5.42334,0,0.0246439,-0.94931,5.42334,19.6675,14.2441,0,0
