day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,24,24,0.75,93.6,-3.9,1.97,1.62,0,0,8583,0.94,32,0,0.181534,1,0.181534,0,0,0,0,0,0,0.181534,0.181534,0,2.53049,4.68596,0,0.181534,-0.194637,4.68596,69.6069,64.921,0,0
2,24,48,0.75,187.2,-3.9,1.97,1.62,0,0,8583,0.94,32,0.112058,0.0687258,1,0.250259,0,0,0,0,0,0,0.0687258,0.250259,0,2.53049,4.68596,0,0.0687258,-0.444896,4.68596,29.264,24.5781,0,0
3,24,72,0.75,280.8,-3.9,1.97,1.62,0,0,8583,0.94,32,0.154481,0.050966,1,0.301225,0,0,0,0,0,0,0.050966,0.301225,0,2.53049,4.68596,0,0.050966,-0.564588,4.68596,22.9127,18.2267,0,0
4,24,96,0.75,374.4,-3.9,1.97,1.62,0,0,8583,0.94,32,0.185942,0.0417454,1,0.342971,0,0,0,0,0,0,0.0417454,0.342971,0,2.53049,4.68596,0,0.0417454,-0.657299,4.68596,19.6151,14.9292,0,0
5,24,120,0.75,468,-3.9,1.97,1.62,0,0,8583,0.94,32,0.21171,0.035849,1,0.37882,0,0,0,0,0,0,0.035849,0.37882,0,2.53049,4.68596,0,0.035849,-0.734894,4.68596,17.5065,12.8205,0,0
6,24,144,0.75,561.6,-3.9,1.97,1.62,0,0,8583,0.94,32,0.233839,0.031662,1,0.410482,0,0,0,0,0,0,0.031662,0.410482,0,2.53049,4.68596,0,0.031662,-0.802405,4.68596,16.0091,11.3231,0,0
7,24,168,0.75,655.2,-3.9,1.97,1.62,0,0,8583,0.94,32,0.253384,0.028492,1,0.438974,0,0,0,0,0,0,0.028492,0.438974,0,2.53049,4.68596,0,0.028492,-0.862559,4.68596,14.8754,10.1895,0,0
8,24,192,0.75,748.8,-3.9,1.97,1.62,0,0,8583,0.94,32,0.270972,0.0259852,1,0.464959,0,0,0,0,0,0,0.0259852,0.464959,0,2.53049,4.68596,0,0.0259852,-0.917036,4.68596,13.9789,9.29296,0,0
9,24,216,0.75,842.4,-3.9,1.97,1.62,0,0,8583,0.94,32,0.287012,0.0239393,1,0.488898,0,0,0,0,0,0,0.0239393,0.488898,0,2.53049,4.68596,0,0.0239393,-0.96696,4.68596,13.2473,8.56131,0,0
10,24,240,0.75,936,-3.9,1.97,1.62,0,0,8583,0.94,32,0.301789,0.0222292,1,0.511128,0,0,0,0,0,0,0.0222292,0.511128,0,2.53049,4.68596,0,0.0222292,-1.01313,4.68596,12.6357,7.94971,0,0
