day,chau_z,chau_h
0,0,0
1,0.183,0
2,0.252,0
3,0.303,0
4,0.346,0
5,0.382,0
6,0.414,0
7,0.443,0
8,0.469,0
9,0.494,0
10,0.516,0
11,0.538,0
12,0.558,0
13,0.577,0
14,0.594,0
15,0.612,0
16,0.628,0
17,0.644,0
18,0.659,0
19,0.673,0
20,0.687,0
21,0.7,0
22,0.713,0
23,0.726,0
24,0.738,0
25,0.75,0
25,0.75,0
26,0.761,0
27,0.771,0
28,0.782,0
29,0.792,0
30,0.802,0
31,0.822,0
32,0.841,0
33,0.86,0
34,0.878,0
35,0.895,0
36,0.912,0
37,0.929,0
38,0.945,0
38.4,0.95,0
39,0.958,0
40,0.971,0
41,0.983,0.001
42,0.995,0.001
43,1.007,0.001
44,1.019,0.002
45,1.03,0.002
46,1.041,0.002
47,1.052,0.002
48,1.063,0.003
49,1.074,0.003
50,1.084,0.003
51,1.095,0.003
52,1.105,0.004
53,1.115,0.004
54,1.124,0.004
55,1.134,0.004
56,1.144,0.005
57,1.153,0.005
58,1.163,0.005
59,1.172,0.005
60,1.181,0.006
61,1.19,0.006
62,1.216,0.006
63,1.241,0.007
64,1.266,0.007
65,1.29,0.007
66,1.314,0.008
67,1.337,0.008
68,1.359,0.009
69,1.381,0.009
70,1.402,0.009
71,1.423,0.01
72,1.444,0.01
73,1.46,0.01
74,1.468,0.011
75,1.476,0.011
76,1.483,0.011
77,1.491,0.011
78,1.498,0.011
79,1.506,0.011
80,1.513,0.012
81,1.52,0.012
82,1.528,0.012
83,1.535,0.012
84,1.543,0.012
85,1.55,0.012
86,1.557,0.013
87,1.565,0.013
88,1.572,0.013
89,1.579,0.013
90,1.58,0.013
91,1.581,0.013
92,1.583,0.013
93,1.584,0.013
94,1.585,0.013
95,1.586,0.013
96,1.587,0.014
97,1.588,0.014
98,1.589,0.014
99,1.59,0.014
100,1.592,0.014
101,1.593,0.014
102,1.594,0.014
103,1.595,0.014
104,1.596,0.014
105,1.597,0.014
106,1.599,0.014
107,1.6,0.014
108,1.601,0.014
109,1.602,0.014
110,1.603,0.014
111,1.605,0.014
112,1.606,0.014
113,1.607,0.015
114,1.608,0.015
115,1.61,0.015
116,1.611,0.015
117,1.612,0.015
118,1.614,0.015
119,1.615,0.015
120,1.616,0.015
