day,chau_z,chau_h
0,0,0
1,0.183,0
2,0.252,0
3,0.303,0
4,0.346,0
5,0.382,0
6,0.414,0
7,0.443,0
8,0.469,0
9,0.494,0
10,0.516,0
11,0.538,0
12,0.558,0
13,0.577,0
14,0.594,0
14.4,0.6,0
15,0.603,0
16,0.608,0
17,0.613,0
18,0.618,0
19,0.623,0
20,0.628,0
21,0.633,0
22,0.638,0
23,0.643,0
24,0.648,0
25,0.653,0
26,0.658,0
27,0.663,0
28,0.667,0
29,0.672,0
30,0.677,0
31,0.687,0
32,0.697,0
33,0.707,0
34,0.716,0
35,0.726,0
36,0.735,0
37,0.745,0
38,0.754,0
39,0.763,0
40,0.773,0
41,0.782,0
42,0.791,0
43,0.8,0
44,0.809,0
45,0.817,0
46,0.826,0
47,0.835,0
48,0.844,0
49,0.852,0
50,0.861,0
51,0.869,0
52,0.877,0
53,0.886,0
54,0.894,0
55,0.902,0
56,0.91,0
57,0.918,0
58,0.926,0
59,0.934,0
60,0.942,0
61,0.95,0
62,0.971,0
63,0.992,0
64,1.013,0
65,1.033,0
66,1.053,0
67,1.073,0
68,1.092,0
68.5,1.1,0
69,1.106,0.002
70,1.116,0.006
71,1.127,0.009
72,1.137,0.013
73,1.147,0.016
74,1.158,0.02
75,1.168,0.023
76,1.178,0.027
77,1.188,0.03
78,1.197,0.034
79,1.207,0.037
80,1.217,0.04
81,1.226,0.044
82,1.236,0.047
83,1.245,0.05
84,1.254,0.053
85,1.263,0.056
86,1.273,0.06
87,1.282,0.063
88,1.291,0.066
89,1.299,0.069
90,1.301,0.07
91,1.303,0.071
92,1.305,0.072
93,1.307,0.073
94,1.309,0.075
95,1.311,0.076
96,1.313,0.077
97,1.315,0.078
98,1.317,0.079
99,1.319,0.08
100,1.321,0.082
101,1.323,0.083
102,1.325,0.084
103,1.327,0.085
104,1.329,0.086
105,1.331,0.087
106,1.333,0.088
107,1.335,0.09
108,1.337,0.091
109,1.339,0.092
110,1.34,0.093
111,1.342,0.094
112,1.344,0.095
113,1.346,0.096
114,1.348,0.097
115,1.35,0.099
116,1.352,0.1
117,1.354,0.101
118,1.356,0.102
119,1.358,0.103
120,1.36,0.104
